energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,7.54512682,1.49933215,4.78106859,0.01068429,1.30011921,0.10253766,0.71677446
-5.99399700,7.95002460,1.58864049,5.04477609,0.01078420,1.36820628,0.10445890,0.75153640
-5.98799400,8.36562602,1.67829012,5.31718800,0.01088348,1.43652064,0.10637167,0.78803267
-5.98199100,8.78915585,1.76732013,5.59677786,0.01098627,1.50429806,0.10824239,0.82619330
-5.97598799,9.21792532,1.85478999,5.88207259,0.01109674,1.57080201,0.11003882,0.86594232
-5.96998499,9.64938170,1.93979989,6.17167870,0.01121897,1.63534159,0.11173070,0.90719573
-5.96398199,10.08114600,2.02150904,6.46430028,0.01135663,1.69728747,0.11329030,0.94985870
-5.95797899,10.51103681,2.09915111,6.75874771,0.01151279,1.75608551,0.11469280,0.99382189
-5.95197599,10.93707976,2.17204643,7.05393668,0.01168975,1.81126719,0.11591658,1.03895726
-5.94597299,11.35750240,2.23961068,7.34887779,0.01188883,1.86245683,0.11694330,1.08511357
-5.93996998,11.77071572,2.30135979,7.64265763,0.01211029,1.90937511,0.11775792,1.13211200
-5.93396698,12.17528421,2.35691126,7.93441275,0.01235328,1.95183899,0.11834856,1.17974230
-5.92796398,12.56988715,2.40598211,8.22329853,0.01261581,1.98975807,0.11870631,1.22775990
-5.92196098,12.95327477,2.44838389,8.50845563,0.01289482,2.02312785,0.11882491,1.27588441
-5.91595798,13.32422288,2.48401533,8.78897658,0.01318627,2.05202007,0.11870050,1.32379992
-5.90995498,13.68149034,2.51285322,9.06387551,0.01348536,2.07657101,0.11833128,1.37115733
-5.90395198,14.02378308,2.53494228,9.33206394,0.01378668,2.09696821,0.11771728,1.41757910
-5.89794897,14.34972837,2.55038476,9.59233488,0.01408444,2.11343645,0.11686011,1.46266619
-5.89194597,14.65786218,2.55933022,9.84335763,0.01437278,2.12622356,0.11576285,1.50600740
-5.88594297,14.94663163,2.56196638,10.08368439,0.01464599,2.13558703,0.11442999,1.54719056
-5.87993997,15.21441355,2.55851114,10.31176947,0.01489877,2.14178177,0.11286745,1.58581542
-5.87393697,15.45954866,2.54920637,10.52600080,0.01512647,2.14504969,0.11108271,1.62150745
-5.86793397,15.68039017,2.53431342,10.72474262,0.01532529,2.14561142,0.10908498,1.65393195
-5.86193097,15.87536404,2.51411049,10.90638733,0.01549241,2.14366052,0.10688548,1.68280778
-5.85592796,16.04303736,2.48889159,11.06941396,0.01562614,2.13936004,0.10449761,1.70791979
-5.84992496,16.18219055,2.45896697,11.21244971,0.01572591,2.13284161,0.10193730,1.72912925
-5.84392196,16.29188866,2.42466449,11.33433123,0.01579232,2.12420671,0.09922321,1.74638155
-5.83791896,16.37154667,2.38633166,11.43416154,0.01582703,2.11352976,0.09637688,1.75971066
-5.83191596,16.42098425,2.34433773,11.51135913,0.01583270,2.10086278,0.09342286,1.76923983
-5.82591296,16.44046585,2.29907559,11.56569585,0.01581276,2.08624095,0.09038867,1.77517845
-5.81990995,16.43072265,2.25096278,11.59732095,0.01577129,2.06968881,0.08730470,1.77781501
-5.81390695,16.39295427,2.20044153,11.60676926,0.01571279,2.05122638,0.08420392,1.77750650
-5.80790395,16.32880929,2.14797740,11.59495270,0.01564193,2.03087503,0.08112149,1.77466464
-5.80190095,16.24034489,2.09405639,11.56313502,0.01556336,2.00866252,0.07809425,1.76973964
-5.79589795,16.12996741,2.03918055,11.51289093,0.01548146,1.98462713,0.07516007,1.76320245
-5.78989495,16.00035659,1.98386201,11.44605161,0.01540020,1.95882058,0.07235704,1.75552615
-5.78389195,15.85437763,1.92861575,11.36463935,0.01532294,1.93130969,0.06972269,1.74716782
-5.77788894,15.69498554,1.87395122,11.27079498,0.01525231,1.90217698,0.06729304,1.73855146
-5.77188594,15.52512703,1.82036332,11.16670173,0.01519013,1.87152001,0.06510163,1.73005321
-5.76588294,15.34764503,1.76832290,11.05450974,0.01513737,1.83944996,0.06317864,1.72198927
-5.75987994,15.16519087,1.71826739,10.93626499,0.01509414,1.80608947,0.06154988,1.71460730
-5.75387694,14.98014835,1.67059187,10.81384623,0.01505975,1.77157001,0.06023602,1.70808150
-5.74787394,14.79457329,1.62564091,10.68891283,0.01503274,1.73602914,0.05925181,1.70251147
-5.74187094,14.61015085,1.58370170,10.56286576,0.01501103,1.69960771,0.05860545,1.69792474
-5.73586793,14.42817194,1.54499856,10.43682286,0.01499202,1.66244726,0.05829817,1.69428254
-5.72986493,14.24952855,1.50968906,10.31160888,0.01497274,1.62468779,0.05832394,1.69148824
-5.72386193,14.07472700,1.47786201,10.18775962,0.01495001,1.58646588,0.05866945,1.68939775
-5.71785893,13.90391658,1.44953712,10.06553875,0.01492055,1.54791320,0.05931425,1.68783112
-5.71185593,13.73693080,1.42466648,9.94496529,0.01488117,1.50915541,0.06023116,1.68658444
-5.70585293,13.57333729,1.40313756,9.82584890,0.01482886,1.47031136,0.06138688,1.68544122
-5.69984992,13.41249275,1.38477767,9.70783036,0.01476092,1.43149241,0.06274278,1.68418270
-5.69384692,13.25359877,1.36935962,9.59042396,0.01467502,1.39280192,0.06425593,1.68259629
-5.68784392,13.09575525,1.35660824,9.47305915,0.01456932,1.35433470,0.06588020,1.68048200
-5.68184092,12.93800825,1.34620770,9.35511888,0.01444241,1.31617627,0.06756755,1.67765651
-5.67583792,12.77939031,1.33780922,9.23597284,0.01429343,1.27840214,0.06926934,1.67395497
