energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.80446954,0.08629505,0.00000000,0.04522040,0.17864193,0.38063925,0.14159172
-5.99399700,0.81247134,0.08463102,0.00000000,0.04615973,0.18087484,0.39039943,0.14022292
-5.98799400,0.82378536,0.08321609,0.00000000,0.04724457,0.18399960,0.40202040,0.13918344
-5.98199100,0.83888440,0.08212084,0.00000000,0.04850453,0.18811323,0.41562703,0.13857350
-5.97598799,0.85816644,0.08141327,0.00000000,0.04996604,0.19329348,0.43129022,0.13848392
-5.96998499,0.88193770,0.08115670,0.00000000,0.05165136,0.19959533,0.44901914,0.13899320
-5.96398199,0.91039877,0.08140768,0.00000000,0.05357787,0.20704850,0.46875588,0.14016512
-5.95797899,0.94363464,0.08221412,0.00000000,0.05575752,0.21565574,0.49037262,0.14204692
-5.95197599,0.98160900,0.08361366,0.00000000,0.05819657,0.22539230,0.51367167,0.14466802
-5.94597299,1.02416306,0.08563220,0.00000000,0.06089568,0.23620645,0.53838846,0.14803959
-5.93996998,1.07101912,0.08828280,0.00000000,0.06385019,0.24802109,0.56419747,0.15215471
-5.93396698,1.12178865,0.09156482,0.00000000,0.06705075,0.26073640,0.59072090,0.15698921
-5.92796398,1.17598449,0.09546345,0.00000000,0.07048419,0.27423343,0.61753979,0.16250323
-5.92196098,1.23303673,0.09994952,0.00000000,0.07413459,0.28837844,0.64420709,0.16864323
-5.91595798,1.29231148,0.10497964,0.00000000,0.07798453,0.30302782,0.67026224,0.17534448
-5.90995498,1.35313166,0.11049668,0.00000000,0.08201636,0.31803338,0.69524650,0.18253387
-5.90395198,1.41479897,0.11643061,0.00000000,0.08621355,0.33324772,0.71871847,0.19013285
-5.89794897,1.47661591,0.12269956,0.00000000,0.09056191,0.34852943,0.74026894,0.19806045
-5.89194597,1.53790705,0.12921131,0.00000000,0.09505067,0.36374794,0.75953462,0.20623617
-5.88594297,1.59803849,0.13586494,0.00000000,0.09967330,0.37878767,0.77620996,0.21458259
-5.87993997,1.65643482,0.14255278,0.00000000,0.10442810,0.39355143,0.79005661,0.22302767
-5.87393697,1.71259273,0.14916264,0.00000000,0.10931834,0.40796271,0.80091014,0.23150652
-5.86793397,1.76609101,0.15558017,0.00000000,0.11435208,0.42196696,0.80868373,0.23996271
-5.86193097,1.81659636,0.16169133,0.00000000,0.11954153,0.43553163,0.81336877,0.24834888
-5.85592796,1.86386507,0.16738506,0.00000000,0.12490203,0.44864507,0.81503239,0.25662689
-5.84992496,1.90774048,0.17255578,0.00000000,0.13045063,0.46131430,0.81381214,0.26476720
-5.84392196,1.94814672,0.17710603,0.00000000,0.13620438,0.47356178,0.80990816,0.27274786
-5.83791896,1.98507891,0.18094881,0.00000000,0.14217833,0.48542140,0.80357329,0.28055290
-5.83191596,2.01859069,0.18400973,0.00000000,0.14838339,0.49693380,0.79510167,0.28817043
-5.82591296,2.04877963,0.18622894,0.00000000,0.15482411,0.50814142,0.78481638,0.29559039
-5.81990995,2.07577153,0.18756256,0.00000000,0.16149658,0.51908343,0.77305687,0.30280224
-5.81390695,2.09970434,0.18798375,0.00000000,0.16838647,0.52979092,0.76016660,0.30979266
-5.80790395,2.12071281,0.18748330,0.00000000,0.17546745,0.54028261,0.74648159,0.31654337
-5.80190095,2.13891459,0.18606966,0.00000000,0.18270000,0.55056139,0.73232035,0.32302933
-5.79589795,2.15439872,0.18376851,0.00000000,0.19003077,0.56061178,0.71797558,0.32921736
-5.78989495,2.16721709,0.18062187,0.00000000,0.19739262,0.57039879,0.70370788,0.33506532
-5.78389195,2.17737958,0.17668671,0.00000000,0.20470521,0.57986793,0.68974177,0.34052197
-5.77788894,2.18485297,0.17203325,0.00000000,0.21187639,0.58894681,0.67626395,0.34552749
-5.77188594,2.18956396,0.16674290,0.00000000,0.21880423,0.59754791,0.66342378,0.35001471
-5.76588294,2.19140603,0.16090607,0.00000000,0.22537957,0.60557278,0.65133577,0.35391107
-5.75987994,2.19024982,0.15461984,0.00000000,0.23148921,0.61291717,0.64008380,0.35714116
-5.75387694,2.18595642,0.14798560,0.00000000,0.23701938,0.61947708,0.62972664,0.35962964
-5.74787394,2.17839277,0.14110686,0.00000000,0.24185946,0.62515511,0.62030449,0.36130470
-5.74187094,2.16744815,0.13408710,0.00000000,0.24590580,0.62986710,0.61184580,0.36210147
-5.73586793,2.15305077,0.12702795,0.00000000,0.24906534,0.63354829,0.60437416,0.36196548
-5.72986493,2.13518321,0.12002752,0.00000000,0.25125893,0.63615893,0.59791459,0.36085588
-5.72386193,2.11389577,0.11317907,0.00000000,0.25242420,0.63768872,0.59249890,0.35874817
-5.71785893,2.08931658,0.10656995,0.00000000,0.25251779,0.63815992,0.58816973,0.35563633
-5.71185593,2.06165775,0.10028072,0.00000000,0.25151686,0.63762876,0.58498288,0.35153419
-5.70585293,2.03121688,0.09438455,0.00000000,0.24941975,0.63618513,0.58300795,0.34647589
-5.69984992,1.99837360,0.08894672,0.00000000,0.24624592,0.63395026,0.58232699,0.34051554
-5.69384692,1.96358114,0.08402431,0.00000000,0.24203496,0.63107266,0.58303124,0.33372580
-5.68784392,1.92735316,0.07966580,0.00000000,0.23684500,0.62772236,0.58521620,0.32619576
-5.68184092,1.89024637,0.07591087,0.00000000,0.23075036,0.62408360,0.58897510,0.31802797
