energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.41050393,0.00256873,0.49180946,0.60572576,0.28540682,0.01872885,0.89035124,1.26781600,0.54431501
-5.99399700,2.40709153,0.00274463,0.48827626,0.61380609,0.28513196,0.01774932,0.89165500,1.27836389,0.54405992
-5.98799400,2.41046748,0.00292609,0.48614296,0.62279278,0.28577903,0.01675986,0.89542644,1.29390122,0.54524904
-5.98199100,2.42015706,0.00311022,0.48539583,0.63239027,0.28728071,0.01577656,0.90138514,1.31415117,0.54778212
-5.97598799,2.43555064,0.00329394,0.48598578,0.64228844,0.28955895,0.01481468,0.90921544,1.33870731,0.55152734
-5.96998499,2.45592805,0.00347408,0.48782992,0.65217351,0.29252988,0.01388831,0.91857988,1.36704261,0.55632558
-5.96398199,2.48048798,0.00364744,0.49081429,0.66173988,0.29610952,0.01301005,0.92913421,1.39852274,0.56199583
-5.95797899,2.50838152,0.00381088,0.49479764,0.67070228,0.30021959,0.01219080,0.94054349,1.43242358,0.56834146
-5.95197599,2.53874856,0.00396144,0.49961642,0.67880796,0.30479347,0.01143958,0.95249846,1.46795278,0.57515725
-5.94597299,2.57075575,0.00409636,0.50509063,0.68584814,0.30978187,0.01076346,0.96473152,1.50427480,0.58223696
-5.93996998,2.60363434,0.00421326,0.51103064,0.69166822,0.31515778,0.01016748,0.97703156,1.54053892,0.58938109
-5.93396698,2.63671654,0.00431014,0.51724459,0.69617641,0.32092068,0.00965470,0.98925694,1.57590924,0.59640475
-5.92796398,2.66946871,0.00438546,0.52354613,0.69935015,0.32709955,0.00922627,1.00134593,1.60959565,0.60314517
-5.92196098,2.70151992,0.00443823,0.52976231,0.70124006,0.33375453,0.00888155,1.01332405,1.64088463,0.60946867
-5.91595798,2.73268443,0.00446798,0.53574117,0.70197119,0.34097718,0.00861828,1.02530794,1.66916854,0.61527673
-5.90995498,2.76297702,0.00447480,0.54135880,0.70174130,0.34888911,0.00843270,1.03750520,1.69397202,0.62051095
-5.90395198,2.79262004,0.00445936,0.54652544,0.70081626,0.35763905,0.00831982,1.05021036,1.71497421,0.62515668
-5.89794897,2.82204169,0.00442281,0.55119030,0.69952266,0.36739835,0.00827359,1.06379663,1.73202562,0.62924494
