energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,0.89970170,0.56785846,0.27557805,0.00592920,0.28759136,0.16977678,0.00000000
-5.99399700,0.84549769,0.53932400,0.25791380,0.00554950,0.26958863,0.16208714,0.00000000
-5.98799400,0.79302241,0.51115032,0.24076039,0.00516872,0.25190704,0.15479376,0.00000000
-5.98199100,0.74322987,0.48402374,0.22440027,0.00479131,0.23485061,0.14810011,0.00000000
-5.97598799,0.69702610,0.45860549,0.20910006,0.00442179,0.21870585,0.14220599,0.00000000
-5.96998499,0.65524958,0.43551484,0.19510547,0.00406456,0.20373605,0.13730157,0.00000000
-5.96398199,0.61865397,0.41531393,0.18263687,0.00372374,0.19017645,0.13356192,0.00000000
-5.95797899,0.58789349,0.39849436,0.17188579,0.00340298,0.17823027,0.13114191,0.00000000
-5.95197599,0.56351079,0.38546593,0.16301209,0.00310541,0.16806561,0.13017170,0.00000000
-5.94597299,0.54592750,0.37654750,0.15614185,0.00283347,0.15981331,0.13075293,0.00000000
-5.93996998,0.53543722,0.37196027,0.15136601,0.00258896,0.15356557,0.13295541,0.00000000
-5.93396698,0.53220106,0.37182318,0.14873960,0.00237296,0.14937533,0.13681469,0.00000000
-5.92796398,0.53624533,0.37615075,0.14828145,0.00218585,0.14725641,0.14233024,0.00000000
-5.92196098,0.54746160,0.38485316,0.14997448,0.00202736,0.14718423,0.14946444,0.00000000
-5.91595798,0.56560883,0.39773850,0.15376639,0.00189659,0.14909713,0.15814249,0.00000000
-5.90995498,0.59031750,0.41451733,0.15957072,0.00179211,0.15289809,0.16825304,0.00000000
-5.90395198,0.62109596,0.43480925,0.16726832,0.00171200,0.15845711,0.17964974,0.00000000
-5.89794897,0.65733865,0.45815160,0.17670919,0.00165396,0.16561376,0.19215373,0.00000000
-5.89194597,0.69833646,0.48401001,0.18771468,0.00161535,0.17418041,0.20555695,0.00000000
-5.88594297,0.74328903,0.51179081,0.20008007,0.00159335,0.18394561,0.21962630,0.00000000
-5.87993997,0.79131898,0.54085484,0.21357759,0.00158497,0.19467797,0.23410864,0.00000000
-5.87393697,0.84148797,0.57053270,0.22795983,0.00158720,0.20613040,0.24873636,0.00000000
-5.86793397,0.89281434,0.60014077,0.24296355,0.00159701,0.21804458,0.26323363,0.00000000
-5.86193097,0.94429213,0.62899787,0.25831393,0.00161153,0.23015573,0.27732295,0.00000000
-5.85592796,0.99491098,0.65644188,0.27372913,0.00162799,0.24219766,0.29073189,0.00000000
-5.84992496,1.04367665,0.68184597,0.28892522,0.00164389,0.25390780,0.30319987,0.00000000
-5.84392196,1.08963154,0.70463380,0.30362124,0.00165697,0.26503235,0.31448456,0.00000000
-5.83791896,1.13187461,0.72429335,0.31754451,0.00166531,0.27533132,0.32436791,0.00000000
-5.83191596,1.16958026,0.74038862,0.33043580,0.00166729,0.28458326,0.33266138,0.00000000
-5.82591296,1.20201548,0.75256911,0.34205452,0.00166168,0.29258976,0.33921032,0.00000000
-5.81990995,1.22855479,0.76057649,0.35218348,0.00164761,0.29917932,0.34389727,0.00000000
-5.81390695,1.24869248,0.76424841,0.36063339,0.00162455,0.30421071,0.34664409,0.00000000
-5.80790395,1.26205185,0.76351932,0.36724672,0.00159235,0.30757558,0.34741286,0.00000000
-5.80190095,1.26839101,0.75841828,0.37190094,0.00155119,0.30920021,0.34620559,0.00000000
-5.79589795,1.26760534,0.74906405,0.37451098,0.00150154,0.30904652,0.34306271,0.00000000
-5.78989495,1.25972649,0.73565768,0.37503092,0.00144415,0.30711209,0.33806055,0.00000000
-5.78389195,1.24491804,0.71847305,0.37345472,0.00138001,0.30342935,0.33130785,0.00000000
-5.77788894,1.22346816,0.69784580,0.36981618,0.00131030,0.29806394,0.32294162,0.00000000
-5.77188594,1.19577965,0.67416122,0.36418799,0.00123635,0.29111234,0.31312246,0.00000000
-5.76588294,1.16235771,0.64784163,0.35667999,0.00115962,0.28269876,0.30202962,0.00000000
-5.75987994,1.12379616,0.61933379,0.34743680,0.00108164,0.27297159,0.28985597,0.00000000
-5.75387694,1.08076247,0.58909683,0.33663479,0.00100399,0.26209939,0.27680316,0.00000000
-5.74787394,1.03398234,0.55759117,0.32447863,0.00092829,0.25026667,0.26307704,0.00000000
