energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,6.45266303,0.17739544,0.00000000,3.31482698,4.37776416,1.75445195,0.00000000
-5.99399700,6.60172277,0.17618857,0.00000000,3.35861548,4.50176808,1.77300620,0.00000000
-5.98799400,6.74875181,0.17465416,0.00000000,3.39784332,4.62471737,1.79134632,0.00000000
-5.98199100,6.89290172,0.17279671,0.00000000,3.43293186,4.74564061,1.80958716,0.00000000
-5.97598799,7.03336237,0.17064030,0.00000000,3.46439715,4.86360256,1.82782107,0.00000000
-5.96998499,7.16934938,0.16822550,0.00000000,3.49282171,4.97770617,1.84610674,0.00000000
-5.96398199,7.30009787,0.16560611,0.00000000,3.51882902,5.08709749,1.86446178,0.00000000
-5.95797899,7.42486288,0.16284592,0.00000000,3.54306192,5.19097300,1.88285928,0.00000000
-5.95197599,7.54292597,0.16001555,0.00000000,3.56616584,5.28858892,1.90122864,0.00000000
-5.94597299,7.65360688,0.15718934,0.00000000,3.58877702,5.37927129,1.91946040,0.00000000
-5.93996998,7.75627891,0.15444267,0.00000000,3.61151568,5.46242594,1.93741453,0.00000000
-5.93396698,7.85038622,0.15184938,0.00000000,3.63498348,5.53754719,1.95493162,0.00000000
-5.92796398,7.93546098,0.14947960,0.00000000,3.65976429,5.60422418,1.97184584,0.00000000
-5.92196098,8.01113844,0.14739792,0.00000000,3.68642683,5.66214407,1.98799879,0.00000000
-5.91595798,8.07716821,0.14566178,0.00000000,3.71552783,5.71109145,2.00325294,0.00000000
-5.90995498,8.13342005,0.14432028,0.00000000,3.74761396,5.75094357,2.01750376,0.00000000
-5.90395198,8.17988325,0.14341315,0.00000000,3.78322112,5.78166160,2.03068927,0.00000000
-5.89794897,8.21665905,0.14297002,0.00000000,3.82286977,5.80327810,2.04279638,0.00000000
-5.89194597,8.24394602,0.14300988,0.00000000,3.86705537,5.81588153,2.05386336,0.00000000
-5.88594297,8.26201900,0.14354074,0.00000000,3.91623344,5.81959879,2.06397797,0.00000000
-5.87993997,8.27120288,0.14455937,0.00000000,3.97079923,5.81457690,2.07327140,0.00000000
-5.87393697,8.27184258,0.14605130,0.00000000,4.03106271,5.80096507,2.08190808,0.00000000
-5.86793397,8.26427119,0.14799091,0.00000000,4.09721983,5.77889860,2.09007215,0.00000000
-5.86193097,8.24877862,0.15034170,0.00000000,4.16932187,5.74848569,2.09795121,0.00000000
-5.85592796,8.22558256,0.15305674,0.00000000,4.24724473,5.70979821,2.10571849,0.00000000
-5.84992496,8.19480423,0.15607932,0.00000000,4.33066056,5.66286719,2.11351463,0.00000000
-5.84392196,8.15645060,0.15934385,0.00000000,4.41901414,5.60768365,2.12143028,0.00000000
-5.83791896,8.11040460,0.16277697,0.00000000,4.51150634,5.54420458,2.12949073,0.00000000
-5.83191596,8.05642449,0.16629897,0.00000000,4.60708665,5.47236424,2.13764382,0.00000000
-5.82591296,7.99415287,0.16982538,0.00000000,4.70445675,5.39208984,2.14575200,0.00000000
-5.81990995,7.92313522,0.17326889,0.00000000,4.80208597,5.30332108,2.15358926,0.00000000
-5.81390695,7.84284746,0.17654140,0.00000000,4.89823925,5.20603230,2.16084351,0.00000000
-5.80790395,7.75273138,0.17955629,0.00000000,4.99101721,5.10025599,2.16712429,0.00000000
-5.80190095,7.65223610,0.18223065,0.00000000,5.07840737,4.98610645,2.17197578,0.00000000
-5.79589795,7.54086378,0.18448766,0.00000000,5.15834446,4.86380215,2.17489446,0.00000000
-5.78989495,7.41821701,0.18625878,0.00000000,5.22877747,4.73368566,2.17535055,0.00000000
-5.78389195,7.28404548,0.18748575,0.00000000,5.28774032,4.59623982,2.17281214,0.00000000
-5.77788894,7.13828946,0.18812235,0.00000000,5.33342271,4.45209941,2.16677070,0.00000000
-5.77188594,6.98111750,0.18813574,0.00000000,5.36423755,4.30205746,2.15676661,0.00000000
-5.76588294,6.81295631,0.18750737,0.00000000,5.37888148,4.14706577,2.14241318,0.00000000
-5.75987994,6.63451100,0.18623339,0.00000000,5.37638520,3.98822951,2.12341799,0.00000000
-5.75387694,6.44677419,0.18432450,0.00000000,5.35615091,3.82679585,2.09960015,0.00000000
-5.74787394,6.25102339,0.18180528,0.00000000,5.31797479,3.66413696,2.07090270,0.00000000
-5.74187094,6.04880613,0.17871298,0.00000000,5.26205338,3.50172802,2.03739934,0.00000000
-5.73586793,5.84191350,0.17509589,0.00000000,5.18897333,3.34112086,1.99929523,0.00000000
-5.72986493,5.63234279,0.17101127,0.00000000,5.09968535,3.18391415,1.95692177,0.00000000
-5.72386193,5.42225101,0.16652307,0.00000000,4.99546381,3.03172123,1.91072577,0.00000000
-5.71785893,5.21390096,0.16169940,0.00000000,4.87785410,2.88613665,1.86125363,0.00000000
-5.71185593,5.00960243,0.15661003,0.00000000,4.74861095,2.74870256,1.80913144,0.00000000
-5.70585293,4.81165098,0.15132395,0.00000000,4.60963087,2.62087613,1.75504212,0.00000000
-5.69984992,4.62226709,0.14590710,0.00000000,4.46288236,2.50399921,1.69970092,0.00000000
-5.69384692,4.44353836,0.14042050,0.00000000,4.31033750,2.39927116,1.64383052,0.00000000
-5.68784392,4.27736717,0.13491862,0.00000000,4.15390831,2.30772589,1.58813701,0.00000000
-5.68184092,4.12542627,0.12944840,0.00000000,3.99539069,2.23021398,1.53328805,0.00000000
-5.67583792,3.98912405,0.12404855,0.00000000,3.83641840,2.16739049,1.47989404,0.00000000
-5.66983492,3.86958079,0.11874946,0.00000000,3.67842872,2.11970892,1.42849326,0.00000000
-5.66383192,3.76761700,0.11357352,0.00000000,3.52264052,2.08742170,1.37954141,0.00000000
-5.65782891,3.68375387,0.10853586,0.00000000,3.37004506,2.07058718,1.33340588,0.00000000
-5.65182591,3.61822576,0.10364537,0.00000000,3.22140867,2.06908285,1.29036471,0.00000000
-5.64582291,3.57100373,0.09890600,0.00000000,3.07728622,2.08262461,1.25060996,0.00000000
-5.63981991,3.54182893,0.09431820,0.00000000,2.93804355,2.11079114,1.21425515,0.00000000
-5.63381691,3.53025400,0.08988036,0.00000000,2.80388665,2.15305264,1.18134587,0.00000000
-5.62781391,3.53569041,0.08559026,0.00000000,2.67489555,2.20880274,1.15187306,0.00000000
-5.62181091,3.55745940,0.08144628,0.00000000,2.55106023,2.27739244,1.12578791,0.00000000
-5.61580790,3.59484408,0.07744852,0.00000000,2.43231666,2.35816444,1.10301752,0.00000000
-5.60980490,3.64714011,0.07359958,0.00000000,2.31858082,2.45048652,1.08348057,0.00000000
-5.60380190,3.71370267,0.06990507,0.00000000,2.20977920,2.55378241,1.06710212,0.00000000
-5.59779890,3.79398737,0.06637384,0.00000000,2.10587441,2.66755858,1.05382683,0.00000000
-5.59179590,3.88758328,0.06301789,0.00000000,2.00688526,2.79142560,1.04363013,0.00000000
-5.58579290,3.99423630,0.05985204,0.00000000,1.91290082,2.92511283,1.03652680,0.00000000
-5.57978989,4.11386196,0.05689339,0.00000000,1.82408849,3.06847553,1.03257672,0.00000000
-5.57378689,4.24654671,0.05416055,0.00000000,1.74069640,3.22149363,1.03188766,0.00000000
-5.56778389,4.39253766,0.05167288,0.00000000,1.66305075,3.38426194,1.03461502,0.00000000
-5.56178089,4.55222109,0.04944953,0.00000000,1.59154865,3.55697177,1.04095869,0.00000000
-5.55577789,4.72609055,0.04750856,0.00000000,1.52664759,3.73988474,1.05115722,0.00000000
-5.54977489,4.91470584,0.04586615,0.00000000,1.46885215,3.93329930,1.06547961,0.00000000
-5.54377189,5.11864479,0.04453577,0.00000000,1.41869891,4.13751170,1.08421503,0.00000000
-5.53776888,5.33844981,0.04352766,0.00000000,1.37674023,4.35277278,1.10766105,0.00000000
-5.53176588,5.57457173,0.04284829,0.00000000,1.34352776,4.57924273,1.13611067,0.00000000
-5.52576288,5.82731344,0.04250008,0.00000000,1.31959584,4.81694583,1.16983881,0.00000000
-5.51975988,6.09677613,0.04248127,0.00000000,1.30544568,5.06572761,1.20908864,0.00000000
-5.51375688,6.38281059,0.04278594,0.00000000,1.30153020,5.32521643,1.25405839,0.00000000
-5.50775388,6.68497607,0.04340416,0.00000000,1.30824007,5.59479182,1.30488897,0.00000000
-5.50175088,7.00250876,0.04432228,0.00000000,1.32589100,5.87356129,1.36165302,0.00000000
-5.49574787,7.33430173,0.04552335,0.00000000,1.35471232,6.16034722,1.42434563,0.00000000
-5.48974487,7.67889730,0.04698760,0.00000000,1.39483716,6.45368479,1.49287718,0.00000000
-5.48374187,8.03449272,0.04869296,0.00000000,1.44629420,6.75183157,1.56706858,0.00000000
-5.47773887,8.39895896,0.05061565,0.00000000,1.50900110,7.05278864,1.64664892,0.00000000
-5.47173587,8.76987205,0.05273074,0.00000000,1.58275979,7.35433278,1.73125589,0.00000000
-5.46573287,9.14455571,0.05501277,0.00000000,1.66725388,7.65405837,1.82043868,0.00000000
-5.45972986,9.52013348,0.05743626,0.00000000,1.76204802,7.94942739,1.91366346,0.00000000
-5.45372686,9.89358805,0.05997628,0.00000000,1.86658974,8.23782542,2.01032106,0.00000000
-5.44772386,10.26182522,0.06260885,0.00000000,1.98021355,8.51662112,2.10973675,0.00000000
-5.44172086,10.62173970,0.06531144,0.00000000,2.10214763,8.78322665,2.21118157,0.00000000
-5.43571786,10.97027988,0.06806324,0.00000000,2.23152294,9.03515623,2.31388495,0.00000000
-5.42971486,11.30450896,0.07084548,0.00000000,2.36738467,9.27008053,2.41704813,0.00000000
-5.42371186,11.62165997,0.07364163,0.00000000,2.50870604,9.48587445,2.51985789,0.00000000
-5.41770885,11.91918277,0.07643756,0.00000000,2.65440399,9.68065646,2.62150023,0.00000000
-5.41170585,12.19478160,0.07922152,0.00000000,2.80335643,9.85281839,2.72117365,0.00000000
-5.40570285,12.44644233,0.08198422,0.00000000,2.95442068,10.00104466,2.81810150,0.00000000
-5.39969985,12.67244932,0.08471864,0.00000000,3.10645239,10.12432098,2.91154336,0.00000000
-5.39369685,12.87139219,0.08741993,0.00000000,3.25832445,10.22193316,3.00080506,0.00000000
-5.38769385,13.04216372,0.09008511,0.00000000,3.40894512,10.29345676,3.08524735,0.00000000
-5.38169085,13.18395003,0.09271277,0.00000000,3.55727479,10.33873949,3.16429294,0.00000000
-5.37568784,13.29621499,0.09530271,0.00000000,3.70234051,10.35787786,3.23743210,0.00000000
-5.36968484,13.37868060,0.09785549,0.00000000,3.84324798,10.35119033,3.30422666,0.00000000
-5.36368184,13.43130523,0.10037192,0.00000000,3.97919016,10.31918885,3.36431252,0.00000000
-5.35767884,13.45426143,0.10285261,0.00000000,4.10945227,10.26255072,3.41740067,0.00000000
-5.35167584,13.44791452,0.10529738,0.00000000,4.23341287,10.18209239,3.46327680,0.00000000
