energy_ev,total_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.99064685,0.54888824,0.36048006,1.44869457,1.31149803,0.00083826,0.83144600,0.00532370,1.19623520
-5.99399700,4.01075560,0.55097240,0.36644435,1.44729464,1.32067112,0.00073713,0.83232761,0.00534613,1.20697699
-5.98799400,4.03036208,0.55297843,0.37235268,1.44530975,1.32960064,0.00065124,0.83313106,0.00539439,1.21753531
-5.98199100,4.04860187,0.55474883,0.37811053,1.44239842,1.33804636,0.00057910,0.83372955,0.00546985,1.22756124
-5.97598799,4.06466295,0.55613778,0.38363145,1.43824769,1.34577628,0.00051932,0.83400310,0.00557385,1.23673184
-5.96998499,4.07782096,0.55701611,0.38883949,1.43258928,1.35257732,0.00047064,0.83384632,0.00570776,1.24476011
-5.96398199,4.08746791,0.55727524,0.39367109,1.42521268,1.35826426,0.00043194,0.83317467,0.00587298,1.25140265
-5.95797899,4.09313289,0.55682992,0.39807621,1.41597463,1.36268653,0.00040228,0.83192904,0.00607099,1.25646492
-5.95197599,4.09449384,0.55561982,0.40201874,1.40480441,1.36573256,0.00038086,0.83007818,0.00630330,1.25980402
-5.94597299,4.09138012,0.55360978,0.40547626,1.39170484,1.36733130,0.00036704,0.82761904,0.00657144,1.26132881
-5.93996998,4.08376597,0.55078896,0.40843901,1.37674898,1.36745113,0.00036032,0.82457484,0.00687686,1.26099781
-5.93396698,4.07175560,0.54716898,0.41090839,1.36007301,1.36609617,0.00036036,0.82099128,0.00722086,1.25881498
-5.92796398,4.05556128,0.54278120,0.41289489,1.34186562,1.36330034,0.00036691,0.81693097,0.00760445,1.25482376
-5.92196098,4.03547599,0.53767333,0.41441579,1.32235490,1.35911979,0.00037985,0.81246664,0.00802821,1.24909999
-5.91595798,4.01184269,0.53190578,0.41549263,1.30179354,1.35362408,0.00039913,0.80767356,0.00849214,1.24174403
-5.90995498,3.98502250,0.52554776,0.41614866,1.28044333,1.34688705,0.00042477,0.80262178,0.00899553,1.23287279
-5.90395198,3.95536384,0.51867361,0.41640647,1.25856003,1.33897786,0.00045684,0.79736874,0.00953674,1.22261201
-5.89794897,3.92317486,0.51135943,0.41628598,1.23637949,1.32995301,0.00049544,0.79195279,0.01011313,1.21108944
-5.89194597,3.88870089,0.50368020,0.41580281,1.21410596,1.31984992,0.00054068,0.78638812,0.01072092,1.19842921
-5.88594297,3.85210843,0.49570761,0.41496721,1.19190316,1.30868257,0.00059266,0.78066144,0.01135512,1.18474761
-5.87993997,3.81347677,0.48750861,0.41378363,1.16988869,1.29643955,0.00065147,0.77473076,0.01200951,1.17015066
-5.87393697,3.77279748,0.47914465,0.41225087,1.14813181,1.28308460,0.00071714,0.76852624,0.01267665,1.15473332
-5.86793397,3.72998190,0.47067166,0.41036292,1.12665477,1.26855979,0.00078968,0.76195321,0.01334798,1.13858025
-5.86193097,3.68487572,0.46214061,0.40811027,1.10543727,1.25279094,0.00086899,0.75489705,0.01401397,1.12176812
-5.85592796,3.63727960,0.45359846,0.40548167,1.08442361,1.23569498,0.00095491,0.74722976,0.01466428,1.10436882
-5.84992496,3.58697417,0.44508949,0.40246628,1.06353193,1.21718877,0.00104715,0.73881762,0.01528805,1.08645351
-5.84392196,3.53374749,0.43665658,0.39905584,1.04266476,1.19719868,0.00114535,0.72952963,0.01587418,1.06809685
-5.83791896,3.47742306,0.42834249,0.39524694,1.02172004,1.17567020,0.00124897,0.71924603,0.01641166,1.04938099
-5.83191596,3.41788617,0.42019081,0.39104304,1.00060187,1.15257710,0.00135737,0.70786648,0.01688992,1.03039897
-5.82591296,3.35510686,0.41224651,0.38645610,0.97923022,1.12792920,0.00146976,0.69531738,0.01729919,1.01125708
-5.81990995,3.28915775,0.40455599,0.38150782,0.95754894,1.10177844,0.00158518,0.68155780,0.01763083,0.99207586
-5.81390695,3.22022563,0.39716652,0.37623019,0.93553179,1.07422270,0.00170255,0.66658386,0.01787765,0.97298964
-5.80790395,3.14861593,0.39012526,0.37066545,0.91318589,1.04540712,0.00182064,0.65043123,0.01803416,0.95414442
-5.80190095,3.07474992,0.38347762,0.36486532,0.89055282,1.01552281,0.00193806,0.63317568,0.01809683,0.93569426
-5.79589795,2.99915476,0.37726542,0.35888956,0.86770724,0.98480304,0.00205335,0.61493171,0.01806416,0.91779624
-5.78989495,2.92244728,0.37152466,0.35280398,0.84475338,0.95351717,0.00216493,0.59584952,0.01793681,0.90060437
-5.78389195,2.84531242,0.36628331,0.34667793,0.82181974,0.92196262,0.00227117,0.57611038,0.01771756,0.88426269
-5.77788894,2.76847797,0.36155923,0.34058144,0.79905258,0.89045543,0.00237041,0.55592097,0.01741120,0.86889817
-5.77188594,2.69268712,0.35735835,0.33458218,0.77660861,0.85932006,0.00246101,0.53550686,0.01702438,0.85461365
-5.76588294,2.61867072,0.35367330,0.32874243,0.75464763,0.82887889,0.00254137,0.51510568,0.01656538,0.84148146
-5.75987994,2.54712077,0.35048274,0.32311621,0.73332543,0.79944214,0.00261001,0.49496038,0.01604379,0.82953810
-5.75387694,2.47866704,0.34775128,0.31774675,0.71278764,0.77129873,0.00266560,0.47531281,0.01547019,0.81878035
-5.74787394,2.41385779,0.34543028,0.31266454,0.69316478,0.74470860,0.00270701,0.45639814,0.01485579,0.80916317
-5.74187094,2.35314601,0.34345931,0.30788594,0.67456877,0.71989685,0.00273332,0.43844008,0.01421206,0.80059954
-5.73586793,2.29688159,0.34176844,0.30341262,0.65709119,0.69704995,0.00274391,0.42164739,0.01355033,0.79296243
-5.72986493,2.24530978,0.34028114,0.29923176,0.64080304,0.67631412,0.00273844,0.40621140,0.01288153,0.78608881
-5.72386193,2.19857586,0.33891775,0.29531710,0.62575621,0.65779591,0.00271691,0.39230470,0.01221581,0.77978563
-5.71785893,2.15673545,0.33759931,0.29163073,0.61198617,0.64156475,0.00267961,0.38008092,0.01156234,0.77383760
-5.71185593,2.11976962,0.33625158,0.28812570,0.59951579,0.62765725,0.00262718,0.36967523,0.01092909,0.76801627
-5.70585293,2.08760372,0.33480914,0.28474915,0.58835984,0.61608281,0.00256058,0.36120552,0.01032274,0.76209031
