energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.91363898,0.43273842,0.18974272,0.02435628,0.08615290,0.30671361,0.00000000,0.31588426,0.02084622
-5.99399700,0.93067894,0.43764085,0.19027057,0.02663545,0.08683313,0.31478205,0.00000000,0.32939449,0.02149474
-5.98799400,0.94806550,0.44160729,0.19086851,0.02908339,0.08739544,0.32270637,0.00000000,0.34258206,0.02219283
-5.98199100,0.96574047,0.44466939,0.19157895,0.03168598,0.08786059,0.33040056,0.00000000,0.35529294,0.02293198
-5.97598799,0.98364605,0.44689294,0.19244772,0.03442657,0.08825595,0.33777966,0.00000000,0.36737692,0.02370192
-5.96998499,1.00172721,0.44837688,0.19352370,0.03728602,0.08861506,0.34476168,0.00000000,0.37869019,0.02449086
-5.96398199,1.01993344,0.44925050,0.19485798,0.04024294,0.08897668,0.35126944,0.00000000,0.38909801,0.02528578
-5.95797899,1.03821921,0.44966894,0.19650250,0.04327395,0.08938362,0.35723225,0.00000000,0.39847716,0.02607284
-5.95197599,1.05654306,0.44980701,0.19850823,0.04635399,0.08988103,0.36258721,0.00000000,0.40671824,0.02683775
-5.94597299,1.07486526,0.44985156,0.20092281,0.04945669,0.09051451,0.36728026,0.00000000,0.41372759,0.02756617
-5.93996998,1.09314398,0.44999268,0.20378782,0.05255475,0.09132788,0.37126670,0.00000000,0.41942886,0.02824416
-5.93396698,1.11133021,0.45041416,0.20713574,0.05562026,0.09236082,0.37451133,0.00000000,0.42376404,0.02885850
-5.92796398,1.12936166,0.45128359,0.21098687,0.05862508,0.09364654,0.37698811,0.00000000,0.42669406,0.02939712
-5.92196098,1.14715619,0.45274271,0.21534620,0.06154110,0.09520945,0.37867943,0.00000000,0.42819878,0.02984933
-5.91595798,1.16460511,0.45489843,0.22020065,0.06434057,0.09706313,0.37957508,0.00000000,0.42827644,0.03020609
-5.90995498,1.18156696,0.45781514,0.22551670,0.06699622,0.09920856,0.37967095,0.00000000,0.42694274,0.03046019
-5.90395198,1.19786247,0.46150863,0.23123874,0.06948155,0.10163291,0.37896752,0.00000000,0.42422929,0.03060630
-5.89794897,1.21327100,0.46594213,0.23728824,0.07177091,0.10430878,0.37746844,0.00000000,0.42018190,0.03064103
-5.89194597,1.22752927,0.47102471,0.24356384,0.07383971,0.10719416,0.37517913,0.00000000,0.41485844,0.03056290
-5.88594297,1.24033242,0.47661219,0.24994261,0.07566454,0.11023295,0.37210556,0.00000000,0.40832664,0.03037219
-5.87993997,1.25133799,0.48251064,0.25628228,0.07722340,0.11335626,0.36825338,0.00000000,0.40066186,0.03007085
-5.87393697,1.26017266,0.48848242,0.26242461,0.07849588,0.11648424,0.36362739,0.00000000,0.39194488,0.02966228
-5.86793397,1.26644177,0.49425433,0.26819970,0.07946346,0.11952859,0.35823146,0.00000000,0.38225992,0.02915117
-5.86193097,1.26974136,0.49952784,0.27343113,0.08010986,0.12239545,0.35206884,0.00000000,0.37169292,0.02854325
-5.85592796,1.26967223,0.50399062,0.27794172,0.08042136,0.12498869,0.34514301,0.00000000,0.36033013,0.02784511
-5.84992496,1.26585539,0.50732905,0.28155965,0.08038730,0.12721344,0.33745876,0.00000000,0.34825707,0.02706397
-5.84392196,1.25794822,0.50924102,0.28412469,0.08000047,0.12897959,0.32902374,0.00000000,0.33555793,0.02620758
-5.83791896,1.24566052,0.50944841,0.28549419,0.07925755,0.13020521,0.31985002,0.00000000,0.32231524,0.02528400
-5.83191596,1.22876947,0.50770874,0.28554863,0.07815957,0.13081969,0.30995588,0.00000000,0.30860992,0.02430150
-5.82591296,1.20713285,0.50382523,0.28419634,0.07671221,0.13076650,0.29936748,0.00000000,0.29452151,0.02326851
-5.81990995,1.18069955,0.49765512,0.28137730,0.07492606,0.13000526,0.28812025,0.00000000,0.28012857,0.02219347
-5.81390695,1.14951692,0.48911553,0.27706568,0.07281673,0.12851333,0.27626010,0.00000000,0.26550919,0.02108484
-5.80790395,1.11373435,0.47818689,0.27127112,0.07040486,0.12628656,0.26384403,0.00000000,0.25074136,0.01995104
-5.80190095,1.07360284,0.46491367,0.26403862,0.06771589,0.12333937,0.25094040,0.00000000,0.23590330,0.01880038
-5.79589795,1.02947055,0.44940256,0.25544706,0.06477970,0.11970409,0.23762846,0.00000000,0.22107355,0.01764109
-5.78989495,0.98177449,0.43181806,0.24560649,0.06163010,0.11542961,0.22399748,0.00000000,0.20633087,0.01648120
-5.78389195,0.93102866,0.41237605,0.23465428,0.05830410,0.11057944,0.21014517,0.00000000,0.19175374,0.01532855
-5.77788894,0.87780929,0.39133543,0.22275032,0.05484112,0.10522928,0.19617575,0.00000000,0.17741980,0.01419068
-5.77188594,0.82273784,0.36898851,0.21007157,0.05128206,0.09946425,0.18219761,0.00000000,0.16340483,0.01307481
