energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.11529586,-2.39112815,0.11794735,-0.64037048,0.00000000,-0.00000000,0.48470678,-1.55704492,0.35254083,-0.46589599,0.53666980,-0.94406300,0.00000000,-0.00000000
-5.99399700,1.16804070,-2.47374147,0.12589554,-0.66136178,0.00000000,-0.00000000,0.50030091,-1.61460102,0.37591937,-0.48179095,0.55685560,-0.97844812,0.00000000,-0.00000000
-5.98799400,1.22390450,-2.54698940,0.13471504,-0.67935472,0.00000000,-0.00000000,0.51846893,-1.66465408,0.39999306,-0.49608435,0.57809902,-1.00947677,0.00000000,-0.00000000
-5.98199100,1.28157052,-2.60903896,0.14421628,-0.69391917,0.00000000,-0.00000000,0.53866348,-1.70610690,0.42430087,-0.50841119,0.59983561,-1.03636867,0.00000000,-0.00000000
-5.97598799,1.33965806,-2.65827325,0.15420224,-0.70469268,0.00000000,-0.00000000,0.56030578,-1.73802198,0.44836128,-0.51844447,0.62147056,-1.05842105,0.00000000,-0.00000000
-5.96998499,1.39675193,-2.69334068,0.16446988,-0.71139170,0.00000000,-0.00000000,0.58279459,-1.75965080,0.47168252,-0.52590484,0.64239428,-1.07502989,0.00000000,-0.00000000
-5.96398199,1.45143512,-2.71319513,0.17481223,-0.71382006,0.00000000,-0.00000000,0.60551659,-1.77045680,0.49377394,-0.53056861,0.66199932,-1.08570800,0.00000000,-0.00000000
-5.95797899,1.50232343,-2.71712576,0.18502091,-0.71187440,0.00000000,-0.00000000,0.62785791,-1.77013127,0.51415816,-0.53227383,0.67969776,-1.09009919,0.00000000,-0.00000000
-5.95197599,1.54810082,-2.70477521,0.19488927,-0.70554636,0.00000000,-0.00000000,0.64921641,-1.75860153,0.53238345,-0.53092432,0.69493856,-1.08798795,0.00000000,-0.00000000
-5.94597299,1.58755403,-2.67614600,0.20421589,-0.69492149,0.00000000,-0.00000000,0.66901434,-1.73603109,0.54803607,-0.52649149,0.70722397,-1.07930456,0.00000000,-0.00000000
-5.93996998,1.61960507,-2.63159492,0.21280836,-0.68017507,0.00000000,-0.00000000,0.68671087,-1.70281204,0.56075174,-0.51901401,0.71612443,-1.06412526,0.00000000,-0.00000000
-5.93396698,1.64334023,-2.57181614,0.22048730,-0.66156503,0.00000000,-0.00000000,0.70181415,-1.65955007,0.57022606,-0.50859531,0.72129124,-1.04266787,0.00000000,-0.00000000
-5.92796398,1.65803434,-2.49781411,0.22709027,-0.63942238,0.00000000,-0.00000000,0.71389236,-1.60704305,0.57622312,-0.49539923,0.72246653,-1.01528290,0.00000000,-0.00000000
-5.92196098,1.66316937,-2.41086749,0.23247562,-0.61413975,0.00000000,-0.00000000,0.72258334,-1.54625412,0.57858220,-0.47964395,0.71949006,-0.98244087,0.00000000,-0.00000000
