energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.36500816,0.00775791,0.00001855,0.00000067,0.00000000,0.09717759,0.01901172,0.00017469,0.22656356
-5.99399700,0.34246494,0.00727644,0.00002303,0.00000088,0.00000000,0.09116953,0.01783963,0.00016655,0.21256366
-5.98799400,0.31911334,0.00677643,0.00003000,0.00000119,0.00000000,0.08493997,0.01662633,0.00015891,0.19805841
-5.98199100,0.29535995,0.00626623,0.00004007,0.00000163,0.00000000,0.07859650,0.01539322,0.00015226,0.18329946
-5.97598799,0.27160176,0.00575388,0.00005405,0.00000224,0.00000000,0.07224362,0.01416128,0.00014718,0.16853224
-5.96998499,0.24821872,0.00524690,0.00007305,0.00000306,0.00000000,0.06598072,0.01295070,0.00014436,0.15399124
-5.96398199,0.22556824,0.00475214,0.00009849,0.00000417,0.00000000,0.05990050,0.01178061,0.00014462,0.13989652
-5.95797899,0.20398178,0.00427569,0.00013216,0.00000565,0.00000000,0.05408802,0.01066893,0.00014894,0.12645161
-5.95197599,0.18376375,0.00382279,0.00017630,0.00000761,0.00000000,0.04862025,0.00963233,0.00015850,0.11384266
-5.94597299,0.16519250,0.00339783,0.00023366,0.00001018,0.00000000,0.04356621,0.00868634,0.00017472,0.10223903
-5.93996998,0.14852331,0.00300434,0.00030760,0.00001353,0.00000000,0.03898762,0.00784550,0.00019931,0.09179504
-5.93396698,0.13399327,0.00264506,0.00040215,0.00001786,0.00000000,0.03494003,0.00712365,0.00023432,0.08265292
-5.92796398,0.12182745,0.00232198,0.00052212,0.00002341,0.00000000,0.03147432,0.00653431,0.00028218,0.07494654
-5.92196098,0.11224632,0.00203646,0.00067315,0.00003048,0.00000000,0.02863848,0.00609110,0.00034580,0.06880595
-5.91595798,0.10547365,0.00178933,0.00086181,0.00003942,0.00000000,0.02647959,0.00580816,0.00042856,0.06436222
-5.90995498,0.10174464,0.00158103,0.00109564,0.00005064,0.00000000,0.02504582,0.00570061,0.00053443,0.06175245
-5.90395198,0.10131368,0.00141168,0.00138321,0.00006462,0.00000000,0.02438840,0.00578500,0.00066796,0.06112459
-5.89794897,0.10446128,0.00128127,0.00173410,0.00008192,0.00000000,0.02456339,0.00607967,0.00083434,0.06264175
-5.89194597,0.11149970,0.00118972,0.00215891,0.00010316,0.00000000,0.02563319,0.00660505,0.00103944,0.06648575
-5.88594297,0.12277677,0.00113698,0.00266915,0.00012908,0.00000000,0.02766755,0.00738385,0.00128975,0.07285969
-5.87993997,0.13867757,0.00112315,0.00327718,0.00016046,0.00000000,0.03074420,0.00844115,0.00159242,0.08198911
-5.87393697,0.15962354,0.00114849,0.00399599,0.00019821,0.00000000,0.03494876,0.00980429,0.00195516,0.09412176
-5.86793397,0.18606894,0.00121351,0.00483900,0.00024331,0.00000000,0.04037414,0.01150266,0.00238619,0.10952566
-5.86193097,0.21849435,0.00131899,0.00581976,0.00029684,0.00000000,0.04711916,0.01356726,0.00289410,0.12848552
-5.85592796,0.25739726,0.00146595,0.00695160,0.00035994,0.00000000,0.05528650,0.01603016,0.00348771,0.15129731
-5.84992496,0.30327988,0.00165570,0.00824726,0.00043386,0.00000000,0.06498003,0.01892375,0.00417587,0.17826126
-5.84392196,0.35663450,0.00188979,0.00971842,0.00051989,0.00000000,0.07630152,0.02227985,0.00496728,0.20967324
-5.83791896,0.41792674,0.00216995,0.01137522,0.00061943,0.00000000,0.08934680,0.02612875,0.00587017,0.24581503
-5.83191596,0.48757732,0.00249813,0.01322579,0.00073390,0.00000000,0.10420162,0.03049809,0.00689211,0.28694350
-5.82591296,0.56594313,0.00287638,0.01527578,0.00086479,0.00000000,0.12093726,0.03541179,0.00803968,0.33327944
-5.81990995,0.65329834,0.00330683,0.01752784,0.00101362,0.00000000,0.13960615,0.04088892,0.00931824,0.38499638
-5.81390695,0.74981660,0.00379165,0.01998130,0.00118193,0.00000000,0.16023770,0.04694271,0.01073160,0.44220986
-5.80790395,0.85555523,0.00433303,0.02263178,0.00137132,0.00000000,0.18283456,0.05357959,0.01228182,0.50496802
-5.80190095,0.97044229,0.00493308,0.02547097,0.00158335,0.00000000,0.20736956,0.06079848,0.01396900,0.57324371
-5.79589795,1.09426750,0.00559385,0.02848653,0.00181963,0.00000000,0.23378352,0.06859029,0.01579111,0.64692886
-5.78989495,1.22667759,0.00631728,0.03166212,0.00208173,0.00000000,0.26198411,0.07693764,0.01774392,0.72583148
-5.78389195,1.36717666,0.00710515,0.03497753,0.00237121,0.00000000,0.29184592,0.08581492,0.01982095,0.80967556
-5.77788894,1.51513169,0.00795906,0.03840901,0.00268959,0.00000000,0.32321181,0.09518857,0.02201352,0.89810400
-5.77188594,1.66978315,0.00888038,0.04192971,0.00303833,0.00000000,0.35589548,0.10501772,0.02431091,0.99068453
-5.76588294,1.83026030,0.00987021,0.04551025,0.00341882,0.00000000,0.38968530,0.11525503,0.02670050,1.08691843
