energy_ev,total_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.50300421,0.35381152,0.43559823,0.61011696,0.33540581,0.02299580,0.23135113,0.03728433,1.15878806
-5.99399700,2.41740198,0.33563165,0.41474142,0.59398563,0.32590615,0.02132379,0.22069231,0.03611578,1.12234462
-5.98799400,2.34361366,0.31927773,0.39682976,0.57977326,0.31799719,0.01981033,0.21181219,0.03508529,1.09029257
-5.98199100,2.28217497,0.30498839,0.38199701,0.56758552,0.31165703,0.01846120,0.20474692,0.03419683,1.06290907
-5.97598799,2.23347117,0.29299000,0.37034189,0.55749380,0.30684506,0.01727991,0.19951397,0.03345285,1.04040992
-5.96998499,2.19775208,0.28349476,0.36192938,0.54953998,0.30350645,0.01626798,0.19611369,0.03285461,1.02295621
-5.96398199,2.17515058,0.27669930,0.35679300,0.54374248,0.30157677,0.01542512,0.19453121,0.03240243,1.01066251
-5.95797899,2.16570325,0.27278362,0.35493772,0.54010319,0.30098668,0.01474950,0.19473874,0.03209608,1.00360591
-5.95197599,2.16937207,0.27191040,0.35634357,0.53861485,0.30166634,0.01423807,0.19669792,0.03193497,1.00183539
-5.94597299,2.18606566,0.27422446,0.36096960,0.53926850,0.30354956,0.01388681,0.20036233,0.03191847,1.00538077
-5.93996998,2.21565880,0.27985246,0.36875800,0.54206054,0.30657730,0.01369107,0.20567984,0.03204606,1.01426074
-5.93396698,2.25800916,0.28890251,0.37963827,0.54699887,0.31070063,0.01364579,0.21259484,0.03231742,1.02848942
-5.92796398,2.31297004,0.30146374,0.39353111,0.55410776,0.31588277,0.01374576,0.22105014,0.03273248,1.04808085
-5.92196098,2.38039850,0.31760571,0.41035194,0.56343113,0.32210032,0.01398581,0.23098856,0.03329139,1.07305125
-5.91595798,2.46015847,0.33737751,0.43001387,0.57503388,0.32934357,0.01436099,0.24235400,0.03399432,1.10341878
-5.90995498,2.55211850,0.36080660,0.45242996,0.58900123,0.33761595,0.01486662,0.25509212,0.03484132,1.13920087
-5.90395198,2.65614461,0.38789738,0.47751469,0.60543595,0.34693253,0.01549840,0.26915046,0.03583197,1.18040906
-5.89794897,2.77208860,0.41862945,0.50518469,0.62445354,0.35731787,0.01625236,0.28447810,0.03696513,1.22704202
-5.89194597,2.89977262,0.45295564,0.53535847,0.64617563,0.36880312,0.01712486,0.30102489,0.03823855,1.27907684
-5.88594297,3.03897111,0.49079998,0.56795546,0.67072179,0.38142272,0.01811245,0.31874020,0.03964856,1.33645940
-5.87993997,3.18939127,0.53205561,0.60289416,0.69820017,0.39521069,0.01921177,0.33757145,0.04118974,1.39909429
-5.87393697,3.35065333,0.57658286,0.64008979,0.72869747,0.41019686,0.02041942,0.35746228,0.04285466,1.46683508
-5.86793397,3.52227191,0.62420757,0.67945123,0.76226858,0.42640307,0.02173170,0.37835063,0.04463371,1.53947555
-5.86193097,3.70363972,0.67471987,0.72087773,0.79892660,0.44383965,0.02314450,0.40016684,0.04651502,1.61674237
-5.85592796,3.89401470,0.72787359,0.76425537,0.83863353,0.46250221,0.02465307,0.42283171,0.04848447,1.69828995
-5.84992496,4.09251145,0.78338624,0.80945359,0.88129233,0.48236897,0.02625185,0.44625484,0.05052582,1.78369771
-5.84392196,4.29809768,0.84093993,0.85632191,0.92674058,0.50339870,0.02793433,0.47033325,0.05262104,1.87247006
-5.83791896,4.50959593,0.90018309,0.90468706,0.97474623,0.52552931,0.02969286,0.49495031,0.05475060,1.96403927
-5.83191596,4.72569088,0.96073317,0.95435081,1.02500566,0.54867718,0.03151861,0.51997526,0.05689401,2.05777110
-5.82591296,4.94494182,1.02218016,1.00508845,1.07714421,0.57273722,0.03340146,0.54526312,0.05903037,2.15297301
-5.81990995,5.16580010,1.08409102,1.05664823,1.13071932,0.59758355,0.03533003,0.57065522,0.06113892,2.24890473
-5.81390695,5.38663068,1.14601490,1.10875182,1.18522621,0.62307097,0.03729167,0.59598031,0.06319976,2.34479070
-5.80790395,5.60573719,1.20748893,1.16109569,1.24010595,0.64903680,0.03927254,0.62105614,0.06519440,2.43983387
-5.80190095,5.82138932,1.26804456,1.21335358,1.29475579,0.67530343,0.04125776,0.64569162,0.06710636,2.53323038
-5.79589795,6.03185168,1.32721412,1.26517982,1.34854129,0.70168104,0.04323152,0.66968938,0.06892165,2.62418449
-5.78989495,6.23541300,1.38453754,1.31621348,1.40081005,0.72797073,0.04517731,0.69284870,0.07062923,2.71192336
-5.78389195,6.43041461,1.43956893,1.36608325,1.45090640,0.75396780,0.04707812,0.71496864,0.07222121,2.79571090
-5.77788894,6.61527732,1.49188284,1.41441264,1.49818678,0.77946509,0.04891668,0.73585142,0.07369300,2.87486057
-5.77188594,6.78852593,1.54107998,1.46082549,1.54203504,0.80425627,0.05067573,0.75530566,0.07504332,2.94874643
-5.76588294,6.94881041,1.58679236,1.50495156,1.58187741,0.82813910,0.05233825,0.77314967,0.07627401,3.01681243
-5.75987994,7.09492358,1.62868759,1.54643187,1.61719641,0.85091843,0.05388775,0.78921443,0.07738970,3.07857947
-5.75387694,7.22581470,1.66647226,1.58492365,1.64754339,0.87240903,0.05530846,0.80334633,0.07839741,3.13365036
-5.74787394,7.34059891,1.69989444,1.62010488,1.67254922,0.89243812,0.05658562,0.81540947,0.07930595,3.18171244
-5.74187094,7.43856263,1.72874530,1.65167814,1.69193278,0.91084751,0.05770564,0.82528760,0.08012536,3.22253820
-5.73586793,7.51916503,1.75285977,1.67937380,1.70550694,0.92749550,0.05865628,0.83288556,0.08086619,3.25598368
-5.72986493,7.58203603,1.77211648,1.70295261,1.71318205,0.94225839,0.05942685,0.83813027,0.08153885,3.28198531
-5.72386193,7.62697133,1.78643706,1.72220764,1.71496659,0.95503159,0.06000831,0.84097127,0.08215295,3.30055505
-5.71785893,7.65392510,1.79578492,1.73696576,1.71096522,0.96573053,0.06039341,0.84138096,0.08271667,3.31177450
-5.71185593,7.66300103,1.80016375,1.74708875,1.70137434,0.97429114,0.06057675,0.83935441,0.08323630,3.31578805
-5.70585293,7.65444247,1.79961581,1.75247422,1.68647522,0.98067018,0.06055491,0.83490896,0.08371578,3.31279570
-5.69984992,7.62862230,1.79422023,1.75305640,1.66662525,0.98484530,0.06032644,0.82808369,0.08415650,3.30304568
-5.69384692,7.58603320,1.78409153,1.74880712,1.64224737,0.98681495,0.05989199,0.81893870,0.08455710,3.28682738
-5.68784392,7.52727897,1.76937822,1.73973686,1.61381842,0.98659819,0.05925430,0.80755445,0.08491359,3.26446484
-5.68184092,7.45306707,1.75026185,1.72589609,1.58185654,0.98423442,0.05841822,0.79403102,0.08521945,3.23631107
-5.67583792,7.36420282,1.72695618,1.70737678,1.54690826,0.97978311,0.05739078,0.77848742,0.08546601,3.20274330
-5.66983492,7.26158531,1.69970676,1.68431410,1.50953564,0.97332354,0.05618117,0.76106100,0.08564289,3.16415945
-5.66383192,7.14620475,1.66879054,1.65688821,1.47030383,0.96495449,0.05480071,0.74190677,0.08573856,3.12097571
-5.65782891,7.01914115,1.63451558,1.62532578,1.42976945,0.95479408,0.05326283,0.72119677,0.08574099,3.07362521
-5.65182591,6.88156380,1.59722066,1.58990134,1.38847012,0.94297951,0.05158303,0.69911937,0.08563833,3.02255772
-5.64582291,6.73473105,1.55727453,1.55093792,1.34691524,0.92966681,0.04977875,0.67587836,0.08541965,2.96824003
-5.63981991,6.57998964,1.51507485,1.50880700,1.30557839,0.91503048,0.04786927,0.65169192,0.08507565,2.91115697
-5.63381691,6.41877311,1.47104643,1.46392733,1.26489133,0.89926307,0.04587550,0.62679124,0.08459929,2.85181257
-5.62781391,6.25259844,1.42563888,1.41676263,1.22523963,0.88257440,0.04381983,0.60141887,0.08398643,2.79073115
-5.62181091,6.08306052,1.37932340,1.36781796,1.18696008,0.86519061,0.04172580,0.57582664,0.08323628,2.72845802
-5.61580790,5.91182387,1.33258890,1.31763462,1.15033954,0.84735277,0.03961783,0.55027324,0.08235182,2.66555949
-5.60980490,5.74061136,1.28593720,1.26678375,1.11561545,0.82931503,0.03752090,0.52502142,0.08134006,2.60262192
-5.60380190,5.57118969,1.23987771,1.21585855,1.08297752,0.81134236,0.03546014,0.50033479,0.08021207,2.54024965
-5.59779890,5.40535184,1.19492137,1.16546544,1.05257068,0.79370771,0.03346047,0.47647432,0.07898302,2.47906163
-5.59179590,5.24489641,1.15157421,1.11621422,1.02449889,0.77668861,0.03154614,0.45369467,0.07767195,2.41968675
-5.58579290,5.09160452,1.11033070,1.06870764,0.99882976,0.76056338,0.02974039,0.43224027,0.07630145,2.36275784
-5.57978989,4.94721459,1.07166685,1.02353052,0.97559952,0.74560675,0.02806495,0.41234143,0.07489720,2.30890449
-5.57378689,4.81339571,1.03603351,0.98123904,0.95481840,0.73208522,0.02653973,0.39421047,0.07348741,2.25874479
-5.56778389,4.69172025,1.00384979,0.94235013,0.93647583,0.72025213,0.02518237,0.37803805,0.07210213,2.21287617
-5.56178089,4.58363657,0.97549692,0.90733173,0.92054559,0.71034257,0.02400801,0.36398964,0.07077258,2.17186570
-5.55577789,4.49044248,0.95131249,0.87659376,0.90699038,0.70256841,0.02302891,0.35220254,0.06953030,2.13624007
-5.54977489,4.41326029,0.93158527,0.85048048,0.89576592,0.69711342,0.02225428,0.34278313,0.06840638,2.10647552
-5.54377189,4.35301413,0.91655064,0.82926408,0.88682419,0.69412894,0.02169008,0.33580474,0.06743064,2.08298806
-5.53776888,4.31041014,0.90638660,0.81313998,0.88011582,0.69372994,0.02133892,0.33130608,0.06663080,2.06612428
-5.53176588,4.28592021,0.90121047,0.80222368,0.87559159,0.69599189,0.02120001,0.32929015,0.06603180,2.05615305
-5.52576288,4.27976967,0.90107627,0.79654940,0.87320294,0.70094853,0.02126914,0.32972395,0.06565503,2.05325832
-5.51975988,4.29192932,0.90597282,0.79607041,0.87290155,0.70859059,0.02153883,0.33253865,0.06551773,2.05753330
-5.51375688,4.32211224,0.91582255,0.80066111,0.87463811,0.71886562,0.02199839,0.33763055,0.06563249,2.06897620
-5.50775388,4.36977540,0.93048114,0.81012065,0.87836036,0.73167900,0.02263422,0.34486263,0.06600679,2.08748777
-5.50175088,4.43412640,0.94973806,0.82417818,0.88401061,0.74689611,0.02342998,0.35406674,0.06664272,2.11287060
-5.49574787,4.51413520,0.97331806,0.84249938,0.89152285,0.76434564,0.02436700,0.36504646,0.06753677,2.14483059
-5.48974487,4.60855093,1.00088374,0.86469430,0.90081979,0.78382403,0.02542458,0.37758047,0.06867987,2.18298022
-5.48374187,4.71592341,1.03203934,0.89032618,0.91181000,0.80510084,0.02658046,0.39142660,0.07005741,2.22684407
-5.47773887,4.83462925,1.06633569,0.91892117,0.92438528,0.82792495,0.02781128,0.40632628,0.07164955,2.27586617
-5.47173587,4.96290210,1.10327662,0.94997866,0.93841867,0.85203143,0.02909300,0.42200944,0.07343162,2.32941940
-5.46573287,5.09886628,1.14232653,0.98298196,0.95376305,0.87714879,0.03040149,0.43819984,0.07537463,2.38681651
