energy_ev,total_up,Pb_p_up,Pb_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.95400441,0.06371792,0.00112882,0.23889816,0.40544106,0.55657458,0.00000000
-5.99399700,0.92238744,0.06007027,0.00112243,0.21886261,0.39401414,0.53417047,0.00000000
-5.98799400,0.89262812,0.05632979,0.00111817,0.20117691,0.38304071,0.51342032,0.00000000
-5.98199100,0.86455179,0.05256863,0.00111501,0.18570753,0.37244300,0.49422694,0.00000000
-5.97598799,0.83800560,0.04885836,0.00111198,0.17231889,0.36215168,0.47650616,0.00000000
-5.96998499,0.81287212,0.04526851,0.00110817,0.16088068,0.35211138,0.46019527,0.00000000
-5.96398199,0.78908140,0.04186530,0.00110282,0.15127420,0.34228550,0.44526028,0.00000000
-5.95797899,0.76662070,0.03871062,0.00109530,0.14339748,0.33266033,0.43170180,0.00000000
-5.95197599,0.74554168,0.03586123,0.00108513,0.13716913,0.32324807,0.41955911,0.00000000
-5.94597299,0.72596430,0.03336807,0.00107205,0.13253085,0.31408868,0.40891235,0.00000000
-5.93996998,0.70807752,0.03127587,0.00105594,0.12944845,0.30525039,0.39988255,0.00000000
-5.93396698,0.69213613,0.02962277,0.00103690,0.12791156,0.29682887,0.39262937,0.00000000
-5.92796398,0.67845407,0.02844014,0.00101519,0.12793184,0.28894487,0.38734658,0.00000000
-5.92196098,0.66739400,0.02775238,0.00099122,0.12954001,0.28174049,0.38425523,0.00000000
-5.91595798,0.65935346,0.02757680,0.00096554,0.13278156,0.27537408,0.38359471,0.00000000
-5.90995498,0.65474803,0.02792344,0.00093883,0.13771154,0.27001405,0.38561193,0.00000000
-5.90395198,0.65399202,0.02879492,0.00091181,0.14438838,0.26583165,0.39054889,0.00000000
-5.89794897,0.65747732,0.03018618,0.00088527,0.15286714,0.26299307,0.39862910,0.00000000
-5.89194597,0.66555130,0.03208429,0.00086001,0.16319235,0.26165117,0.41004344,0.00000000
-5.88594297,0.67849466,0.03446817,0.00083679,0.17539072,0.26193718,0.42493579,0.00000000
-5.87993997,0.69650013,0.03730841,0.00081633,0.18946405,0.26395273,0.44338938,0.00000000
-5.87393697,0.71965306,0.04056708,0.00079925,0.20538263,0.26776251,0.46541422,0.00000000
-5.86793397,0.74791492,0.04419778,0.00078607,0.22307947,0.27338802,0.49093637,0.00000000
-5.86193097,0.78111044,0.04814574,0.00077716,0.24244557,0.28080265,0.51978972,0.00000000
-5.85592796,0.81891939,0.05234823,0.00077277,0.26332667,0.28992841,0.55171063,0.00000000
-5.84992496,0.86087340,0.05673516,0.00077295,0.28552156,0.30063440,0.58633609,0.00000000
