energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.51924210,0.04551008,0.00000000,0.18906506,0.73932354,0.01576698,0.37168953
-5.99399700,1.48007319,0.04495543,0.00000000,0.18213582,0.71937571,0.01558228,0.36250218
-5.98799400,1.43698163,0.04425032,0.00000000,0.17504162,0.69743377,0.01532708,0.35239347
-5.98199100,1.39006878,0.04338914,0.00000000,0.16779052,0.67355595,0.01500268,0.34138442
-5.97598799,1.33953401,0.04237031,0.00000000,0.16040240,0.64784850,0.01461166,0.32951882
-5.96998499,1.28567405,0.04119632,0.00000000,0.15290937,0.62046480,0.01415784,0.31686308
-5.96398199,1.22887780,0.03987366,0.00000000,0.14535546,0.59160242,0.01364626,0.30350504
-5.95797899,1.16961732,0.03841250,0.00000000,0.13779574,0.56149837,0.01308301,0.28955199
-5.95197599,1.10843527,0.03682636,0.00000000,0.13029492,0.53042255,0.01247506,0.27512777
-5.94597299,1.04592959,0.03513150,0.00000000,0.12292544,0.49867017,0.01183014,0.26036937
-5.93996998,0.98273618,0.03334641,0.00000000,0.11576515,0.46655308,0.01115644,0.24542303
-5.93396698,0.91951051,0.03149112,0.00000000,0.10889480,0.43439089,0.01046242,0.23044007
-5.92796398,0.85690886,0.02958655,0.00000000,0.10239526,0.40250196,0.00975657,0.21557274
-5.92196098,0.79557025,0.02765382,0.00000000,0.09634480,0.37119483,0.00904721,0.20097010
-5.91595798,0.73609953,0.02571372,0.00000000,0.09081633,0.34076041,0.00834223,0.18677425
-5.90995498,0.67905242,0.02378607,0.00000000,0.08587485,0.31146525,0.00764896,0.17311695
-5.90395198,0.62492296,0.02188933,0.00000000,0.08157513,0.28354594,0.00697400,0.16011670
-5.89794897,0.57413357,0.02004016,0.00000000,0.07795976,0.25720503,0.00632314,0.14787651
-5.89194597,0.52702803,0.01825319,0.00000000,0.07505747,0.23260829,0.00570122,0.13648219
-5.88594297,0.48386727,0.01654082,0.00000000,0.07288203,0.20988337,0.00511216,0.12600126
-5.87993997,0.44482799,0.01491313,0.00000000,0.07143145,0.18911973,0.00455892,0.11648251
-5.87393697,0.41000370,0.01337787,0.00000000,0.07068783,0.17036982,0.00404355,0.10795605
-5.86793397,0.37940816,0.01194055,0.00000000,0.07061749,0.15365108,0.00356721,0.10043383
-5.86193097,0.35298052,0.01060456,0.00000000,0.07117176,0.13894880,0.00313028,0.09391063
-5.85592796,0.33059212,0.00937135,0.00000000,0.07228809,0.12621945,0.00273245,0.08836529
-5.84992496,0.31205430,0.00824064,0.00000000,0.07389157,0.11539436,0.00237279,0.08376224
-5.84392196,0.29712695,0.00721066,0.00000000,0.07589691,0.10638352,0.00204987,0.08005320
-5.83791896,0.28552759,0.00627837,0.00000000,0.07821060,0.09907935,0.00176189,0.07717897
-5.83191596,0.27694032,0.00543971,0.00000000,0.08073341,0.09336032,0.00150673,0.07507125
-5.82591296,0.27102486,0.00468984,0.00000000,0.08336301,0.08909424,0.00128207,0.07365451
-5.81990995,0.26742502,0.00402334,0.00000000,0.08599667,0.08614132,0.00108550,0.07284778
-5.81390695,0.26577677,0.00343440,0.00000000,0.08853398,0.08435679,0.00091453,0.07256634
-5.80790395,0.26571558,0.00291700,0.00000000,0.09087948,0.08359321,0.00076671,0.07272338
-5.80190095,0.26688311,0.00246505,0.00000000,0.09294510,0.08370247,0.00063963,0.07323152
-5.79589795,0.26893309,0.00207251,0.00000000,0.09465236,0.08453741,0.00053102,0.07400422
-5.78989495,0.27153643,0.00173352,0.00000000,0.09593423,0.08595339,0.00043870,0.07495707
-5.78389195,0.27438554,0.00144243,0.00000000,0.09673661,0.08780946,0.00036067,0.07600894
-5.77788894,0.27719790,0.00119389,0.00000000,0.09701938,0.08996961,0.00029509,0.07708308
-5.77188594,0.27971893,0.00098290,0.00000000,0.09675693,0.09230385,0.00024029,0.07810804
-5.76588294,0.28172408,0.00080482,0.00000000,0.09593830,0.09468928,0.00019477,0.07901846
-5.75987994,0.28302045,0.00065539,0.00000000,0.09456677,0.09701113,0.00015720,0.07975585
-5.75387694,0.28344760,0.00053075,0.00000000,0.09265909,0.09916386,0.00012642,0.08026914
-5.74787394,0.28287798,0.00042740,0.00000000,0.09024428,0.10105218,0.00010142,0.08051517
-5.74187094,0.28121673,0.00034224,0.00000000,0.08736208,0.10259206,0.00008135,0.08045904
-5.73586793,0.27840106,0.00027249,0.00000000,0.08406121,0.10371170,0.00006550,0.08007436
-5.72986493,0.27439920,0.00021575,0.00000000,0.08039742,0.10435231,0.00005332,0.07934335
-5.72386193,0.26920886,0.00016990,0.00000000,0.07643145,0.10446878,0.00004439,0.07825675
-5.71785893,0.26285544,0.00013313,0.00000000,0.07222700,0.10403017,0.00003843,0.07681370
-5.71185593,0.25538977,0.00010389,0.00000000,0.06784880,0.10301981,0.00003533,0.07502138
-5.70585293,0.24688565,0.00008088,0.00000000,0.06336076,0.10143528,0.00003512,0.07289452
-5.69984992,0.23743708,0.00006301,0.00000000,0.05882437,0.09928790,0.00003805,0.07045481
-5.69384692,0.22715528,0.00004941,0.00000000,0.05429733,0.09660204,0.00004456,0.06773016
-5.68784392,0.21616559,0.00003937,0.00000000,0.04983246,0.09341403,0.00005534,0.06475381
-5.68184092,0.20460423,0.00003239,0.00000000,0.04547685,0.08977079,0.00007139,0.06156343
-5.67583792,0.19261514,0.00002809,0.00000000,0.04127137,0.08572823,0.00009405,0.05820003
-5.66983492,0.18034677,0.00002628,0.00000000,0.03725037,0.08134948,0.00012507,0.05470699
-5.66383192,0.16794918,0.00002690,0.00000000,0.03344174,0.07670291,0.00016673,0.05112889
-5.65782891,0.15557123,0.00003007,0.00000000,0.02986707,0.07186021,0.00022186,0.04751057
-5.65182591,0.14335821,0.00003605,0.00000000,0.02654211,0.06689444,0.00029401,0.04389607
-5.64582291,0.13144983,0.00004531,0.00000000,0.02347733,0.06187816,0.00038753,0.04032779
-5.63981991,0.11997868,0.00005850,0.00000000,0.02067859,0.05688180,0.00050769,0.03684569
-5.63381691,0.10906918,0.00007652,0.00000000,0.01814795,0.05197223,0.00066078,0.03348664
-5.62781391,0.09883712,0.00010050,0.00000000,0.01588446,0.04721160,0.00085429,0.03028398
-5.62181091,0.08938969,0.00013187,0.00000000,0.01388503,0.04265649,0.00109694,0.02726716
