energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,5.13673784,1.76036599,2.33398886,0.08953579,1.67873781,0.95792824,0.00000000
-5.99399700,5.04537124,1.69810865,2.30593558,0.08962476,1.65795394,0.94181945,0.00000000
-5.98799400,4.96423373,1.63839251,2.28292717,0.08997674,1.64032793,0.92714456,0.00000000
-5.98199100,4.89434169,1.58187091,2.26524997,0.09059930,1.62611764,0.91414589,0.00000000
-5.97598799,4.83644620,1.52908778,2.25307829,0.09149570,1.61551269,0.90300301,0.00000000
-5.96998499,4.79101920,1.48046966,2.24647098,0.09266486,1.60862861,0.89383062,0.00000000
-5.96398199,4.75824889,1.43632227,2.24537180,0.09410139,1.60550347,0.88667876,0.00000000
-5.95797899,4.73804427,1.39683125,2.24961324,0.09579584,1.60609709,0.88153513,0.00000000
-5.95197599,4.73004776,1.36206696,2.25892355,0.09773499,1.61029263,0.87832926,0.00000000
-5.94597299,4.73365522,1.33199259,2.27293640,0.09990229,1.61790056,0.87693822,0.00000000
-5.93996998,4.74804179,1.30647519,2.29120267,0.10227839,1.62866444,0.87719365,0.00000000
-5.93396698,4.77219241,1.28529868,2.31320372,0.10484171,1.64226849,0.87888960,0.00000000
-5.92796398,4.80493539,1.26817842,2.33836566,0.10756904,1.65834621,0.88179098,0.00000000
-5.92196098,4.84497793,1.25477633,2.36607392,0.11043619,1.67649002,0.88564220,0.00000000
-5.91595798,4.89094215,1.24471617,2.39568787,0.11341859,1.69626123,0.89017575,0.00000000
-5.90995498,4.94140081,1.23759827,2.42655503,0.11649188,1.71720029,0.89512053,0.00000000
-5.90395198,4.99491175,1.23301332,2.45802467,0.11963245,1.73883696,0.90020958,0.00000000
-5.89794897,5.05005063,1.23055488,2.48946067,0.12281785,1.76070014,0.90518728,0.00000000
-5.89194597,5.10544151,1.22983030,2.52025366,0.12602728,1.78232743,0.90981570,0.00000000
-5.88594297,5.15978505,1.23047002,2.54983232,0.12924181,1.80327418,0.91388019,0.00000000
-5.87993997,5.21188438,1.23213523,2.57767412,0.13244470,1.82312212,0.91719406,0.00000000
-5.87393697,5.26066842,1.23452376,2.60331534,0.13562153,1.84148753,0.91960244,0.00000000
-5.86793397,5.30521291,1.23737458,2.62636055,0.13876029,1.85802895,0.92098526,0.00000000
-5.86193097,5.34475878,1.24047079,2.64649146,0.14185145,1.87245447,0.92125934,0.00000000
-5.85592796,5.37872801,1.24364138,2.66347511,0.14488791,1.88452844,0.92037964,0.00000000
-5.84992496,5.40673658,1.24676187,2.67717108,0.14786491,1.89407764,0.91833966,0.00000000
-5.84392196,5.42860421,1.24975392,2.68753762,0.15077989,1.90099665,0.91517096,0.00000000
-5.83791896,5.44436041,1.25258406,2.69463624,0.15363231,1.90525228,0.91094189,0.00000000
-5.83191596,5.45424640,1.25526157,2.69863445,0.15642336,1.90688678,0.90575542,0.00000000
-5.82591296,5.45871240,1.25783558,2.69980621,0.15915568,1.90601959,0.89974622,0.00000000
-5.81990995,5.45840974,1.26039143,2.69852979,0.16183295,1.90284736,0.89307693,0.00000000
-5.81390695,5.45417754,1.26304625,2.69528258,0.16445953,1.89764201,0.88593368,0.00000000
-5.80790395,5.44702368,1.26594397,2.69063283,0.16703992,1.89074651,0.87852112,0.00000000
-5.80190095,5.43810019,1.26924961,2.68522805,0.16957831,1.88256848,0.87105676,0.00000000
-5.79589795,5.42867327,1.27314305,2.67978021,0.17207803,1.87357131,0.86376511,0.00000000
-5.78989495,5.42008844,1.27781242,2.67504794,0.17454105,1.86426309,0.85687151,0.00000000
-5.78389195,5.41373177,1.28344717,2.67181608,0.17696745,1.85518342,0.85059604,0.00000000
-5.77788894,5.41098807,1.29023112,2.67087313,0.17935504,1.84688835,0.84514756,0.00000000
-5.77188594,5.41319742,1.29833558,2.67298720,0.18169896,1.83993400,0.84071819,0.00000000
-5.76588294,5.42161135,1.30791290,2.67888130,0.18399145,1.83485928,0.83747829,0.00000000
-5.75987994,5.43735024,1.31909058,2.68920874,0.18622176,1.83216821,0.83557225,0.00000000
-5.75387694,5.46136331,1.33196619,2.70452953,0.18837620,1.83231262,0.83511509,0.00000000
-5.74787394,5.49439278,1.34660332,2.72528857,0.19043834,1.83567565,0.83619004,0.00000000
-5.74187094,5.53694340,1.36302867,2.75179656,0.19238947,1.84255697,0.83884708,0.00000000
-5.73586793,5.58925851,1.38123031,2.78421419,0.19420909,1.85315995,0.84310253,0.00000000
