energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.17572031,0.00527104,0.10597625,1.01509301,0.22815546,1.33269421,0.00000000,1.84017736,0.03447126
-5.99399700,2.10751181,0.00544570,0.10397104,0.98740392,0.21830915,1.28915994,0.00000000,1.77649651,0.03376545
-5.98799400,2.03485231,0.00561888,0.10167828,0.95590569,0.20816770,1.24291521,0.00000000,1.70886492,0.03299371
-5.98199100,1.95913075,0.00579031,0.09916031,0.92123673,0.19788515,1.19482750,0.00000000,1.63849969,0.03217182
-5.97598799,1.88180623,0.00595998,0.09648862,0.88409669,0.18761442,1.14580051,0.00000000,1.56666138,0.03131741
-5.96998499,1.80437559,0.00612814,0.09374222,0.84522787,0.17750448,1.09675366,0.00000000,1.49462529,0.03044962
-5.96398199,1.72833933,0.00629518,0.09100564,0.80539558,0.16769753,1.04860097,0.00000000,1.42365220,0.02958861
-5.95797899,1.65516683,0.00646159,0.08836671,0.76536809,0.15832642,1.00222984,0.00000000,1.35495959,0.02875504
-5.95197599,1.58626160,0.00662780,0.08591411,0.72589689,0.14951224,0.95848024,0.00000000,1.28969373,0.02796953
-5.94597299,1.52292748,0.00679414,0.08373486,0.68769779,0.14136219,0.91812482,0.00000000,1.22890371,0.02725203
-5.93996998,1.46633665,0.00696065,0.08191161,0.65143342,0.13396766,0.88185047,0.00000000,1.17351765,0.02662126
-5.93396698,1.41750012,0.00712705,0.08052017,0.61769754,0.12740269,0.85024174,0.00000000,1.12432196,0.02609403
-5.92796398,1.37724176,0.00729259,0.07962690,0.58700166,0.12172272,0.82376667,0.00000000,1.08194397,0.02568474
-5.92196098,1.34617631,0.00745604,0.07928649,0.55976415,0.11696371,0.80276526,0.00000000,1.04683844,0.02540481
-5.91595798,1.32469230,0.00761559,0.07953984,0.53630208,0.11314169,0.78744104,0.00000000,1.01927817,0.02526224
-5.90995498,1.31294029,0.00776892,0.08041235,0.51682594,0.11025263,0.77785599,0.00000000,0.99934908,0.02526123
-5.90395198,1.31082695,0.00791318,0.08191262,0.50143723,0.10827284,0.77392888,0.00000000,0.98694980,0.02540192
-5.89794897,1.31801542,0.00804506,0.08403154,0.49012898,0.10715973,0.77543738,0.00000000,0.98179587,0.02568025
-5.89194597,1.33393207,0.00816092,0.08674199,0.48278895,0.10685306,0.78202379,0.00000000,0.98342848,0.02608794
