energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.91843920,0.68046875,0.00779393,1.42430564,2.16189293,0.03483014,1.26645417
-5.99399700,3.93643197,0.67553519,0.00790394,1.44354962,2.17239508,0.03445498,1.27817785
-5.98799400,3.93471169,0.66665951,0.00798681,1.45466005,2.17205349,0.03396367,1.28365496
-5.98199100,3.91393115,0.65402012,0.00804313,1.45750867,2.16128919,0.03337305,1.28302438
-5.97598799,3.87516463,0.63787170,0.00807413,1.45216308,2.14075499,0.03270130,1.27656579
-5.96998499,3.81987236,0.61853750,0.00808164,1.43888515,2.11131315,0.03196751,1.26469037
-5.96398199,3.74985375,0.59639984,0.00806799,1.41812362,2.07400667,0.03119105,1.24792751
-5.95797899,3.66719144,0.57188914,0.00803599,1.39050143,2.03002539,0.03039118,1.22690825
-5.95197599,3.57418852,0.54547182,0.00798881,1.35679809,1.98066848,0.02958654,1.20234615
-5.94597299,3.47330151,0.51763767,0.00792991,1.31792806,1.92730483,0.02879480,1.17501637
-5.93996998,3.36707198,0.48888700,0.00786293,1.27491583,1.87133303,0.02803228,1.14573399
-5.93396698,3.25805913,0.45971820,0.00779163,1.22886884,1.81414255,0.02731379,1.11533215
-5.92796398,3.14877617,0.43061593,0.00771980,1.18094913,1.75707760,0.02665235,1.08464119
-5.92196098,3.04163223,0.40204047,0.00765114,1.13234479,1.70140489,0.02605917,1.05446916
-5.91595798,2.93888184,0.37441837,0.00758926,1.08424204,1.64828638,0.02554351,1.02558455
-5.90995498,2.84258300,0.34813473,0.00753754,1.03779885,1.59875763,0.02511277,0.99870156
-5.90395198,2.75456463,0.32352712,0.00749914,0.99412055,1.55371224,0.02477250,0.97446821
-5.89794897,2.67640355,0.30088125,0.00747692,0.95423811,1.51389232,0.02452647,0.95345734
-5.89194597,2.60941068,0.28042838,0.00747339,0.91908917,1.47988484,0.02437683,0.93616056
-5.88594297,2.55462575,0.26234423,0.00749070,0.88950211,1.45212334,0.02432417,0.92298481
-5.87993997,2.51281945,0.24674943,0.00753062,0.86618300,1.43089413,0.02436768,0.91425125
-5.87393697,2.48450162,0.23371114,0.00759447,0.84970549,1.41634631,0.02450526,0.91019615
-5.86793397,2.46993417,0.22324573,0.00768313,0.84050317,1.40850445,0.02473358,0.91097318
-5.86193097,2.46914720,0.21532229,0.00779703,0.83886450,1.40728298,0.02504821,0.91665681
-5.85592796,2.48195705,0.20986668,0.00793609,0.84492982,1.41250138,0.02544366,0.92724628
-5.84992496,2.50798501,0.20676610,0.00809974,0.85869042,1.42389934,0.02591343,0.94266985
-5.84392196,2.54667589,0.20587381,0.00828687,0.87998958,1.44115102,0.02645004,0.96278897
-5.83791896,2.59731589,0.20701404,0.00849588,0.90852538,1.46387815,0.02704509,0.98740240
-5.83191596,2.65904928,0.20998691,0.00872463,0.94385561,1.49166146,0.02768929,1.01624992
-5.82591296,2.73089413,0.21457336,0.00897047,0.98540454,1.52405035,0.02837248,1.04901601
-5.81990995,2.81175718,0.22053997,0.00923028,1.03247204,1.56057094,0.02908372,1.08533329
-5.81390695,2.90044846,0.22764377,0.00950051,1.08424494,1.60073261,0.02981142,1.12478630
-5.80790395,2.99569607,0.23563692,0.00977726,1.13981090,1.64403338,0.03054340,1.16691544
-5.80190095,3.09616180,0.24427143,0.01005631,1.19817475,1.68996459,0.03126712,1.21122175
-5.79589795,3.20045819,0.25330365,0.01033329,1.25827729,1.73801514,0.03196986,1.25717237
-5.78989495,3.30716725,0.26249879,0.01060374,1.31901637,1.78767575,0.03263895,1.30420715
-5.78389195,3.41486123,0.27163525,0.01086328,1.37926983,1.83844359,0.03326211,1.35174632
-5.77788894,3.52212518,0.28050878,0.01110770,1.43791991,1.88982731,0.03382764,1.39919925
-5.77188594,3.62758115,0.28893629,0.01133317,1.49387841,1.94135263,0.03432483,1.44597431
-5.76588294,3.72991320,0.29675936,0.01153629,1.54611180,1.99256845,0.03474419,1.49148939
-5.75987994,3.82789267,0.30384719,0.01171428,1.59366567,2.04305316,0.03507780,1.53518293
-5.75387694,3.92040231,0.31009896,0.01186508,1.63568722,2.09242089,0.03531951,1.57652506
-5.74787394,4.00645858,0.31544542,0.01198739,1.67144542,2.14032737,0.03546518,1.61502827
-5.74187094,4.08523052,0.31984972,0.01208077,1.70034757,2.18647476,0.03551281,1.65025723
-5.73586793,4.15605458,0.32330722,0.01214566,1.72195197,2.23061530,0.03546267,1.68183736
-5.72986493,4.21844410,0.32584446,0.01218336,1.73597592,2.27255310,0.03531724,1.70946156
-5.72386193,4.27209306,0.32751708,0.01219597,1.74229889,2.31214409,0.03508116,1.73289490
-5.71785893,4.31687373,0.32840695,0.01218636,1.74096076,2.34929364,0.03476111,1.75197704
-5.71185593,4.35282808,0.32861833,0.01215803,1.73215521,2.38395213,0.03436554,1.76662218
-5.70585293,4.38015344,0.32827347,0.01211498,1.71621872,2.41610853,0.03390441,1.77681661
-5.69984992,4.39918321,0.32750759,0.01206158,1.69361569,2.44578217,0.03338883,1.78261409
-5.69384692,4.41036336,0.32646362,0.01200242,1.66492042,2.47301343,0.03283073,1.78412918
-5.68784392,4.41422633,0.32528674,0.01194212,1.63079683,2.49785375,0.03224243,1.78152904
-5.68184092,4.41136350,0.32411913,0.01188523,1.59197673,2.52035562,0.03163626,1.77502415
-5.67583792,4.40239780,0.32309496,0.01183603,1.54923774,2.54056339,0.03102420,1.76485837
-5.66983492,4.38795794,0.32233602,0.01179846,1.50338149,2.55850534,0.03041753,1.75129893
-5.66383192,4.36865550,0.32194802,0.01177599,1.45521310,2.57418779,0.02982655,1.73462693
-5.65782891,4.34506606,0.32201771,0.01177156,1.40552251,2.58759164,0.02926032,1.71512858
-5.65182591,4.31771509,0.32261098,0.01178755,1.35506812,2.59867159,0.02872653,1.69308785
