energy_ev,total_up,Cu_p_up,Cu_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.14977675,0.00657987,0.17917997,0.02868747,0.00003351,0.14305950,0.00657902,0.36460006
-5.99399700,1.16428392,0.00686049,0.18178383,0.03012347,0.00003626,0.14488319,0.00678952,0.36921658
-5.98799400,1.17376963,0.00710713,0.18359644,0.03142927,0.00003923,0.14608119,0.00696936,0.37223997
-5.98199100,1.17799982,0.00731545,0.18457621,0.03258821,0.00004248,0.14662400,0.00711559,0.37359568
-5.97598799,1.17681391,0.00748185,0.18469357,0.03358772,0.00004607,0.14649129,0.00722594,0.37323248
-5.96998499,1.17013610,0.00760366,0.18393293,0.03442011,0.00005009,0.14567330,0.00729892,0.37112604
-5.96398199,1.15798472,0.00767925,0.18229422,0.03508310,0.00005465,0.14417203,0.00733392,0.36728194
-5.95797899,1.14047895,0.00770806,0.17979400,0.03558012,0.00005986,0.14200207,0.00733127,0.36173776
-5.95197599,1.11784229,0.00769072,0.17646607,0.03592052,0.00006585,0.13919104,0.00729228,0.35456419
-5.94597299,1.09040233,0.00762899,0.17236139,0.03611938,0.00007277,0.13577955,0.00721920,0.34586499
-5.93996998,1.05858650,0.00752573,0.16754745,0.03619722,0.00008077,0.13182072,0.00711522,0.33577562
-5.93396698,1.02291393,0.00738485,0.16210685,0.03617939,0.00009002,0.12737907,0.00698435,0.32446066
-5.92796398,0.98398328,0.00721112,0.15613534,0.03609518,0.00010067,0.12252911,0.00683133,0.31210995
-5.92196098,0.94245726,0.00701005,0.14973930,0.03597687,0.00011288,0.11735335,0.00666146,0.29893368
-5.91595798,0.89904418,0.00678771,0.14303266,0.03585844,0.00012679,0.11194001,0.00648039,0.28515654
-5.90995498,0.85447740,0.00655046,0.13613354,0.03577429,0.00014253,0.10638047,0.00629400,0.27101118
-5.90395198,0.80949358,0.00630480,0.12916071,0.03575780,0.00016020,0.10076657,0.00610814,0.25673136
-5.89794897,0.76481062,0.00605710,0.12222998,0.03583994,0.00017985,0.09518782,0.00592840,0.24254488
-5.89194597,0.72110620,0.00581341,0.11545065,0.03604788,0.00020151,0.08972877,0.00575998,0.22866684
-5.88594297,0.67899806,0.00557923,0.10892232,0.03640371,0.00022516,0.08446655,0.00560742,0.21529335
-5.87993997,0.63902666,0.00535940,0.10273201,0.03692338,0.00025071,0.07946868,0.00547451,0.20259601
-5.87393697,0.60164099,0.00515792,0.09695192,0.03761576,0.00027801,0.07479134,0.00536409,0.19071745
-5.86793397,0.56718815,0.00497786,0.09163762,0.03848204,0.00030688,0.07047805,0.00527802,0.17976801
-5.86193097,0.53590702,0.00482130,0.08682711,0.03951541,0.00033703,0.06655889,0.00521709,0.16982370
-5.85592796,0.50792613,0.00468936,0.08254043,0.04070098,0.00036815,0.06305024,0.00518098,0.16092556
-5.84992496,0.48326590,0.00458222,0.07878000,0.04201617,0.00039986,0.05995506,0.00516838,0.15308034
-5.84392196,0.46184478,0.00449918,0.07553169,0.04343124,0.00043173,0.05726362,0.00517697,0.14626244
-5.83791896,0.44348911,0.00443886,0.07276640,0.04491030,0.00046331,0.05495481,0.00520360,0.14041703
-5.83191596,0.42794621,0.00439931,0.07044220,0.04641241,0.00049412,0.05299769,0.00524440,0.13546420
-5.82591296,0.41489990,0.00437830,0.06850688,0.04789305,0.00052368,0.05135348,0.00529499,0.13130385
-5.81990995,0.40398796,0.00437349,0.06690087,0.04930567,0.00055152,0.04997773,0.00535068,0.12782122
-5.81390695,0.39482079,0.00438281,0.06556023,0.05060336,0.00057722,0.04882264,0.00540666,0.12489278
-5.80790395,0.38700042,0.00440469,0.06441980,0.05174054,0.00060041,0.04783946,0.00545826,0.12239223
