energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.74337944,-2.59308661,1.05644692,-0.70165039,1.17260509,-0.19642121,0.68193195,-0.80952087,0.39746789,-0.53691471,0.00581294,-0.00426942,0.57236757,-0.07909979,0.04491529,-0.04065541,1.40387924,-1.48644951
-5.99399700,3.81729803,-2.59917185,1.11149659,-0.71034232,1.19274111,-0.19722142,0.69199060,-0.80872905,0.40057885,-0.54627652,0.00580690,-0.00411137,0.59497272,-0.07985412,0.04417683,-0.03939559,1.42125764,-1.48912245
-5.98799400,3.88737162,-2.59944561,1.16830594,-0.71766581,1.21441854,-0.19754979,0.69844724,-0.80633214,0.40154122,-0.55440326,0.00577732,-0.00394144,0.62099338,-0.08046479,0.04328159,-0.03803671,1.43183609,-1.48847186
-5.98199100,3.95392280,-2.59409208,1.22689529,-0.72356648,1.23784399,-0.19741712,0.70126582,-0.80246129,0.40034954,-0.56118065,0.00572545,-0.00376259,0.65057371,-0.08092728,0.04225042,-0.03660145,1.43556773,-1.48462912
-5.97598799,4.01734887,-2.58323697,1.28726232,-0.72797211,1.26318626,-0.19683041,0.70049411,-0.79722343,0.39703933,-0.56648450,0.00565294,-0.00357764,0.68378391,-0.08123466,0.04110586,-0.03511162,1.43254854,-1.47769200
-5.96998499,4.07809588,-2.56694503,1.34936979,-0.73079564,1.29056864,-0.19579270,0.69626016,-0.79069871,0.39168581,-0.57018441,0.00556183,-0.00338922,0.72061347,-0.08137797,0.03987144,-0.03358746,1.42301128,-1.46772236
-5.96398199,4.13662908,-2.54522467,1.41313263,-0.73194007,1.32006185,-0.19430333,0.68876608,-0.78294024,0.38440126,-0.57214874,0.00545448,-0.00319972,0.76096603,-0.08134680,0.03857121,-0.03204715,1.40731530,-1.45474801
-5.95797899,4.19340073,-2.51803933,1.47840513,-0.73130518,1.35167743,-0.19235874,0.67827938,-0.77397610,0.37533144,-0.57225058,0.00533350,-0.00301123,0.80465592,-0.08113018,0.03722910,-0.03050648,1.38593233,-1.43876828
-5.95197599,4.24881632,-2.48532434,1.54496897,-0.72879529,1.38536186,-0.18995361,0.66512230,-0.76381340,0.36465089,-0.57037448,0.00520174,-0.00282552,0.85140663,-0.08071755,0.03586845,-0.02897864,1.35942899,-1.41976287
-5.94597299,4.30320070,-2.44700798,1.61252285,-0.72432787,1.42099142,-0.18708232,0.64965946,-0.75244385,0.35255754,-0.56642337,0.00506216,-0.00264405,0.90085127,-0.08009990,0.03451150,-0.02747421,1.32844654,-1.39770319
-5.93996998,4.35676565,-2.40303493,1.68067445,-0.71784220,1.45836830,-0.18374059,0.63228447,-0.73985064,0.33926675,-0.56032533,0.00491780,-0.00246797,0.95253508,-0.07927086,0.03317893,-0.02600121,1.29367881,-1.37256519
-5.93396698,4.40958053,-2.35339035,1.74893562,-0.70930752,1.49721795,-0.17992714,0.61340609,-0.72601572,0.32500491,-0.55203972,0.00477167,-0.00229813,1.00592022,-0.07822783,0.03188951,-0.02456537,1.25584917,-1.34434271
-5.92796398,4.46154790,-2.29812264,1.81672126,-0.69873010,1.53718824,-0.17564536,0.59343438,-0.71092727,0.31000313,-0.54156224,0.00462666,-0.00213513,1.06039279,-0.07697285,0.03065970,-0.02317036,1.21568747,-1.31306031
-5.92196098,4.51238565,-2.23736330,1.88335252,-0.68615872,1.57785065,-0.17090470,0.57276762,-0.69458663,0.29449088,-0.52892866,0.00448549,-0.00197932,1.11527215,-0.07551333,0.02950340,-0.02181816,1.17390785,-1.27878461
-5.91595798,4.56161707,-2.17134225,1.94806462,-0.67168803,1.61870389,-0.16572179,0.55178036,-0.67701426,0.27869025,-0.51421682,0.00435059,-0.00183089,1.16982248,-0.07386250,0.02843167,-0.02050945,1.13118838,-1.24163332
-5.90995498,4.60857007,-2.10039765,2.01001929,-0.65545970,1.65918015,-0.16012119,0.53081310,-0.65825435,0.26281066,-0.49754686,0.00422407,-0.00168986,1.22326646,-0.07203951,0.02745259,-0.01924400,1.08815318,-1.20178127
-5.90395198,4.65238614,-2.02497940,2.06832185,-0.63766095,1.69865409,-0.15413572,0.51016404,-0.63837783,0.24704444,-0.47907963,0.00410760,-0.00155614,1.27480098,-0.07006924,0.02657111,-0.01802097,1.04535779,-1.15946306
-5.89794897,4.69203937,-1.94564604,2.12204235,-0.61852074,1.73645480,-0.14780632,0.49008302,-0.61748359,0.23156331,-0.45901318,0.00400242,-0.00142959,1.32361439,-0.06798170,0.02578906,-0.01683930,1.00327811,-1.11497216
-5.89194597,4.72636520,-1.86305530,2.17024015,-0.59830354,1.77188036,-0.14118146,0.47076785,-0.59569789,0.21651588,-0.43757782,0.00390927,-0.00131000,1.36890505,-0.06581123,0.02510514,-0.01569794,0.96230325,-1.06865646
