energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.49196815,0.21694177,0.26259879,0.02742559,0.25042363,1.58671959,1.12959873,0.03786182,1.66618121
-5.99399700,3.68066716,0.22654118,0.27779070,0.02832774,0.26527445,1.67341268,1.19631713,0.03952833,1.75429575
-5.98799400,3.86470745,0.23543825,0.29218640,0.02915403,0.28015861,1.75735072,1.26326427,0.04116056,1.83975319
-5.98199100,4.04136161,0.24354546,0.30552726,0.02989350,0.29487957,1.83780023,1.32940443,0.04272100,1.92130966
-5.97598799,4.20816730,0.25079707,0.31757702,0.03053834,0.30926030,1.91415434,1.39376472,0.04417511,1.99784819
-5.96998499,4.36300069,0.25715189,0.32812950,0.03108405,0.32314857,1.98595031,1.45546294,0.04549215,2.06841256
-5.96398199,4.50414305,0.26259515,0.33701573,0.03152943,0.33642168,2.05288313,1.51373441,0.04664588,2.13223762
-5.95797899,4.63033760,0.26713967,0.34411015,0.03187645,0.34899032,2.11481484,1.56795682,0.04761521,2.18877529
-5.95197599,4.74083428,0.27082604,0.34933557,0.03213004,0.36080151,2.17177881,1.61767212,0.04838464,2.23771481
-5.94597299,4.83542000,0.27372192,0.35266652,0.03229765,0.37184034,2.22397907,1.66260440,0.04894457,2.27899640
-5.93996998,4.91443266,0.27592030,0.35413095,0.03238883,0.38213044,2.27178425,1.70267294,0.04929147,2.31281736
-5.93396698,4.97875769,0.27753686,0.35380998,0.03241467,0.39173311,2.31571650,1.73799965,0.04942778,2.33963028
-5.92796398,5.02980630,0.27870643,0.35183572,0.03238717,0.40074499,2.35643558,1.76891012,0.04936170,2.36013285
-5.92196098,5.06947563,0.27957870,0.34838719,0.03231863,0.40929438,2.39471846,1.79592798,0.04910675,2.37524934
-5.91595798,5.10009148,0.28031326,0.34368450,0.03222099,0.41753629,2.43143526,1.81976226,0.04868118,2.38610427
-5.90995498,5.12433502,0.28107408,0.33798141,0.03210526,0.42564624,2.46752187,1.84128789,0.04810719,2.39398858
-5.90395198,5.14515576,0.28202378,0.33155682,0.03198097,0.43381308,2.50395029,1.86151971,0.04741003,2.40031967
-5.89794897,5.16567336,0.28331769,0.32470516,0.03185573,0.44223108,2.54169731,1.88158049,0.04661707,2.40659627
-5.89194597,5.18907177,0.28509800,0.31772655,0.03173490,0.45109137,2.58171237,1.90266401,0.04575667,2.41434971
-5.88594297,5.21848919,0.28748822,0.31091677,0.03162139,0.46057328,2.62488558,1.92599433,0.04485721,2.42509338
-5.87993997,5.25690792,0.29058809,0.30455774,0.03151559,0.47083558,2.67201667,1.95278259,0.04394597,2.44027203
-5.87393697,5.30704816,0.29446921,0.29890879,0.03141548,0.48200826,2.72378573,1.98418285,0.04304817,2.46121281
-5.86793397,5.37126975,0.29917151,0.29419917,0.03131682,0.49418494,2.78072674,2.02124875,0.04218613,2.48907997
-5.86193097,5.45148576,0.30470071,0.29062209,0.03121352,0.50741625,2.84320472,2.06489248,0.04137849,2.52483481
-5.85592796,5.54909131,0.31102691,0.28833052,0.03109809,0.52170466,2.91139731,2.11584789,0.04063962,2.56920263
-5.84992496,5.66491068,0.31808442,0.28743493,0.03096215,0.53700074,2.98528172,2.17463915,0.03997926,2.62264780
-5.84392196,5.79916483,0.32577280,0.28800301,0.03079707,0.55320136,3.06462767,2.24155632,0.03940228,2.68535823
-5.83791896,5.95146106,0.33395919,0.29006135,0.03059454,0.57014978,3.14899713,2.31663905,0.03890870,2.75723969
-5.83191596,6.12080527,0.34248178,0.29359894,0.03034717,0.58763784,3.23775104,2.39966906,0.03849387,2.83792031
-5.82591296,6.30563670,0.35115450,0.29857221,0.03004906,0.60541024,3.33006352,2.49017189,0.03814885,2.92676528
-5.81990995,6.50388373,0.35977262,0.30491139,0.02969625,0.62317094,3.42494334,2.58742800,0.03786092,3.02290083
-5.81390695,6.71303866,0.36811911,0.31252774,0.02928711,0.64059128,3.52126228,2.69049281,0.03761429,3.12524689
-5.80790395,6.93024843,0.37597170,0.32132126,0.02882260,0.65731993,3.61778974,2.79822491,0.03739086,3.23255664
-5.80190095,7.15241730,0.38311016,0.33118847,0.02830636,0.67299399,3.71323234,2.90932143,0.03717108,3.34346159
-5.79589795,7.37631717,0.38932368,0.34202966,0.02774472,0.68725109,3.80627711,3.02235891,0.03693479,3.45651990
-5.78989495,7.59870061,0.39441806,0.35375535,0.02714651,0.69974179,3.89563656,3.13583812,0.03666217,3.57026601
-5.78389195,7.81641138,0.39822234,0.36629150,0.02652281,0.71014191,3.98009341,3.24823084,0.03633452,3.68325919
-5.77788894,8.02648773,0.40059465,0.37958304,0.02588646,0.71816419,4.05854304,3.35802669,0.03593502,3.79412892
-5.77188594,8.22625340,0.40142706,0.39359564,0.02525164,0.72356873,4.13003135,3.46377789,0.03544944,3.90161502
-5.76588294,8.41339254,0.40064920,0.40831548,0.02463323,0.72617166,4.19378602,3.56414022,0.03486662,4.00460075
-5.75987994,8.58600499,0.39823040,0.42374693,0.02404620,0.72585177,4.24923940,3.65790848,0.03417885,4.10213752
-5.75387694,8.74263988,0.39418045,0.43990841,0.02350497,0.72255458,4.29604171,3.74404507,0.03338215,4.19346024
-5.74787394,8.88230619,0.38854875,0.45682646,0.02302278,0.71629380,4.33406353,3.82170070,0.03247626,4.27799285
-5.74187094,9.00446072,0.38142200,0.47452838,0.02261110,0.70714998,4.36338754,3.89022666,0.03146460,4.35534413
-5.73586793,9.10897459,0.37292052,0.49303394,0.02227913,0.69526654,4.38428976,3.94917859,0.03035401,4.42529447
-5.72986493,9.19608112,0.36319332,0.51234658,0.02203335,0.68084332,4.39721130,3.99831189,0.02915437,4.48777469
-5.72386193,9.26630856,0.35241228,0.53244464,0.02187722,0.66412800,4.40272245,4.03756969,0.02787818,4.54283857
-5.71785893,9.32040229,0.34076555,0.55327327,0.02181101,0.64540588,4.40148105,4.06706435,0.02653992,4.59063092
-5.71185593,9.35924139,0.32845063,0.57473752,0.02183171,0.62498858,4.39418776,4.08705386,0.02515552,4.63135343
-5.70585293,9.38375499,0.31566735,0.59669715,0.02193316,0.60320213,4.38154101,4.09791478,0.02374171,4.66523057
-5.69984992,9.39484347,0.30261119,0.61896358,0.02210626,0.58037523,4.36419423,4.10011334,0.02231539,4.69247763
-5.69384692,9.39330932,0.28946703,0.64129940,0.02233930,0.55682816,4.34271815,4.09417638,0.02089308,4.71327306
-5.68784392,9.37980167,0.27640389,0.66342048,0.02261850,0.53286279,4.31757027,4.08066364,0.01949042,4.72773672
-5.68184092,9.35477762,0.26357059,0.68500095,0.02292852,0.50875430,4.28907337,4.06014283,0.01812167,4.73591527
-5.67583792,9.31848220,0.25109263,0.70568072,0.02325315,0.48474478,4.25740414,4.03316849,0.01679945,4.73777566
-5.66983492,9.27094769,0.23907044,0.72507548,0.02357604,0.46103895,4.22259245,4.00026541,0.01553444,4.73320667
-5.66383192,9.21201163,0.22757874,0.74278862,0.02388142,0.43780211,4.18453099,3.96191708,0.01433531,4.72202844
-5.65782891,9.14135172,0.21666731,0.75842463,0.02415489,0.41516015,4.14299440,3.91855915,0.01320867,4.70400905
-5.65182591,9.05853481,0.20636279,0.77160338,0.02438407,0.39320151,4.09766640,3.87057763,0.01215911,4.67888677
-5.64582291,8.96307620,0.19667143,0.78197446,0.02455937,0.37198079,4.04817292,3.81831141,0.01118943,4.64639662
-5.63981991,8.85450514,0.18758261,0.78923111,0.02467450,0.35152366,3.99411899,3.76205810,0.01030079,4.60629906
-5.63381691,8.73243193,0.17907287,0.79312278,0.02472701,0.33183259,3.93512683,3.70208258,0.00949303,4.55840918
-5.62781391,8.59661246,0.17111013,0.79346600,0.02471863,0.31289310,3.87087292,3.63862696,0.00876496,4.50262430
-5.62181091,8.44700587,0.16365808,0.79015275,0.02465549,0.29468006,3.80112165,3.57192132,0.00811469,4.43894833
-5.61580790,8.28382217,0.15668018,0.78315622,0.02454821,0.27716361,3.72575378,3.50219406,0.00753990,4.36751147
-5.60980490,8.10755710,0.15014341,0.77253350,0.02441180,0.26031450,3.64478820,3.42968139,0.00703821,4.28858415
-5.60380190,7.91901254,0.14402139,0.75842523,0.02426543,0.24410853,3.55839609,3.35463523,0.00660733,4.20258462
-5.59779890,7.71930190,0.13829681,0.74105222,0.02413201,0.22852989,3.46690714,3.27732926,0.00624537,4.11007991
-5.59179590,7.50984068,0.13296316,0.72070936,0.02403770,0.21357339,3.37080790,3.19806294,0.00595091,4.01178040
-5.58579290,7.29232339,0.12802564,0.69775702,0.02401115,0.19924556,3.27073302,3.11716357,0.00572315,3.90852868
-5.57978989,7.06868880,0.12350133,0.67261060,0.02408285,0.18556461,3.16745022,3.03498655,0.00556193,3.80128342
-5.57378689,6.84107572,0.11941860,0.64572849,0.02428415,0.17255945,3.06184049,2.95191414,0.00546770,3.69109949
-5.56778389,6.61177239,0.11581597,0.61759929,0.02464648,0.16026794,2.95487487,2.86835305,0.00544146,3.57910553
-5.56178089,6.38316195,0.11274039,0.58872864,0.02520034,0.14873447,2.84758934,2.78473130,0.00548462,3.46648011
-5.55577789,6.15766709,0.11024512,0.55962629,0.02597442,0.13800724,2.74105923,2.70149455,0.00559889,3.35442773
-5.54977489,5.93769619,0.10838733,0.53079391,0.02699480,0.12813525,2.63637454,2.61910234,0.00578606,3.24415568
-5.54377189,5.72559312,0.10722564,0.50271389,0.02828412,0.11916547,2.53461705,2.53802426,0.00604784,3.13685245
-5.53776888,5.52359235,0.10681753,0.47583971,0.02986096,0.11114006,2.43683999,2.45873619,0.00638562,3.03366839
-5.53176588,5.33378050,0.10721697,0.45058780,0.03173937,0.10409404,2.34405088,2.38171675,0.00680031,2.93569889
-5.52576288,5.15806499,0.10847223,0.42733122,0.03392856,0.09805346,2.25719746,2.30744359,0.00729218,2.84397020
-5.51975988,4.99814996,0.11062398,0.40639502,0.03643276,0.09303404,2.17715686,2.23638976,0.00786067,2.75942789
-5.51375688,4.85551934,0.11370388,0.38805340,0.03925133,0.08904053,2.10472758,2.16901969,0.00850431,2.68292763
-5.50775388,4.73142646,0.11773350,0.37252838,0.04237902,0.08606663,2.04062396,2.10578498,0.00922061,2.61522811
-5.50175088,4.62688976,0.12272384,0.35998991,0.04580653,0.08409557,1.98547260,2.04711966,0.01000608,2.55698569
-5.49574787,4.54269362,0.12867527,0.35055726,0.04952111,0.08310130,1.93981025,1.99343503,0.01085617,2.50875051
-5.48974487,4.47939367,0.13557806,0.34430139,0.05350735,0.08305016,1.90408278,1.94511421,0.01176539,2.47096370
-5.48374187,4.43732563,0.14341330,0.34124812,0.05774812,0.08390300,1.87864465,1.90250631,0.01272737,2.44395554
-5.47773887,4.41661708,0.15215426,0.34138200,0.06222545,0.08561773,1.86375884,1.86592065,0.01373495,2.42794439
-5.47173587,4.41720123,0.16176813,0.34465048,0.06692142,0.08815200,1.85959677,1.83562108,0.01478044,2.42303619
-5.46573287,4.43883222,0.17221791,0.35096846,0.07181898,0.09146612,1.86623838,1.81182073,0.01585566,2.42922468
-5.45972986,4.48110101,0.18346449,0.36022284,0.07690258,0.09552592,1.88367196,1.79467744,0.01695226,2.44639208
-5.45372686,4.54345139,0.19546867,0.37227704,0.08215857,0.10030547,1.91179415,1.78428992,0.01806178,2.47431033
-5.44772386,4.62519527,0.20819301,0.38697533,0.08757536,0.10578962,1.95040976,1.78069496,0.01917592,2.51264280
-5.44172086,4.72552645,0.22160333,0.40414685,0.09314325,0.11197604,1.99923163,1.78386557,0.02028666,2.56094645
-5.43571786,4.84353229,0.23566981,0.42360914,0.09885397,0.11887677,2.05788048,1.79371007,0.02138637,2.61867418
-5.42971486,4.97820243,0.25036739,0.44517122,0.10469982,0.12651914,2.12588473,1.81007205,0.02246796,2.68517743
-5.42371186,5.12843405,0.26567557,0.46863591,0.11067260,0.13494591,2.20268026,1.83273089,0.02352489,2.75970877
-5.41770885,5.29303306,0.28157731,0.49380156,0.11676227,0.14421454,2.28761010,1.86140275,0.02455123,2.84142444
-5.41170585,5.47071126,0.29805726,0.52046294,0.12295544,0.15439554,2.37992398,1.89574167,0.02554162,2.92938683
-5.40570285,5.66007929,0.31509913,0.54841143,0.12923377,0.16556994,2.47877794,1.93534066,0.02649127,3.02256680
-5.39969985,5.85963606,0.33268243,0.57743441,0.13557246,0.17782575,2.58323389,1.97973268,0.02739581,3.11984628
-5.39369685,6.06775527,0.35077864,0.60731406,0.14193887,0.19125360,2.69225965,2.02839123,0.02825126,3.22002120
-5.38769385,6.28267062,0.36934709,0.63782556,0.14829140,0.20594158,2.80472948,2.08073095,0.02905388,3.32180531
-5.38169085,6.50246095,0.38833074,0.66873507,0.15457883,0.22196951,2.91942580,2.13610816,0.02980007,3.42383543
-5.37568784,6.72503755,0.40765215,0.69979741,0.16074007,0.23940278,3.03504251,2.19382171,0.03048625,3.52467875
-5.36968484,6.94813554,0.42720997,0.73075399,0.16670449,0.25828606,3.15019052,2.25311462,0.03110880,3.62284272
-5.36368184,7.16931164,0.44687625,0.76133114,0.17239292,0.27863714,3.26340612,2.31317694,0.03166392,3.71678839
-5.35767884,7.38595018,0.46649485,0.79123908,0.17771917,0.30044127,3.37316281,2.37315020,0.03214767,3.80494739
-5.35167584,7.59527928,0.48588118,0.82017185,0.18259220,0.32364623,3.47788694,2.43213420,0.03255592,3.88574311
