energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.23658054,0.34196777,0.00865863,0.50844128,0.01461501,0.81090626,1.04381343,0.24614965
-5.99399700,2.33010496,0.36466929,0.00833550,0.52543535,0.01554627,0.85059955,1.12066929,0.24982354
-5.98799400,2.42191892,0.38839205,0.00799333,0.54131846,0.01651293,0.89066922,1.19978778,0.25271755
-5.98199100,2.51131116,0.41289580,0.00763634,0.55602953,0.01750480,0.93074361,1.28074560,0.25483140
-5.97598799,2.59761809,0.43791243,0.00726891,0.56952779,0.01851204,0.97045666,1.36307901,0.25617843
-5.96998499,2.68022887,0.46314925,0.00689540,0.58179214,0.01952534,1.00945153,1.44628782,0.25678428
-5.96398199,2.75858998,0.48829333,0.00652002,0.59282017,0.02053613,1.04738443,1.52984104,0.25668556
-5.95797899,2.83220950,0.51301692,0.00614676,0.60262680,0.02153675,1.08392866,1.61318377,0.25592825
-5.95197599,2.90066089,0.53698386,0.00577919,0.61124250,0.02252057,1.11877878,1.69574533,0.25456617
-5.94597299,2.96358627,0.55985681,0.00542049,0.61871131,0.02348210,1.15165483,1.77694821,0.25265932
-5.93996998,3.02069878,0.58130506,0.00507331,0.62508842,0.02441704,1.18230645,1.85621747,0.25027229
-5.93396698,3.07178392,0.60101271,0.00473981,0.63043759,0.02532228,1.21051663,1.93299007,0.24747269
-5.92796398,3.11669941,0.61868681,0.00442159,0.63482822,0.02619588,1.23610491,2.00672364,0.24432961
-5.92196098,3.15537335,0.63406513,0.00411977,0.63833227,0.02703692,1.25892983,2.07690426,0.24091216
-5.91595798,3.18780051,0.64692329,0.00383499,0.64102106,0.02784541,1.27889029,2.14305277,0.23728805
-5.90995498,3.21403650,0.65708082,0.00356747,0.64296190,0.02862208,1.29592592,2.20472922,0.23352226
-5.90395198,3.23419001,0.66440585,0.00331709,0.64421489,0.02936817,1.31001601,2.26153548,0.22967578
-5.89794897,3.24841323,0.66881836,0.00308346,0.64482975,0.03008525,1.32117731,2.31311577,0.22580446
-5.89194597,3.25689077,0.67029160,0.00286597,0.64484306,0.03077490,1.32946059,2.35915534,0.22195790
-5.88594297,3.25982773,0.66885187,0.00266387,0.64427587,0.03143861,1.33494610,2.39937767,0.21817863
-5.87993997,3.25743747,0.66457646,0.00247638,0.64313188,0.03207750,1.33773825,2.43354059,0.21450126
-5.87393697,3.24992980,0.65759007,0.00230269,0.64139650,0.03269222,1.33795980,2.46143185,0.21095201
-5.86793397,3.23750045,0.64805976,0.00214202,0.63903657,0.03328284,1.33574580,2.48286487,0.20754829
-5.86193097,3.22032246,0.63618878,0.00199371,0.63600116,0.03384882,1.33123775,2.49767517,0.20429870
-5.85592796,3.19854013,0.62220965,0.00185718,0.63222328,0.03438901,1.32457822,2.50571811,0.20120312
-5.84992496,3.17226604,0.60637665,0.00173199,0.62762257,0.03490173,1.31590634,2.50686844,0.19825320
-5.84392196,3.14158135,0.58895825,0.00161783,0.62210891,0.03538491,1.30535429,2.50102179,0.19543308
-5.83791896,3.10653942,0.57022979,0.00151454,0.61558672,0.03583623,1.29304497,2.48809838,0.19272030
-5.83191596,3.06717257,0.55046651,0.00142207,0.60795994,0.03625337,1.27909100,2.46804861,0.19008696
-5.82591296,3.02350146,0.52993744,0.00134048,0.59913728,0.03663417,1.26359483,2.44086046,0.18750111
-5.81990995,2.97554638,0.50890007,0.00126995,0.58903766,0.03697688,1.24664996,2.40656791,0.18492814
-5.81390695,2.92333977,0.48759610,0.00121070,0.57759535,0.03728033,1.22834303,2.36525996,0.18233232
-5.80790395,2.86693885,0.46624812,0.00116300,0.56476476,0.03754412,1.20875647,2.31708937,0.17967825
-5.80190095,2.80643751,0.44505737,0.00112716,0.55052449,0.03776870,1.18797137,2.26228025,0.17693233
-5.79589795,2.74197656,0.42420234,0.00110346,0.53488036,0.03795542,1.16607036,2.20113404,0.17406398
-5.78989495,2.67375148,0.40383821,0.00109213,0.51786750,0.03810653,1.14314005,2.13403290,0.17104676
-5.78389195,2.60201712,0.38409692,0.00109335,0.49955102,0.03822510,1.11927294,2.06144022,0.16785924
-5.77788894,2.52708888,0.36508775,0.00110720,0.48002558,0.03831483,1.09456843,1.98389791,0.16448564
-5.77188594,2.44934037,0.34689821,0.00113361,0.45941367,0.03837987,1.06913294,1.90202029,0.16091610
-5.76588294,2.36919748,0.32959522,0.00117237,0.43786268,0.03842452,1.04307916,1.81648479,0.15714686
-5.75987994,2.28712932,0.31322636,0.00122311,0.41554112,0.03845299,1.01652428,1.72801982,0.15318001
