energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.63910664,2.61700509,1.30624094,0.01537692,0.76975616,0.07767369,2.16804720,0.77781860,0.46189680
-5.99399700,4.84533687,2.78948533,1.35351339,0.01600150,0.80366161,0.08163722,2.27914834,0.82491979,0.49055935
-5.98799400,5.07565125,2.97068529,1.40770751,0.01667677,0.84015287,0.08582002,2.40335289,0.87885231,0.52227271
-5.98199100,5.32646033,3.15787968,1.46765223,0.01739296,0.87844485,0.09015672,2.53915322,0.93911729,0.55671097
-5.97598799,5.59348585,3.34805120,1.53200437,0.01813864,0.91767912,0.09457332,2.68465962,1.00503710,0.59345717
-5.96998499,5.87186146,3.53795841,1.59928332,0.01890100,0.95694595,0.09898916,2.83763863,1.07576513,0.63200971
-5.96398199,6.15625403,3.72421479,1.66791041,0.01966622,0.99530882,0.10331915,2.99556288,1.15030064,0.67179153
-5.95797899,6.44100213,3.90337651,1.73625196,0.02041993,1.03183081,0.10747628,3.15567103,1.22750848,0.71216192
-5.95197599,6.72026781,4.07203613,1.80266462,0.02114762,1.06560170,0.11137414,3.31503668,1.30614356,0.75243078
-5.94597299,6.98819726,4.22691906,1.86554180,0.02183513,1.09576513,0.11492960,3.47064433,1.38487956,0.79187506
-5.93996998,7.23908511,4.36497907,1.92335959,0.02246905,1.12154451,0.11806528,3.61947029,1.46234135,0.82975707
-5.93396698,7.46753737,4.48348959,1.97472073,0.02303722,1.14226696,0.12071195,3.75856610,1.53714011,0.86534398
-5.92796398,7.66862729,4.58012702,2.01839507,0.02352907,1.15738417,0.12281066,3.88514186,1.60791044,0.89792817
-5.92196098,7.83803914,4.65304299,2.05335526,0.02393602,1.16648945,0.12431452,3.99664668,1.67334807,0.92684756
-5.91595798,7.97219444,4.70092267,2.07880626,0.02425177,1.16933040,0.12519009,4.09084342,1.73224700,0.95150541
-5.90995498,8.06835657,4.72302683,2.09420765,0.02447249,1.16581651,0.12541833,4.16587515,1.78353480,0.97138867
-5.90395198,8.12470957,4.71921615,2.09928795,0.02459702,1.15602163,0.12499506,4.22032062,1.82630470,0.98608429
-5.89794897,8.14040852,4.68995686,2.09405038,0.02462688,1.14018122,0.12393093,4.25323676,1.85984326,0.99529279
