energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-5.61580790,0.38222362,0.15795815,0.02031754,0.06058222,0.00000000,0.16518596,0.00000000
-5.60980490,0.42719098,0.17693679,0.02274437,0.06790892,0.00000000,0.18446062,0.00000000
-5.60380190,0.47471318,0.19682400,0.02531020,0.07563736,0.00000000,0.20483690,0.00000000
-5.59779890,0.52432577,0.21742832,0.02799069,0.08369528,0.00000000,0.22611808,0.00000000
-5.59179590,0.57549196,0.23852453,0.03075730,0.09199695,0.00000000,0.24807941,0.00000000
-5.58579290,0.62761015,0.25985724,0.03357763,0.10044409,0.00000000,0.27047184,0.00000000
-5.57978989,0.68002474,0.28114593,0.03641587,0.10892741,0.00000000,0.29302713,0.00000000
-5.57378689,0.73204048,0.30209148,0.03923361,0.11732873,0.00000000,0.31546441,0.00000000
-5.56778389,0.78293956,0.32238391,0.04199059,0.12552358,0.00000000,0.33749788,0.00000000
-5.56178089,0.83200119,0.34171116,0.04464581,0.13338429,0.00000000,0.35884527,0.00000000
-5.55577789,0.87852267,0.35976853,0.04715857,0.14078343,0.00000000,0.37923683,0.00000000
-5.54977489,0.92184110,0.37626837,0.04948970,0.14759751,0.00000000,0.39842435,0.00000000
-5.54377189,0.96135484,0.39094966,0.05160273,0.15371076,0.00000000,0.41618965,0.00000000
-5.53776888,0.99654354,0.40358701,0.05346505,0.15901887,0.00000000,0.43235224,0.00000000
-5.53176588,1.02698573,0.41399856,0.05504901,0.16343255,0.00000000,0.44677548,0.00000000
-5.52576288,1.05237318,0.42205257,0.05633280,0.16688075,0.00000000,0.45937108,0.00000000
-5.51975988,1.07252116,0.42767212,0.05730128,0.16931339,0.00000000,0.47010137,0.00000000
-5.51375688,1.08737396,0.43083793,0.05794649,0.17070352,0.00000000,0.47897936,0.00000000
-5.50775388,1.09700549,0.43158892,0.05826794,0.17104878,0.00000000,0.48606639,0.00000000
-5.50175088,1.10161484,0.43002060,0.05827272,0.17037215,0.00000000,0.49146741,0.00000000
-5.49574787,1.10151699,0.42628136,0.05797528,0.16872198,0.00000000,0.49532426,0.00000000
-5.48974487,1.09712915,0.42056676,0.05739701,0.16617116,0.00000000,0.49780709,0.00000000
-5.48374187,1.08895355,0.41311223,0.05656560,0.16281570,0.00000000,0.49910451,0.00000000
-5.47773887,1.07755744,0.40418440,0.05551421,0.15877259,0.00000000,0.49941296,0.00000000
-5.47173587,1.06355148,0.39407169,0.05428053,0.15417709,0.00000000,0.49892593,0.00000000
-5.46573287,1.04756753,0.38307435,0.05290565,0.14917961,0.00000000,0.49782357,0.00000000
-5.45972986,1.03023694,0.37149466,0.05143300,0.14394215,0.00000000,0.49626345,0.00000000
-5.45372686,1.01217047,0.35962759,0.04990720,0.13863457,0.00000000,0.49437278,0.00000000
-5.44772386,0.99394049,0.34775228,0.04837291,0.13343065,0.00000000,0.49224268,0.00000000
-5.44172086,0.97606642,0.33612482,0.04687387,0.12850417,0.00000000,0.48992483,0.00000000
-5.43571786,0.95900361,0.32497234,0.04545190,0.12402502,0.00000000,0.48743050,0.00000000
-5.42971486,0.94313609,0.31448872,0.04414606,0.12015536,0.00000000,0.48473217,0.00000000
-5.42371186,0.92877297,0.30483196,0.04299200,0.11704612,0.00000000,0.48176745,0.00000000
-5.41770885,0.91614838,0.29612298,0.04202130,0.11483360,0.00000000,0.47844513,0.00000000
-5.41170585,0.90542443,0.28844607,0.04126106,0.11363643,0.00000000,0.47465288,0.00000000
-5.40570285,0.89669660,0.28185044,0.04073353,0.11355284,0.00000000,0.47026612,0.00000000
-5.39969985,0.89000096,0.27635300,0.04045593,0.11465833,0.00000000,0.46515759,0.00000000
-5.39369685,0.88532239,0.27194184,0.04044025,0.11700367,0.00000000,0.45920691,0.00000000
-5.38769385,0.88260330,0.26858043,0.04069325,0.12061343,0.00000000,0.45230979,0.00000000
-5.38169085,0.88175210,0.26621208,0.04121647,0.12548495,0.00000000,0.44438614,0.00000000
-5.37568784,0.88265116,0.26476468,0.04200638,0.13158783,0.00000000,0.43538695,0.00000000
-5.36968484,0.88516366,0.26415538,0.04305450,0.13886408,0.00000000,0.42529940,0.00000000
-5.36368184,0.88913956,0.26429519,0.04434774,0.14722878,0.00000000,0.41415020,0.00000000
-5.35767884,0.89442035,0.26509346,0.04586871,0.15657156,0.00000000,0.40200695,0.00000000
-5.35167584,0.90084304,0.26646204,0.04759619,0.16675865,0.00000000,0.38897772,0.00000000
-5.34567284,0.90824334,0.26831928,0.04950565,0.17763570,0.00000000,0.37520887,0.00000000
-5.33966983,0.91645870,0.27059371,0.05156996,0.18903129,0.00000000,0.36088151,0.00000000
-5.33366683,0.92533125,0.27322754,0.05376007,0.20076105,0.00000000,0.34620669,0.00000000
-5.32766383,0.93471114,0.27617978,0.05604596,0.21263243,0.00000000,0.33141991,0.00000000
-5.32166083,0.94446039,0.27942913,0.05839750,0.22444988,0.00000000,0.31677505,0.00000000
-5.31565783,0.95445746,0.28297644,0.06078552,0.23602032,0.00000000,0.30253816,0.00000000
-5.30965483,0.96460240,0.28684669,0.06318285,0.24715885,0.00000000,0.28898130,0.00000000
-5.30365183,0.97482252,0.29109033,0.06556529,0.25769434,0.00000000,0.27637672,0.00000000
-5.29764882,0.98507809,0.29578386,0.06791263,0.26747472,0.00000000,0.26499134,0.00000000
-5.29164582,0.99536774,0.30102943,0.07020948,0.27637179,0.00000000,0.25508179,0.00000000
-5.28564282,1.00573287,0.30695339,0.07244594,0.28428533,0.00000000,0.24688983,0.00000000
-5.27963982,1.01626056,0.31370347,0.07461808,0.29114614,0.00000000,0.24063819,0.00000000
-5.27363682,1.02708425,0.32144464,0.07672807,0.29691810,0.00000000,0.23652666,0.00000000
-5.26763382,1.03838177,0.33035353,0.07878409,0.30159881,0.00000000,0.23472835,0.00000000
-5.26163082,1.05037019,0.34061143,0.08079984,0.30521896,0.00000000,0.23538601,0.00000000
-5.25562781,1.06329729,0.35239593,0.08279369,0.30784023,0.00000000,0.23860833,0.00000000
-5.24962481,1.07742967,0.36587152,0.08478756,0.30955191,0.00000000,0.24446612,0.00000000
