energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.82441280,0.01970433,0.39583390,2.16166434,0.74437114,1.33659262,1.24485290,1.57321708,0.00000000
-5.99399700,3.77136958,0.01893480,0.39308955,2.11207023,0.73913404,1.30758891,1.23151813,1.54427817,0.00000000
-5.98799400,3.70777503,0.01818433,0.38892347,2.05519390,0.73164519,1.27486819,1.21451807,1.51121030,0.00000000
-5.98199100,3.63487078,0.01745110,0.38345767,1.99187399,0.72203705,1.23898741,1.19428116,1.47454231,0.00000000
-5.97598799,3.55405530,0.01673312,0.37683690,1.92303895,0.71047843,1.20053226,1.17130673,1.43484695,0.00000000
-5.96998499,3.46684689,0.01602844,0.36922374,1.84968463,0.69717102,1.16010294,1.14615084,1.39272731,0.00000000
-5.96398199,3.37484325,0.01533527,0.36079311,1.77285024,0.68234481,1.11829989,1.11941061,1.34880251,0.00000000
-5.95797899,3.27967910,0.01465209,0.35172635,1.69359360,0.66625257,1.07570988,1.09170750,1.30369319,0.00000000
-5.95197599,3.18298293,0.01397778,0.34220515,1.61296630,0.64916342,1.03289291,1.06367000,1.25800706,0.00000000
-5.94597299,3.08633449,0.01331168,0.33240570,1.53198960,0.63135579,0.99037023,1.03591639,1.21232499,0.00000000
-5.93996998,2.99122422,0.01265369,0.32249308,1.45163175,0.61310991,0.94861379,1.00903797,1.16718814,0.00000000
-5.93396698,2.89901601,0.01200423,0.31261639,1.37278749,0.59470022,0.90803751,0.98358333,1.12308637,0.00000000
-5.92796398,2.81091457,0.01136426,0.30290463,1.29626027,0.57638781,0.86899044,0.96004420,1.08044851,0.00000000
-5.92196098,2.72793837,0.01073524,0.29346362,1.22274775,0.55841342,0.83175209,0.93884314,1.03963465,0.00000000
-5.91595798,2.65089901,0.01011906,0.28437396,1.15283095,0.54099096,0.79653005,0.92032352,1.00093070,0.00000000
-5.90995498,2.58038770,0.00951792,0.27569015,1.08696737,0.52430217,0.76345977,0.90474212,0.96454549,0.00000000
-5.90395198,2.51676897,0.00893426,0.26744088,1.02548799,0.50849228,0.73260654,0.89226428,0.93061032,0.00000000
-5.89794897,2.46018173,0.00837059,0.25963035,0.96859835,0.49366710,0.70396951,0.88296199,0.89918099,0.00000000
-5.89194597,2.41054740,0.00782938,0.25224055,0.91638323,0.47989151,0.67748748,0.87681456,0.87024208,0.00000000
-5.88594297,2.36758445,0.00731297,0.24523439,0.86881484,0.46718934,0.65304625,0.87371206,0.84371336,0.00000000
-5.87993997,2.33082872,0.00682341,0.23855937,0.82576392,0.45554482,0.63048707,0.87346113,0.81945782,0.00000000
-5.87393697,2.29965827,0.00636240,0.23215172,0.78701321,0.44490524,0.60961602,0.87579292,0.79729104,0.00000000
-5.86793397,2.27332199,0.00593119,0.22594060,0.75227282,0.43518488,0.59021366,0.88037292,0.77699147,0.00000000
-5.86193097,2.25097047,0.00553058,0.21985245,0.72119667,0.42626995,0.57204492,0.88681225,0.75831113,0.00000000
-5.85592796,2.23168808,0.00516083,0.21381491,0.69339952,0.41802429,0.55486854,0.89468000,0.74098629,0.00000000
