energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
5.78989495,1.14570604,0.52023605,0.00028189,0.07526237,0.27313749,0.67684987,0.30597827
5.79589795,1.19889503,0.52610517,0.00029748,0.07744902,0.28476639,0.72498043,0.33240552
5.80190095,1.25362829,0.53180104,0.00031406,0.07971521,0.29625331,0.77579400,0.35981692
5.80790395,1.30973350,0.53752583,0.00033158,0.08206511,0.30754063,0.82907206,0.38801892
5.81390695,1.36696277,0.54345682,0.00034996,0.08449569,0.31856638,0.88453156,0.41678616
5.81990995,1.42498964,0.54973715,0.00036908,0.08699597,0.32926404,0.94182626,0.44586514
5.82591296,1.48341027,0.55646827,0.00038879,0.08954667,0.33956269,1.00055123,0.47497931
5.83191596,1.54174896,0.56370421,0.00040892,0.09212026,0.34938776,1.06025033,0.50383544
5.83791896,1.59946789,0.57144825,0.00042926,0.09468150,0.35866212,1.12042638,0.53213106
5.84392196,1.65598049,0.57965184,0.00044957,0.09718830,0.36730760,1.18055352,0.55956259
5.84992496,1.71066793,0.58821608,0.00046960,0.09959303,0.37524690,1.24009095,0.58583387
5.85592796,1.76289753,0.59699538,0.00048910,0.10184413,0.38240565,1.29849732,0.61066461
5.86193097,1.81204239,0.60580329,0.00050780,0.10388793,0.38871465,1.35524498,0.63379826
5.86793397,1.85750078,0.61442013,0.00052545,0.10567064,0.39411199,1.40983297,0.65500903
5.87393697,1.89871441,0.62260187,0.00054179,0.10714041,0.39854501,1.46179833,0.67410747
5.87993997,1.93518449,0.63009004,0.00055660,0.10824927,0.40197198,1.51072466,0.69094454
5.88594297,1.96648457,0.63662192,0.00056967,0.10895503,0.40436322,1.55624778,0.70541365
5.89194597,1.99226983,0.64194079,0.00058084,0.10922285,0.40570178,1.59805807,0.71745087
5.89794897,2.01228210,0.64580543,0.00058996,0.10902656,0.40598354,1.63589953,0.72703310
5.90395198,2.02635085,0.64799882,0.00059692,0.10834962,0.40521667,1.66956579,0.73417450
5.90995498,2.03439013,0.64833544,0.00060167,0.10718570,0.40342056,1.69889368,0.73892136
5.91595798,2.03639211,0.64666701,0.00060417,0.10553881,0.40062436,1.72375495,0.74134584
5.92196098,2.03241795,0.64288653,0.00060442,0.10342311,0.39686505,1.74404702,0.74153896
5.92796398,2.02258677,0.63693056,0.00060246,0.10086229,0.39218543,1.75968375,0.73960345
5.93396698,2.00706384,0.62877975,0.00059834,0.09788871,0.38663195,1.77058720,0.73564678
5.93996998,1.98604901,0.61845778,0.00059215,0.09454219,0.38025276,1.77668114,0.72977505
5.94597299,1.95976623,0.60602896,0.00058400,0.09086868,0.37309598,1.77788722,0.72208802
5.95197599,1.92845506,0.59159466,0.00057400,0.08691879,0.36520837,1.77412418,0.71267557
5.95797899,1.89236469,0.57528890,0.00056227,0.08274626,0.35663449,1.76531054,0.70161590
5.96398199,1.85175100,0.55727344,0.00054896,0.07840650,0.34741641,1.75137059,0.68897553
5.96998499,1.80687655,0.53773256,0.00053421,0.07395515,0.33759398,1.73224360,0.67481092
5.97598799,1.75801353,0.51686794,0.00051817,0.06944687,0.32720560,1.70789556,0.65917163
5.98199100,1.70544915,0.49489372,0.00050098,0.06493420,0.31628942,1.67833276,0.64210479
5.98799400,1.64949294,0.47203200,0.00048281,0.06046670,0.30488487,1.64361627,0.62366028
5.99399700,1.59048514,0.44850887,0.00046381,0.05609032,0.29303441,1.60387622,0.60389643
6.00000000,1.52880536,0.42455109,0.00044415,0.05184693,0.28078524,1.55932500,0.58288566
