energy_ev,total_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.20180356,0.23414109,0.10347490,0.53227985,0.39548881,0.02382571,0.03237925,0.08648210,1.25662337
-5.99399700,2.02940819,0.21336864,0.09440732,0.49223517,0.36930195,0.02234388,0.02956892,0.07913015,1.15815327
-5.98799400,1.86093611,0.19349890,0.08573225,0.45270071,0.34283885,0.02082893,0.02690272,0.07205418,1.06186493
-5.98199100,1.69761787,0.17461571,0.07749336,0.41401353,0.31640308,0.01930000,0.02439090,0.06529228,0.96846672
-5.97598799,1.54060041,0.15678931,0.06972917,0.37648855,0.29029128,0.01777632,0.02204330,0.05887806,0.87861569
-5.96998499,1.39092418,0.14007560,0.06247263,0.34041177,0.26478586,0.01627655,0.01986939,0.05284019,0.79290443
-5.96398199,1.24950494,0.12451574,0.05575081,0.30603472,0.24014876,0.01481841,0.01787807,0.04720221,0.71185071
-5.95797899,1.11712068,0.11013614,0.04958489,0.27357039,0.21661633,0.01341822,0.01607772,0.04198241,0.63589017
-5.95197599,0.99440417,0.09694893,0.04399029,0.24319071,0.19439547,0.01209061,0.01447618,0.03719390,0.56537221
-5.94597299,0.88184077,0.08495269,0.03897702,0.21502560,0.17366130,0.01084830,0.01308073,0.03284475,0.50055891
-5.93996998,0.77977136,0.07413360,0.03455015,0.18916338,0.15455597,0.00970198,0.01189819,0.02893833,0.44162700
-5.93396698,0.68839959,0.06446686,0.03071041,0.16565259,0.13718886,0.00866027,0.01093494,0.02547373,0.38867228
-5.92796398,0.60780277,0.05591825,0.02745477,0.14450485,0.12163777,0.00772975,0.01019701,0.02244622,0.34171620
-5.92196098,0.53794522,0.04844596,0.02477711,0.12569862,0.10795100,0.00691507,0.00969007,0.01984782,0.30071394
-5.91595798,0.47869325,0.04200235,0.02266877,0.10918355,0.09615007,0.00621908,0.00941949,0.01766782,0.26556348
-5.90995498,0.42983062,0.03653582,0.02111907,0.09488516,0.08623285,0.00564299,0.00939024,0.01589328,0.23611501
-5.90395198,0.39107357,0.03199254,0.02011567,0.08270973,0.07817681,0.00518654,0.00960687,0.01450957,0.21218028
-5.89794897,0.36208453,0.02831813,0.01964477,0.07254889,0.07194230,0.00484821,0.01007323,0.01350069,0.19354117
-5.89194597,0.34248399,0.02545905,0.01969122,0.06428410,0.06747552,0.00462533,0.01079234,0.01284965,0.17995744
-5.88594297,0.33186000,0.02336396,0.02023837,0.05779053,0.06471120,0.00451426,0.01176603,0.01253865,0.17117305
-5.87993997,0.32977510,0.02198474,0.02126784,0.05294046,0.06357480,0.00451046,0.01299456,0.01254920,0.16692121
-5.87393697,0.33577073,0.02127736,0.02275910,0.04960611,0.06398419,0.00460857,0.01447628,0.01286213,0.16692791
-5.86793397,0.34936938,0.02120250,0.02468902,0.04766177,0.06585099,0.00480248,0.01620713,0.01345756,0.17091420
-5.86193097,0.37007481,0.02172601,0.02703130,0.04698541,0.06908130,0.00508531,0.01818030,0.01431471,0.17859723
-5.85592796,0.39737096,0.02281917,0.02975597,0.04745979,0.07357627,0.00544944,0.02038577,0.01541185,0.18969054
-5.84992496,0.43072020,0.02445882,0.03282889,0.04897307,0.07923231,0.00588648,0.02281008,0.01672602,0.20390363
-5.84392196,0.46956166,0.02662734,0.03621140,0.05141914,0.08594133,0.00638729,0.02543603,0.01823300,0.22094147
-5.83791896,0.51331025,0.02931255,0.03986011,0.05469764,0.09359088,0.00694199,0.02824271,0.01990716,0.24050403
-5.83191596,0.56135702,0.03250749,0.04372692,0.05871393,0.10206459,0.00753995,0.03120548,0.02172149,0.26228627
-5.82591296,0.61307146,0.03621018,0.04775934,0.06337890,0.11124270,0.00816994,0.03429633,0.02364770,0.28597889
-5.81990995,0.66780600,0.04042321,0.05190099,0.06860891,0.12100308,0.00882014,0.03748425,0.02565643,0.31126986
-5.81390695,0.72490290,0.04515335,0.05609246,0.07432568,0.13122257,0.00947838,0.04073594,0.02771760,0.33784707
-5.80790395,0.78370356,0.05041102,0.06027244,0.08045640,0.14177861,0.01013226,0.04401660,0.02980090,0.36540184
-5.80190095,0.84356003,0.05620971,0.06437911,0.08693388,0.15255140,0.01076944,0.04729094,0.03187635,0.39363346
-5.79589795,0.90384827,0.06256531,0.06835170,0.09369679,0.16342623,0.01137790,0.05052435,0.03391501,0.42225442
-5.78989495,0.96398269,0.06949527,0.07213227,0.10069009,0.17429604,0.01194623,0.05368407,0.03588970,0.45099620
-5.78389195,1.02343116,0.07701780,0.07566756,0.10786533,0.18506406,0.01246396,0.05674051,0.03777583,0.47961522
-5.77788894,1.08172999,0.08515089,0.07891083,0.11518115,0.19564642,0.01292186,0.05966856,0.03955216,0.50789875
-5.77188594,1.13849785,0.09391136,0.08182364,0.12260360,0.20597457,0.01331228,0.06244879,0.04120158,0.53567033
-5.76588294,1.19344813,0.10331387,0.08437755,0.13010647,0.21599732,0.01362940,0.06506865,0.04271176,0.56279450
-5.75987994,1.24639900,0.11336999,0.08655549,0.13767152,0.22568257,0.01386951,0.06752345,0.04407573,0.58918055
-5.75387694,1.29728068,0.12408742,0.08835291,0.14528858,0.23501840,0.01403115,0.06981719,0.04529231,0.61478496
-5.74787394,1.34613962,0.13546940,0.08977856,0.15295564,0.24401360,0.01411526,0.07196319,0.04636630,0.63961262
-5.74187094,1.39313934,0.14751432,0.09085492,0.16067874,0.25269759,0.01412522,0.07398448,0.04730854,0.66371660
-5.73586793,1.43855794,0.16021576,0.09161818,0.16847191,0.26111965,0.01406683,0.07591388,0.04813576,0.68719652
-5.72986493,1.48278245,0.17356286,0.09211784,0.17635703,0.26934759,0.01394818,0.07779394,0.04887017,0.71019570
-5.72386193,1.52630014,0.18754105,0.09241588,0.18436373,0.27746576,0.01377948,0.07967648,0.04953888,0.73289707
-5.71785893,1.56968733,0.20213326,0.09258564,0.19252926,0.28557262,0.01357279,0.08162205,0.05017314,0.75551816
-5.71185593,1.61359588,0.21732146,0.09271024,0.20089850,0.29377782,0.01334169,0.08369898,0.05080735,0.77830528
-5.70585293,1.65873786,0.23308851,0.09288081,0.20952391,0.30219896,0.01310091,0.08598235,0.05147795,0.80152702
-5.69984992,1.70586874,0.24942016,0.09319446,0.21846554,0.31095804,0.01286591,0.08855266,0.05222223,0.82546737
-5.69384692,1.75576933,0.26630708,0.09375206,0.22779095,0.32017768,0.01265242,0.09149438,0.05307702,0.85041840
-5.68784392,1.80922683,0.28374681,0.09465592,0.23757509,0.32997731,0.01247596,0.09489428,0.05407731,0.87667273
-5.68184092,1.86701503,0.30174533,0.09600743,0.24789991,0.34046911,0.01235139,0.09883962,0.05525489,0.90451579
-5.67583792,1.92987400,0.32031813,0.09790459,0.25885371,0.35175412,0.01229245,0.10341622,0.05663706,0.93421782
-5.66983492,1.99848922,0.33949059,0.10043975,0.27053010,0.36391824,0.01231134,0.10870637,0.05824537,0.96602585
-5.66383192,2.07347054,0.35929753,0.10369733,0.28302650,0.37702848,0.01241832,0.11478672,0.06009445,1.00015543
-5.65782891,2.15533106,0.37978186,0.10775171,0.29644212,0.39112930,0.01262135,0.12172608,0.06219108,1.03678243
-5.65182591,2.24446653,0.40099223,0.11266534,0.31087542,0.40623931,0.01292583,0.12958327,0.06453339,1.07603489
-5.64582291,2.34113568,0.42297978,0.11848709,0.32642099,0.42234837,0.01333441,0.13840500,0.06711032,1.11798523
-5.63981991,2.44544217,0.44579408,0.12525087,0.34316606,0.43941523,0.01384676,0.14822390,0.06990134,1.16264299
-5.63381691,2.55731915,0.46947845,0.13297460,0.36118664,0.45736586,0.01445959,0.15905683,0.07287647,1.20994863
-5.62781391,2.67651718,0.49406492,0.14165958,0.38054348,0.47609262,0.01516665,0.17090341,0.07599665,1.25976857
-5.62181091,2.80259664,0.51956905,0.15129025,0.40127816,0.49545446,0.01595877,0.18374505,0.07921435,1.31189212
