energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.87638519,0.78065028,1.05440284,0.01442319,0.46806439,0.44460752,0.00547088
-5.99399700,1.96618186,0.78999094,1.11641943,0.01491662,0.49920961,0.45695955,0.00550730
-5.98799400,2.06436375,0.80333922,1.18269047,0.01547306,0.53360893,0.47011222,0.00556131
-5.98199100,2.16986712,0.82045117,1.25249083,0.01609456,0.57093951,0.48386147,0.00563246
-5.97598799,2.28139149,0.84101012,1.32495128,0.01678187,0.61080200,0.49796694,0.00571986
-5.96998499,2.39741921,0.86462954,1.39907320,0.01753422,0.65272694,0.51215479,0.00582218
-5.96398199,2.51624505,0.89085884,1.47374974,0.01834928,0.69618403,0.52612260,0.00593764
-5.95797899,2.63601538,0.91919166,1.54779286,0.01922301,0.74059398,0.53954613,0.00606413
-5.95197599,2.75477574,0.94907672,1.61996557,0.02014976,0.78534261,0.55208788,0.00619922
-5.94597299,2.87052516,0.97993067,1.68901821,0.02112227,0.82979669,0.56340702,0.00634028
-5.93996998,2.98127504,1.01115247,1.75372731,0.02213187,0.87332101,0.57317047,0.00648461
-5.93396698,3.08511037,1.04213884,1.81293542,0.02316868,0.91529587,0.58106438,0.00662949
-5.92796398,3.18025031,1.07229992,1.86559024,0.02422186,0.95513448,0.58680570,0.00677238
-5.92196098,3.26510578,1.10107476,1.91078117,0.02527992,0.99229939,0.59015304,0.00691099
-5.91595798,3.33833118,1.12794580,1.94777166,0.02633105,1.02631741,0.59091644,0.00704341
-5.90995498,3.39886789,1.15245187,1.97602564,0.02736343,1.05679226,0.58896553,0.00716824
-5.90395198,3.44597774,1.17419921,1.99522704,0.02836558,1.08341462,0.58423548,0.00728460
-5.89794897,3.47926467,1.19287011,2.00529112,0.02932666,1.10596900,0.57673065,0.00739225
-5.89194597,3.49868383,1.20822904,2.00636723,0.03023675,1.12433736,0.56652569,0.00749157
-5.88594297,3.50453781,1.22012595,1.99883292,0.03108710,1.13849929,0.55376388,0.00758362
-5.87993997,3.49746028,1.22849702,1.98327946,0.03187029,1.14852889,0.53865308,0.00767003
-5.87393697,3.47838801,1.23336279,1.96048973,0.03258038,1.15458855,0.52145921,0.00775299
-5.86793397,3.44852282,1.23482396,1.93140940,0.03321300,1.15692004,0.50249783,0.00783518
-5.86193097,3.40928524,1.23305523,1.89711278,0.03376535,1.15583336,0.48212405,0.00791961
-5.85592796,3.36226224,1.22829737,1.85876505,0.03423616,1.15169387,0.46072130,0.00800954
-5.84992496,3.30915137,1.22084810,1.81758237,0.03462568,1.14490846,0.43868953,0.00810834
-5.84392196,3.25170381,1.21105184,1.77479191,0.03493546,1.13591115,0.41643321,0.00821934
-5.83791896,3.19166860,1.19928895,1.73159318,0.03516828,1.12514890,0.39434972,0.00834569
-5.83191596,3.13074041,1.18596461,1.68912240,0.03532796,1.11306810,0.37281846,0.00849024
-5.82591296,3.07051242,1.17149758,1.64842119,0.03541913,1.10010223,0.35219120,0.00865541
-5.81990995,3.01243618,1.15630924,1.61041060,0.03544706,1.08666103,0.33278375,0.00884309
-5.81390695,2.95778922,1.14081282,1.57587127,0.03541741,1.07312158,0.31486936,0.00905452
-5.80790395,2.90765139,1.12540344,1.54543019,0.03533611,1.05982136,0.29867385,0.00929029
-5.80190095,2.86288998,1.11044864,1.51955415,0.03520907,1.04705348,0.28437255,0.00955020
-5.79589795,2.82415383,1.09628006,1.49854973,0.03504207,1.03506400,0.27208904,0.00983334
-5.78989495,2.79187575,1.08318614,1.48256950,0.03484057,1.02405136,0.26189560,0.01013802
-5.78389195,2.76628290,1.07140614,1.47162372,0.03460960,1.01416773,0.25381518,0.01046183
-5.77788894,2.74741398,1.06112581,1.46559679,0.03435367,1.00552216,0.24782485,0.01080170
-5.77188594,2.73514239,1.05247472,1.46426751,0.03407667,0.99818513,0.24386033,0.01115395
-5.76588294,2.72920411,1.04552549,1.46733216,0.03378188,0.99219451,0.24182157,0.01151445
-5.75987994,2.72922901,1.04029513,1.47442936,0.03347197,0.98756241,0.24157895,0.01187865
