energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,5.70520775,2.00294042,2.59807887,0.02048232,3.77626829,0.25924261,0.00041357
-5.99399700,5.82092860,2.07440956,2.65538938,0.01945920,3.87150802,0.25961385,0.00042778
-5.98799400,5.94069676,2.14624787,2.71433507,0.01861929,3.96722578,0.26032512,0.00044305
-5.98199100,6.06322538,2.21796006,2.77429255,0.01796909,4.06240768,0.26131127,0.00045928
-5.97598799,6.18724476,2.28910829,2.83463296,0.01751360,4.15609137,0.26250224,0.00047633
-5.96998499,6.31157692,2.35933403,2.89475354,0.01725656,4.24741388,0.26382857,0.00049408
-5.96398199,6.43519962,2.42837485,2.95410517,0.01720077,4.33565174,0.26522669,0.00051242
-5.95797899,6.55729588,2.49607501,3.01221437,0.01734831,4.42025077,0.26664370,0.00053123
-5.95197599,6.67728590,2.56238920,3.06869836,0.01770078,4.50084397,0.26804140,0.00055044
-5.94597299,6.79483969,2.62737891,3.12327267,0.01825937,4.57725635,0.26939926,0.00056996
-5.93996998,6.90986996,2.69120178,3.17575094,0.01902498,4.64949680,0.27071636,0.00058973
-5.93396698,7.02250597,2.75409429,3.22603729,0.01999825,4.71773760,0.27201203,0.00060973
-5.92796398,7.13305064,2.81634892,3.27411226,0.02117944,4.78228316,0.27332533,0.00062989
-5.92196098,7.24192411,2.87828714,3.32001334,0.02256841,4.84353034,0.27471322,0.00065021
-5.91595798,7.34959793,2.94022987,3.36381204,0.02416443,4.90192304,0.27624780,0.00067064
-5.90995498,7.45652470,3.00246723,3.40558917,0.02596605,4.95790445,0.27801250,0.00069114
-5.90395198,7.56306842,3.06522962,3.44541053,0.02797096,5.01187014,0.28009760,0.00071165
-5.89794897,7.66944053,3.12866188,3.48330486,0.03017586,5.06412550,0.28259531,0.00073209
-5.89194597,7.77564647,3.19280239,3.51924589,0.03257635,5.11485041,0.28559452,0.00075235
-5.88594297,7.88144690,3.25756832,3.55314005,0.03516691,5.16407373,0.28917573,0.00077230
-5.87993997,7.98633655,3.32274837,3.58482095,0.03794090,5.21165949,0.29340616,0.00079176
-5.87393697,8.08954264,3.38800332,3.61405112,0.04089066,5.25730590,0.29833543,0.00081053
-5.86793397,8.19004350,3.45287467,3.64053123,0.04400760,5.30055727,0.30399201,0.00082839
-5.86193097,8.28660660,3.51680096,3.66391620,0.04728240,5.34082827,0.31038053,0.00084509
-5.85592796,8.37784371,3.57914070,3.68383722,0.05070523,5.37743888,0.31748016,0.00086037
-5.84992496,8.46228008,3.63920088,3.69992820,0.05426592,5.40965785,0.32524414,0.00087397
-5.84392196,8.53843323,3.69626914,3.71185472,0.05795419,5.43675166,0.33360039,0.00088565
-5.83791896,8.60489634,3.74964778,3.71934357,0.06175977,5.45803584,0.34245330,0.00089516
-5.83191596,8.66042113,3.79868775,3.72221055,0.06567254,5.47292501,0.35168665,0.00090234
-5.82591296,8.70399469,3.84282025,3.72038456,0.06968249,5.48097843,0.36116734,0.00090702
-5.81990995,8.73490561,3.88158459,3.71392601,0.07377968,5.48193792,0.37075011,0.00090912
-5.81390695,8.75279505,3.91465030,3.70303816,0.07795403,5.47575552,0.38028280,0.00090864
-5.80790395,8.75768977,3.94183257,3.68807038,0.08219510,5.46260919,0.38961206,0.00090561
-5.80190095,8.75001502,3.96310023,3.66951272,0.08649169,5.44290538,0.39858930,0.00090017
-5.79589795,8.73058683,3.97857598,3.64798225,0.09083152,5.41726848,0.40707664,0.00089253
-5.78989495,8.70058431,3.98852917,3.62420152,0.09520074,5.38651775,0.41495257,0.00088297
-5.78389195,8.66150410,3.99336187,3.59897088,0.09958358,5.35163353,0.42211723,0.00087182
-5.77788894,8.61509996,3.99358936,3.57313592,0.10396204,5.31371486,0.42849695,0.00085949
-5.77188594,8.56331168,3.98981647,3.54755246,0.10831559,5.27393139,0.43404795,0.00084643
-5.76588294,8.50818750,3.98271142,3.52305105,0.11262110,5.23347280,0.43875909,0.00083312
-5.75987994,8.45180508,3.97297892,3.50040331,0.11685292,5.19349882,0.44265338,0.00082005
-5.75387694,8.39619525,3.96133415,3.48029207,0.12098309,5.15509293,0.44578834,0.00080774
-5.74787394,8.34327289,3.94847906,3.46328701,0.12498178,5.11922251,0.44825504,0.00079668
-5.74187094,8.29477802,3.93508220,3.44982717,0.12881790,5.08670743,0.45017590,0.00078733
-5.73586793,8.25222950,3.92176295,3.44021090,0.13245983,5.05819842,0.45170117,0.00078014
-5.72986493,8.21689270,3.90908046,3.43459361,0.13587637,5.03416611,0.45300434,0.00077550
-5.72386193,8.18976111,3.89752726,3.43299274,0.13903763,5.01490021,0.45427640,0.00077374
