energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.06785835,0.00463901,0.00000000,0.04715858,0.00878710,0.02474083,0.00000000
-5.99399700,0.08180379,0.00560306,0.00000000,0.05681765,0.01056693,0.02983900,0.00000000
-5.98799400,0.09808448,0.00672613,0.00000000,0.06810188,0.01265087,0.03578774,0.00000000
-5.98199100,0.11688907,0.00802150,0.00000000,0.08114107,0.01506237,0.04265633,0.00000000
-5.97598799,0.13839030,0.00950128,0.00000000,0.09605427,0.01782298,0.05050816,0.00000000
-5.96998499,0.16273517,0.01117577,0.00000000,0.11294281,0.02095111,0.05939716,0.00000000
-5.96398199,0.19003437,0.01305274,0.00000000,0.13188300,0.02446060,0.06936394,0.00000000
-5.95797899,0.22035161,0.01513669,0.00000000,0.15291865,0.02835933,0.08043191,0.00000000
-5.95197599,0.25369298,0.01742813,0.00000000,0.17605369,0.03264784,0.09260343,0.00000000
-5.94597299,0.28999710,0.01992292,0.00000000,0.20124531,0.03731808,0.10585619,0.00000000
-5.93996998,0.32912641,0.02261166,0.00000000,0.22839789,0.04235219,0.12014003,0.00000000
-5.93396698,0.37086012,0.02547923,0.00000000,0.25735808,0.04772168,0.13537442,0.00000000
-5.92796398,0.41488960,0.02850444,0.00000000,0.28791163,0.05338676,0.15144674,0.00000000
-5.92196098,0.46081645,0.03165996,0.00000000,0.31978200,0.05929611,0.16821158,0.00000000
-5.91595798,0.50815381,0.03491235,0.00000000,0.35263129,0.06538705,0.18549126,0.00000000
-5.90995498,0.55633128,0.03822242,0.00000000,0.38606364,0.07158614,0.20307756,0.00000000
-5.90395198,0.60470338,0.04154585,0.00000000,0.41963111,0.07781033,0.22073490,0.00000000
-5.89794897,0.65256185,0.04483398,0.00000000,0.45284217,0.08396846,0.23820472,0.00000000
-5.89194597,0.69915133,0.04803491,0.00000000,0.48517263,0.08996332,0.25521132,0.00000000
-5.88594297,0.74368809,0.05109480,0.00000000,0.51607862,0.09569407,0.27146862,0.00000000
-5.87993997,0.78538129,0.05395931,0.00000000,0.54501132,0.10105893,0.28668793,0.00000000
-5.87393697,0.82345592,0.05657521,0.00000000,0.57143291,0.10595818,0.30058637,0.00000000
-5.86793397,0.85717649,0.05889195,0.00000000,0.59483296,0.11029720,0.31289547,0.00000000
-5.86193097,0.88587058,0.06086334,0.00000000,0.61474483,0.11398944,0.32336978,0.00000000
-5.85592796,0.90895109,0.06244904,0.00000000,0.63076106,0.11695938,0.33179501,0.00000000
-5.84992496,0.92593621,0.06361593,0.00000000,0.64254724,0.11914503,0.33799532,0.00000000
-5.84392196,0.93646621,0.06433929,0.00000000,0.64985366,0.12050012,0.34183942,0.00000000
-5.83791896,0.94031618,0.06460366,0.00000000,0.65252412,0.12099572,0.34324527,0.00000000
-5.83191596,0.93740410,0.06440338,0.00000000,0.65050152,0.12062130,0.34218298,0.00000000
-5.82591296,0.92779388,0.06374280,0.00000000,0.64382999,0.11938514,0.33867601,0.00000000
-5.81990995,0.91169326,0.06263618,0.00000000,0.63265335,0.11731401,0.33280029,0.00000000
-5.81390695,0.88944655,0.06110710,0.00000000,0.61721007,0.11445230,0.32468171,0.00000000
-5.80790395,0.86152273,0.05918771,0.00000000,0.59782499,0.11086046,0.31449170,0.00000000
-5.80190095,0.82849951,0.05691761,0.00000000,0.57489816,0.10661297,0.30244150,0.00000000
-5.79589795,0.79104396,0.05434249,0.00000000,0.54889137,0.10179585,0.28877505,0.00000000
-5.78989495,0.74989100,0.05151268,0.00000000,0.52031312,0.09650391,0.27376124,0.00000000
-5.78389195,0.70582037,0.04848150,0.00000000,0.48970254,0.09083783,0.25768549,0.00000000
-5.77788894,0.65963348,0.04530371,0.00000000,0.45761320,0.08490115,0.24084138,0.00000000
-5.77188594,0.61213101,0.04203395,0.00000000,0.42459744,0.07879746,0.22352255,0.00000000
-5.76588294,0.56409217,0.03872524,0.00000000,0.39119175,0.07262773,0.20601515,0.00000000
-5.75987994,0.51625650,0.03542776,0.00000000,0.35790397,0.06648804,0.18859134,0.00000000
-5.75387694,0.46930877,0.03218778,0.00000000,0.32520262,0.06046763,0.17150384,0.00000000
-5.74787394,0.42386750,0.02904682,0.00000000,0.29350858,0.05464749,0.15498185,0.00000000
-5.74187094,0.38047720,0.02604110,0.00000000,0.26318952,0.04909942,0.13922835,0.00000000
-5.73586793,0.33960439,0.02320124,0.00000000,0.23455681,0.04388557,0.12441881,0.00000000
-5.72986493,0.30163736,0.02055218,0.00000000,0.20786505,0.03905842,0.11070113,0.00000000
-5.72386193,0.26688905,0.01811342,0.00000000,0.18331380,0.03466126,0.09819697,0.00000000
-5.71785893,0.23560284,0.01589933,0.00000000,0.16105137,0.03072895,0.08700386,0.00000000
-5.71185593,0.20796057,0.01391969,0.00000000,0.14118015,0.02728900,0.07719833,0.00000000
-5.70585293,0.18409201,0.01218040,0.00000000,0.12376311,0.02436282,0.06883942,0.00000000
-5.69984992,0.16408538,0.01068414,0.00000000,0.10883109,0.02196707,0.06197257,0.00000000
-5.69384692,0.14799802,0.00943123,0.00000000,0.09639037,0.02011505,0.05663353,0.00000000
