energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Y_p_up,Y_d_up
-6.00000000,0.04647754,0.00078005,0.02867278,0.00417565,0.00000213,0.01574221,0.01380259
-5.99399700,0.05746108,0.00097652,0.03544462,0.00517028,0.00000262,0.01954436,0.01709721
-5.98799400,0.07057639,0.00121459,0.04352206,0.00635742,0.00000321,0.02411112,0.02103980
-5.98199100,0.08611161,0.00150084,0.05308205,0.00776298,0.00000391,0.02955545,0.02572106
-5.97598799,0.10436744,0.00184237,0.06430896,0.00941371,0.00000473,0.03599843,0.03123638
-5.96998499,0.12565131,0.00224680,0.07739114,0.01133661,0.00000569,0.04356799,0.03768433
-5.96398199,0.15027033,0.00272207,0.09251666,0.01355819,0.00000679,0.05239718,0.04516462
-5.95797899,0.17852309,0.00327638,0.10986844,0.01610364,0.00000805,0.06262214,0.05377578
-5.95197599,0.21069040,0.00391803,0.12961865,0.01899581,0.00000948,0.07437963,0.06361240
-5.94597299,0.24702527,0.00465516,0.15192271,0.02225423,0.00001110,0.08780429,0.07476217
-5.93996998,0.28774235,0.00549563,0.17691301,0.02589394,0.00001290,0.10302561,0.08730272
-5.93396698,0.33300742,0.00644669,0.20469254,0.02992440,0.00001490,0.12016477,0.10129829
-5.92796398,0.38292710,0.00751481,0.23532882,0.03434848,0.00001710,0.13933138,0.11679657
-5.92196098,0.43753962,0.00870537,0.26884830,0.03916138,0.00001950,0.16062028,0.13382565
-5.91595798,0.49680692,0.01002245,0.30523175,0.04434991,0.00002210,0.18410866,0.15239136
-5.90995498,0.56060883,0.01146857,0.34441078,0.04989185,0.00002489,0.20985331,0.17247517
-5.90395198,0.62873972,0.01304452,0.38626585,0.05575562,0.00002786,0.23788852,0.19403273
-5.89794897,0.70090814,0.01474918,0.43062617,0.06190029,0.00003099,0.26822448,0.21699335
-5.89194597,0.77673974,0.01657941,0.47727147,0.06827591,0.00003428,0.30084632,0.24126035
-5.88594297,0.85578375,0.01853006,0.52593594,0.07482431,0.00003771,0.33571399,0.26671255
-5.87993997,0.93752303,0.02059394,0.57631432,0.08148019,0.00004124,0.37276285,0.29320686
-5.87393697,1.02138756,0.02276199,0.62807006,0.08817267,0.00004487,0.41190501,0.32058194
-5.86793397,1.10677110,0.02502343,0.68084529,0.09482719,0.00004856,0.45303147,0.34866295
-5.86193097,1.19305053,0.02736608,0.73427253,0.10136766,0.00005230,0.49601483,0.37726724
-5.85592796,1.27960716,0.02977665,0.78798738,0.10771893,0.00005606,0.54071258,0.40621070
-5.84992496,1.36584913,0.03224123,0.84164209,0.11380929,0.00005983,0.58697072,0.43531477
-5.84392196,1.45123422,0.03474567,0.89491909,0.11957312,0.00006359,0.63462763,0.46441360
-5.83791896,1.53529168,0.03727614,0.94754417,0.12495341,0.00006733,0.68351792,0.49336120
-5.83191596,1.61764240,0.03981959,0.99929848,0.12990407,0.00007106,0.73347625,0.52203823
-5.82591296,1.69801626,0.04236432,1.05002885,0.13439205,0.00007475,0.78434072,0.55035806
-5.81990995,1.77626570,0.04490036,1.09965586,0.13839895,0.00007843,0.83595589,0.57827180
-5.81390695,1.85237491,0.04741997,1.14817922,0.14192220,0.00008211,0.88817521,0.60577208
-5.80790395,1.92646386,0.04991794,1.19567998,0.14497573,0.00008580,0.94086277,0.63289523
-5.80190095,1.99878692,0.05239182,1.24231951,0.14758997,0.00008953,0.99389433,0.65972173
-5.79589795,2.06972584,0.05484209,1.28833501,0.14981128,0.00009333,1.04715765,0.68637477
-5.78989495,2.13977715,0.05727214,1.33403163,0.15170080,0.00009723,1.10055204,0.71301698
-5.78389195,2.20953442,0.05968815,1.37977146,0.15333271,0.00010126,1.15398719,0.73984514
-5.77788894,2.27966583,0.06209882,1.42595964,0.15479195,0.00010547,1.20738140,0.76708331
-5.77188594,2.35088782,0.06451495,1.47302812,0.15617158,0.00010988,1.26065921,0.79497416
-5.76588294,2.42393580,0.06694892,1.52141760,0.15756976,0.00011453,1.31374850,0.82376919
-5.75987994,2.49953291,0.06941405,1.57155829,0.15908652,0.00011946,1.36657727,0.85371779
-5.75387694,2.57835790,0.07192386,1.62385022,0.16082042,0.00012469,1.41907004,0.88505580
-5.74787394,2.66101349,0.07449122,1.67864382,0.16286523,0.00013024,1.47114411,0.91799374
-5.74187094,2.74799618,0.07712755,1.73622152,0.16530670,0.00013612,1.52270580,0.95270541
-5.73586793,2.83966874,0.07984194,1.79678097,0.16821964,0.00014234,1.57364668,0.98931704
-5.72986493,2.93623637,0.08264031,1.86042072,0.17166520,0.00014889,1.62384011,1.02789763
-5.72386193,3.03772747,0.08552468,1.92712871,0.17568865,0.00015575,1.67313815,1.06845076
-5.71785893,3.14397982,0.08849251,1.99677426,0.18031762,0.00016290,1.72136910,1.11090835
-5.71185593,3.25463274,0.09153621,2.06910378,0.18556081,0.00017030,1.76833580,1.15512660
-5.70585293,3.36912556,0.09464281,2.14374044,0.19140730,0.00017791,1.81381496,1.20088438
-5.69984992,3.48670283,0.09779385,2.22018808,0.19782644,0.00018566,1.85755765,1.24788426
-5.69384692,3.60642596,0.10096552,2.29783904,0.20476822,0.00019349,1.89929126,1.29575620
-5.68784392,3.72719130,0.10412901,2.37598597,0.21216432,0.00020133,1.93872284,1.34406389
-5.68184092,3.84775395,0.10725112,2.45383719,0.21992955,0.00020909,1.97554414,1.39231361
-5.67583792,3.96675688,0.11029512,2.53053503,0.22796387,0.00021670,2.00943815,1.43996527
-5.66983492,4.08276413,0.11322178,2.60517678,0.23615475,0.00022407,2.04008722,1.48644546
-5.66383192,4.19429734,0.11599062,2.67683738,0.24437993,0.00023111,2.06718234,1.53116191
-5.65782891,4.29987413,0.11856125,2.74459308,0.25251041,0.00023774,2.09043355,1.57351888
-5.65182591,4.39804717,0.12089482,2.80754533,0.26041365,0.00024388,2.10958080,1.61293300
-5.64582291,4.48744241,0.12295544,2.86484397,0.26795683,0.00024945,2.12440499,1.64884890
-5.63981991,4.56679524,0.12471155,2.91570893,0.27501016,0.00025439,2.13473852,1.68075407
-5.63381691,4.63498319,0.12613719,2.95944961,0.28145000,0.00025864,2.14047479,1.70819233
-5.62781391,4.69105403,0.12721306,2.99548140,0.28716187,0.00026214,2.14157605,1.73077556
-5.62181091,4.73424828,0.12792728,3.02333864,0.29204314,0.00026488,2.13807916,1.74819307
-5.61580790,4.76401541,0.12827597,3.04268373,0.29600530,0.00026681,2.13009871,1.76021846
-5.60980490,4.78002335,0.12826338,3.05331223,0.29897593,0.00026794,2.11782720,1.76671376
-5.60380190,4.78216104,0.12790175,3.05515381,0.30090008,0.00026826,2.10153220,1.76763072
-5.59779890,4.77053446,0.12721086,3.04826940,0.30174122,0.00026780,2.08155045,1.76300944
-5.59179590,4.74545638,0.12621719,3.03284472,0.30148161,0.00026657,2.05827903,1.75297443
-5.58579290,4.70743085,0.12495287,3.00918093,0.30012223,0.00026462,2.03216419,1.73772863
-5.57978989,4.65713336,0.12345440,2.97768279,0.29768220,0.00026199,2.00368821,1.71754549
-5.57378689,4.59538785,0.12176125,2.93884529,0.29419774,0.00025875,1.97335502,1.69275998
-5.56778389,4.52314186,0.11991432,2.89323930,0.28972086,0.00025495,1.94167553,1.66375862
-5.56178089,4.44144121,0.11795454,2.84149711,0.28431766,0.00025067,1.90915322,1.63096940
-5.55577789,4.35140530,0.11592146,2.78429848,0.27806644,0.00024598,1.87627109,1.59485181
-5.54977489,4.25420414,0.11385201,2.72235773,0.27105571,0.00024096,1.84348055,1.55588749
-5.54377189,4.15103807,0.11177960,2.65641240,0.26338212,0.00023569,1.81119290,1.51457181
-5.53776888,4.04312058,0.10973335,2.58721367,0.25514837,0.00023025,1.77977395,1.47140653
-5.53176588,3.93166479,0.10773773,2.51551863,0.24646129,0.00022471,1.74954198,1.42689380
-5.52576288,3.81787336,0.10581246,2.44208444,0.23742991,0.00021917,1.72076904,1.38153121
-5.51975988,3.70293172,0.10397277,2.36766407,0.22816384,0.00021370,1.69368554,1.33580812
-5.51375688,3.58800406,0.10222982,2.29300324,0.21877167,0.00020839,1.66848761,1.29020286
-5.50775388,3.47423142,0.10059152,2.21883830,0.20935966,0.00020330,1.64534667,1.24518054
-5.50175088,3.36273096,0.09906337,2.14589443,0.20003056,0.00019853,1.62442052,1.20119138
-5.49574787,3.25459565,0.09764946,2.07488375,0.19088256,0.00019413,1.60586506,1.15866910
-5.48974487,3.15089351,0.09635351,2.00650291,0.18200841,0.00019021,1.58984581,1.11802918
-5.48374187,3.05266560,0.09517982,1.94142980,0.17349462,0.00018681,1.57654827,1.07966680
-5.47773887,2.96092224,0.09413421,1.88031925,0.16542077,0.00018402,1.56618644,1.04395429
-5.47173587,2.87663716,0.09322461,1.82379746,0.15785886,0.00018190,1.55900884,1.01123815
-5.46573287,2.80073926,0.09246163,1.77245542,0.15087275,0.00018052,1.55530138,0.98183550
-5.45972986,2.73410246,0.09185873,1.72684144,0.14451762,0.00017993,1.55538699,0.95603026
-5.45372686,2.67753366,0.09143223,1.68745312,0.13883953,0.00018018,1.55962186,0.93406923
-5.44772386,2.63175971,0.09120097,1.65472926,0.13387507,0.00018133,1.56838843,0.91615826
-5.44172086,2.59741401,0.09118583,1.62904222,0.12965106,0.00018340,1.58208548,0.90245898
-5.43571786,2.57502370,0.09140892,1.61069127,0.12618449,0.00018641,1.60111596,0.89308618
-5.42971486,2.56499829,0.09189274,1.59989746,0.12348253,0.00019039,1.62587313,0.88810634
-5.42371186,2.56762069,0.09265912,1.59680055,0.12154277,0.00019534,1.65672593,0.88753750
-5.41770885,2.58304136,0.09372816,1.60145821,0.12035372,0.00020123,1.69400431,0.89135057
-5.41170585,2.61127629,0.09511721,1.61384792,0.11989551,0.00020805,1.73798547,0.89947220
-5.40570285,2.65220899,0.09683983,1.63387152,0.12014077,0.00021576,1.78888175,0.91178923
-5.39969985,2.70559693,0.09890497,1.66136227,0.12105586,0.00022431,1.84683081,0.92815455
-5.39369685,2.77108198,0.10131626,1.69609427,0.12260216,0.00023364,1.91188878,0.94839407
-5.38769385,2.84820460,0.10407153,1.73779367,0.12473761,0.00024368,1.98402668,0.97231446
-5.38169085,2.93642112,0.10716252,1.78615118,0.12741826,0.00025435,2.06313027,0.99971138
-5.37568784,3.03512304,0.11057487,1.84083502,0.13059987,0.00026556,2.14900339,1.03037745
-5.36968484,3.14365749,0.11428835,1.90150376,0.13423951,0.00027723,2.24137452,1.06410971
-5.36368184,3.26134750,0.11827724,1.96781806,0.13829694,0.00028927,2.33990619,1.10071587
-5.35767884,3.38751097,0.12251100,2.03945067,0.14273575,0.00030157,2.44420654,1.14001905
-5.35167584,3.52147701,0.12695500,2.11609388,0.14752436,0.00031407,2.55384250,1.18186054
-5.34567284,3.66259880,0.13157147,2.19746396,0.15263644,0.00032666,2.66835352,1.22610033
-5.33966983,3.81026177,0.13632044,2.28330213,0.15805109,0.00033928,2.78726513,1.27261523
