energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.51214010,0.00397835,0.33153293,0.46483686,0.20237816,0.71078354,1.54545973,0.56852030,0.00000000
-5.99399700,2.44011237,0.00412875,0.32673613,0.45257083,0.19663844,0.69568523,1.49260728,0.55607423,0.00000000
-5.98799400,2.36742079,0.00430881,0.32101970,0.44091929,0.19180151,0.67901538,1.43826230,0.54480961,0.00000000
-5.98199100,2.29578473,0.00452065,0.31450990,0.43020154,0.18798300,0.66116227,1.38360772,0.53512538,0.00000000
-5.97598799,2.22686623,0.00476578,0.30734809,0.42070566,0.18527635,0.64252051,1.32980489,0.52738516,0.00000000
-5.96998499,2.16222766,0.00504488,0.29968746,0.41267986,0.18375027,0.62347964,1.27796528,0.52190695,0.00000000
-5.96398199,2.10329445,0.00535768,0.29168946,0.40632554,0.18344704,0.60441364,1.22912494,0.51895496,0.00000000
-5.95797899,2.05132372,0.00570288,0.28351999,0.40179239,0.18438171,0.58567152,1.18422235,0.51873350,0.00000000
-5.95197599,2.00737973,0.00607802,0.27534556,0.39917551,0.18654226,0.56756957,1.14408025,0.52138325,0.00000000
-5.94597299,1.97231637,0.00647949,0.26732932,0.39851472,0.18989055,0.55038523,1.10939166,0.52697993,0.00000000
-5.93996998,1.94676686,0.00690256,0.25962707,0.39979592,0.19436415,0.53435274,1.08071041,0.53553528,0.00000000
-5.93396698,1.93114064,0.00734140,0.25238358,0.40295435,0.19987890,0.51966075,1.05844590,0.54700023,0.00000000
-5.92796398,1.92562673,0.00778921,0.24572888,0.40787963,0.20633207,0.50645161,1.04286205,0.56126994,0.00000000
-5.92196098,1.93020307,0.00823841,0.23977513,0.41442215,0.21360600,0.49482227,1.03407999,0.57819049,0.00000000
-5.91595798,1.94465086,0.00868081,0.23461368,0.42240057,0.22157211,0.48482670,1.03208407,0.59756669,0.00000000
-5.90995498,1.96857278,0.00910786,0.23031277,0.43160993,0.23009505,0.47647926,1.03673053,0.61917066,0.00000000
-5.90395198,2.00141414,0.00951093,0.22691577,0.44183002,0.23903684,0.46975903,1.04775832,0.64275060,0.00000000
-5.89794897,2.04248558,0.00988155,0.22444008,0.45283366,0.24826087,0.46461460,1.06480138,0.66803940,0.00000000
-5.89194597,2.09098636,0.01021175,0.22287671,0.46439432,0.25763547,0.46096897,1.08740179,0.69476252,0.00000000
-5.88594297,2.14602707,0.01049426,0.22219066,0.47629293,0.26703706,0.45872446,1.11502334,0.72264482,0.00000000
-5.87993997,2.20665106,0.01072282,0.22232195,0.48832341,0.27635264,0.45776717,1.14706479,0.75141602,0.00000000
-5.87393697,2.27185371,0.01089238,0.22318747,0.50029696,0.28548162,0.45797094,1.18287274,0.78081451,0.00000000
-5.86793397,2.34059922,0.01099927,0.22468344,0.51204468,0.29433680,0.45920068,1.22175367,0.81058952,0.00000000
-5.86193097,2.41183460,0.01104128,0.22668855,0.52341882,0.30284468,0.46131489,1.26298500,0.84050156,0.00000000
-5.85592796,2.48450103,0.01101781,0.22906763,0.53429249,0.31094494,0.46416760,1.30582517,0.87032132,0.00000000
-5.84992496,2.55754262,0.01092977,0.23167566,0.54455815,0.31858932,0.46760956,1.34952283,0.89982730,0.00000000
-5.84392196,2.62991323,0.01077958,0.23436220,0.55412496,0.32573990,0.47148905,1.39332513,0.92880243,0.00000000
-5.83791896,2.70058186,0.01057104,0.23697591,0.56291555,0.33236698,0.47565229,1.43648548,0.95703022,0.00000000
-5.83191596,2.76853733,0.01030914,0.23936914,0.57086221,0.33844673,0.47994380,1.47827101,0.98429092,0.00000000
-5.82591296,2.83279310,0.00999988,0.24140238,0.57790322,0.34395876,0.48420676,1.51796983,1.01035803,0.00000000
-5.81990995,2.89239287,0.00965001,0.24294846,0.58397933,0.34888382,0.48828372,1.55489856,1.03499581,0.00000000
-5.81390695,2.94641768,0.00926677,0.24389644,0.58903096,0.35320178,0.49201770,1.58841021,1.05795823,0.00000000
-5.80790395,2.99399508,0.00885765,0.24415497,0.59299634,0.35689010,0.49525390,1.61790251,1.07898946,0.00000000
-5.80190095,3.03431064,0.00843011,0.24365514,0.59581062,0.35992280,0.49784194,1.64282687,1.09782650,0.00000000
-5.79589795,3.06662196,0.00799134,0.24235266,0.59740635,0.36227019,0.49963889,1.66269784,1.11420376,0.00000000
-5.78989495,3.09027496,0.00754808,0.24022941,0.59771507,0.36389926,0.50051272,1.67710297,1.12785968,0.00000000
-5.78389195,3.10472216,0.00710642,0.23729429,0.59667016,0.36477476,0.50034641,1.68571274,1.13854521,0.00000000
-5.77788894,3.10954214,0.00667170,0.23358338,0.59421066,0.36486104,0.49904216,1.68829029,1.14603374,0.00000000
-5.77188594,3.10445940,0.00624839,0.22915936,0.59028588,0.36412431,0.49652588,1.68470051,1.15013213,0.00000000
-5.76588294,3.08936349,0.00584006,0.22411041,0.58486049,0.36253549,0.49275139,1.67491791,1.15069215,0.00000000
-5.75987994,3.06432627,0.00544941,0.21854834,0.57791979,0.36007323,0.48770428,1.65903287,1.14762179,0.00000000
-5.75387694,3.02961601,0.00507828,0.21260631,0.56947467,0.35672705,0.48140507,1.63725568,1.14089573,0.00000000
-5.74787394,2.98570715,0.00472772,0.20643590,0.55956608,0.35250036,0.47391141,1.60991784,1.13056424,0.00000000
-5.74187094,2.93328458,0.00439811,0.20020390,0.54826855,0.34741315,0.46531917,1.57747031,1.11675994,0.00000000
-5.73586793,2.87324148,0.00408925,0.19408853,0.53569241,0.34150414,0.45576226,1.54047835,1.09970183,0.00000000
-5.72986493,2.80667015,0.00380051,0.18827548,0.52198471,0.33483231,0.44541087,1.49961264,1.07969615,0.00000000
-5.72386193,2.73484520,0.00353091,0.18295363,0.50732838,0.32747750,0.43446846,1.45563689,1.05713370,0.00000000
-5.71785893,2.65919927,0.00327927,0.17831057,0.49193983,0.31954016,0.42316706,1.40939177,1.03248366,0.00000000
-5.71185593,2.58129142,0.00304433,0.17452797,0.47606473,0.31114007,0.41176140,1.36177568,1.00628365,0.00000000
-5.70585293,2.50276901,0.00282480,0.17177695,0.45997239,0.30241410,0.40052173,1.31372267,0.97912659,0.00000000
-5.69984992,2.42532392,0.00261945,0.17021342,0.44394861,0.29351300,0.38972566,1.26617817,0.95164442,0.00000000
-5.69384692,2.35064454,0.00242718,0.16997353,0.42828747,0.28459737,0.37964933,1.22007324,0.92448945,0.00000000
-5.68784392,2.28036521,0.00224704,0.17116934,0.41328225,0.27583288,0.37055813,1.17629820,0.89831389,0.00000000
-5.68184092,2.21601474,0.00207824,0.17388481,0.39921598,0.26738501,0.36269742,1.13567652,0.87374842,0.00000000
-5.67583792,2.15896607,0.00192016,0.17817217,0.38635182,0.25941348,0.35628348,1.09893993,0.85138055,0.00000000
-5.66983492,2.11038902,0.00177233,0.18404892,0.37492378,0.25206656,0.35149516,1.06670561,0.83173376,0.00000000
-5.66383192,2.07120805,0.00163441,0.19149542,0.36512823,0.24547564,0.34846651,1.03945649,0.81524816,0.00000000
