energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,19.42387036,3.60090244,12.99795023,0.01845973,2.41873448,1.07178609,0.50685769,0.10208860,2.33052234
-5.99399700,19.38636094,3.61768722,12.99626755,0.01828914,2.39730405,1.07314080,0.50432514,0.10234194,2.31541310
-5.98799400,19.31564746,3.62911760,12.97202766,0.01805910,2.37071922,1.07323106,0.50129106,0.10233954,2.29619984
-5.98199100,19.21430999,3.63517367,12.92683967,0.01777404,2.33939865,1.07206990,0.49782789,0.10209602,2.27330593
-5.97598799,19.08485659,3.63577587,12.86230888,0.01743889,2.30375966,1.06965048,0.49399136,0.10162860,2.24714335
-5.96998499,18.92968346,3.63079561,12.78000768,0.01705895,2.26421051,1.06594771,0.48982060,0.10095680,2.21810611
-5.96398199,18.75105498,3.62007134,12.68145762,0.01663977,2.22114499,1.06092154,0.48533941,0.10010222,2.18656653
-5.95797899,18.55110303,3.60342885,12.56812268,0.01618701,2.17493921,1.05452176,0.48055847,0.09908825,2.15287416
-5.95197599,18.33184325,3.58070463,12.44141289,0.01570640,2.12595051,1.04669397,0.47547848,0.09793990,2.11735714
-5.94597299,18.09520505,3.55177056,12.30269632,0.01520368,2.07451838,1.03738632,0.47009375,0.09668343,2.08032536
-5.93996998,17.84307074,3.51655841,12.15331711,0.01468454,2.02096686,1.02655666,0.46439618,0.09534617,2.04207501
-5.93396698,17.57731891,3.47508253,11.99461650,0.01415461,1.96560813,1.01417948,0.45837924,0.09395607,2.00289373
-5.92796398,17.29986653,3.42745906,11.82795358,0.01361945,1.90874657,1.00025253,0.45204179,0.09254140,1.96306581
-5.92196098,17.01270496,3.37392059,11.65472275,0.01308452,1.85068296,0.98480231,0.44539129,0.09113024,1.92287677
-5.91595798,16.71792522,3.31482501,11.47636489,0.01255519,1.79171815,0.96788849,0.43844641,0.08974999,1.88261682
-5.90995498,16.41772916,3.25065805,11.29437031,0.01203668,1.73215581,0.94960675,0.43123882,0.08842681,1.84258293
-5.90395198,16.11442446,3.18202923,11.11027180,0.01153404,1.67230395,0.93008998,0.42381397,0.08718499,1.80307905
-5.89794897,15.81040276,3.10966130,10.92562758,0.01105212,1.61247488,0.90950779,0.41623095,0.08604634,1.76441465
-5.89194597,15.50810180,3.03437386,10.74199453,0.01059549,1.55298374,0.88806431,0.40856152,0.08502958,1.72690158
-5.88594297,15.20995389,2.95706197,10.56089340,0.01016843,1.49414541,0.86599446,0.40088820,0.08414974,1.69084950
-5.87993997,14.91832440,2.87867104,10.38376808,0.00977479,1.43627026,0.84355893,0.39330180,0.08341767,1.65656029
-5.87393697,14.63544473,2.80016935,10.21194216,0.00941803,1.37965883,0.82103803,0.38589851,0.08283964,1.62432193
-5.86793397,14.36334473,2.72251977,10.04657603,0.00910108,1.32459612,0.79872483,0.37877668,0.08241709,1.59440235
-5.86193097,14.10379003,2.64665215,9.88862784,0.00882636,1.27134557,0.77691792,0.37203362,0.08214652,1.56704361
-5.85592796,13.85822881,2.57343785,9.73882172,0.00859575,1.22014359,0.75591400,0.36576255,0.08201963,1.54245716
-5.84992496,13.62775243,2.50366765,9.59762587,0.00841059,1.17119473,0.73600081,0.36005000,0.08202357,1.52082017
-5.84392196,13.41307275,2.43803396,9.46524251,0.00827168,1.12466804,0.71745045,0.35497359,0.08214148,1.50227343
