energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.65980213,0.00372862,0.15687773,0.19651879,0.70287480,0.91820130,0.02033699,0.52941189
-5.99399700,1.71609669,0.00378916,0.16423875,0.20392678,0.75046685,0.94385018,0.02055933,0.54790305
-5.98799400,1.77117628,0.00383511,0.17171072,0.21107905,0.79920248,0.96838860,0.02079913,0.56604599
-5.98199100,1.82468976,0.00386637,0.17927291,0.21788520,0.84866079,0.99167843,0.02105891,0.58370511
-5.97598799,1.87632722,0.00388321,0.18690662,0.22425492,0.89843580,1.01361230,0.02134018,0.60075236
-5.96998499,1.92582483,0.00388626,0.19459522,0.23010054,0.94813955,1.03411581,0.02164330,0.61706888
-5.96398199,1.97296733,0.00387653,0.20232389,0.23533948,0.99740429,1.05314829,0.02196745,0.63254623
-5.95797899,2.01758779,0.00385536,0.21007889,0.23989672,1.04588346,1.07070169,0.02231050,0.64708711
-5.95197599,2.05956428,0.00382441,0.21784659,0.24370685,1.09325132,1.08679758,0.02266902,0.66060562
-5.94597299,2.09881360,0.00378560,0.22561207,0.24671585,1.13920140,1.10148223,0.02303832,0.67302677
-5.93996998,2.13528227,0.00374105,0.23335745,0.24888237,1.18344364,1.11481990,0.02341248,0.68428567
-5.93396698,2.16893507,0.00369297,0.24106002,0.25017853,1.22570075,1.12688477,0.02378447,0.69432600
-5.92796398,2.19974216,0.00364365,0.24869042,0.25059026,1.26570382,1.13775178,0.02414629,0.70309837
-5.92196098,2.22766525,0.00359529,0.25621074,0.25011707,1.30318786,1.14748699,0.02448916,0.71055824
-5.91595798,2.25264412,0.00354996,0.26357308,0.24877140,1.33788761,1.15613812,0.02480372,0.71666401
-5.90995498,2.27458431,0.00350949,0.27071833,0.24657759,1.36953414,1.16372576,0.02508031,0.72137507
-5.90395198,2.29334717,0.00347540,0.27757564,0.24357052,1.39785277,1.17023609,0.02530921,0.72465039
-5.89794897,2.30874291,0.00344884,0.28406254,0.23979399,1.42256264,1.17561543,0.02548093,0.72644744
-5.89194597,2.32052781,0.00343052,0.29008576,0.23529908,1.44337831,1.17976735,0.02558652,0.72672183
-5.88594297,2.32840567,0.00342068,0.29554289,0.23014239,1.46001355,1.18255248,0.02561782,0.72542770
-5.87993997,2.33203413,0.00341909,0.30032490,0.22438442,1.47218735,1.18379134,0.02556777,0.72251890
-5.87393697,2.33103562,0.00342504,0.30431923,0.21808800,1.47963203,1.18327013,0.02543060,0.71795093
-5.86793397,2.32501270,0.00343739,0.30741360,0.21131702,1.48210321,1.18074939,0.02520205,0.71168371
-5.86193097,2.31356724,0.00345462,0.30950028,0.20413536,1.47939113,1.17597507,0.02487956,0.70368495
-5.85592796,2.29632239,0.00347489,0.31048050,0.19660605,1.47133280,1.16869166,0.02446232,0.69393408
-5.84992496,2.27294663,0.00349611,0.31026908,0.18879076,1.45782447,1.15865671,0.02395137,0.68242657
-5.84392196,2.24317839,0.00351611,0.30879867,0.18074951,1.43883356,1.14565595,0.02334956,0.66917834
-5.83791896,2.20685022,0.00353269,0.30602376,0.17254059,1.41440952,1.12951846,0.02266151,0.65423014
-5.83191596,2.16391122,0.00354374,0.30192397,0.16422073,1.38469300,1.11013093,0.02189351,0.63765178
-5.82591296,2.11444652,0.00354740,0.29650656,0.15584539,1.34992267,1.08745041,0.02105331,0.61954568
-5.81990995,2.05869298,0.00354211,0.28980804,0.14746911,1.31043952,1.06151495,0.02014999,0.60004997
-5.81390695,1.99705009,0.00352677,0.28189480,0.13914604,1.26668804,1.03245146,0.01919369,0.57934068
-5.80790395,1.93008571,0.00350078,0.27286266,0.13093036,1.21921455,1.00048058,0.01819537,0.55763293
-5.80190095,1.85853616,0.00346414,0.26283540,0.12287678,1.16866234,0.96591827,0.01716657,0.53518117
-5.79589795,1.78330078,0.00341749,0.25196241,0.11504097,1.11576407,0.92917394,0.01611916,0.51227826
-5.78989495,1.70543098,0.00336213,0.24041549,0.10747992,1.06133167,0.89074536,0.01506507,0.48925344
