energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.17460319,-0.17466697,0.02759825,-0.02915568,0.03033367,-0.02906450,0.02942587,-0.03064228,0.00000000,-0.00000000,0.00659824,-0.00607474,0.07442768,-0.07425755
-5.99399700,0.18244794,-0.18052511,0.02937063,-0.03028559,0.03129755,-0.02978369,0.02881532,-0.02962050,0.00000000,-0.00000000,0.00674726,-0.00626511,0.07977261,-0.07877743
-5.98799400,0.19149758,-0.18812738,0.03153957,-0.03189720,0.03239225,-0.03072306,0.02835195,-0.02889104,0.00000000,-0.00000000,0.00687332,-0.00645125,0.08572576,-0.08408899
-5.98199100,0.20147759,-0.19714554,0.03405018,-0.03392874,0.03357431,-0.03182980,0.02798073,-0.02838051,0.00000000,-0.00000000,0.00697027,-0.00662463,0.09217662,-0.09006688
-5.97598799,0.21212656,-0.20725872,0.03684703,-0.03631746,0.03480447,-0.03305384,0.02765644,-0.02802353,0.00000000,-0.00000000,0.00703319,-0.00677757,0.09901235,-0.09658193
-5.96998499,0.22319845,-0.21815658,0.03987457,-0.03900011,0.03604814,-0.03434854,0.02734392,-0.02776348,0.00000000,-0.00000000,0.00705855,-0.00690340,0.10611884,-0.10350227
-5.96398199,0.23446523,-0.22954282,0.04307763,-0.04191350,0.03727582,-0.03567130,0.02701834,-0.02755314,0.00000000,-0.00000000,0.00704423,-0.00699663,0.11338206,-0.11069480
-5.95797899,0.24571992,-0.24113899,0.04640228,-0.04499518,0.03846354,-0.03698420,0.02666511,-0.02735507,0.00000000,-0.00000000,0.00698956,-0.00705306,0.12068997,-0.11802713
-5.95197599,0.25678009,-0.25268877,0.04979685,-0.04818449,0.03959327,-0.03825464,0.02627983,-0.02714189,0.00000000,-0.00000000,0.00689536,-0.00706985,0.12793481,-0.12536994
-5.94597299,0.26749173,-0.26396253,0.05321324,-0.05142368,0.04065328,-0.03945592,0.02586801,-0.02689637,0.00000000,-0.00000000,0.00676384,-0.00704563,0.13501579,-0.13259963
-5.93996998,0.27773351,-0.27476231,0.05660840,-0.05465938,0.04163857,-0.04056783,0.02544469,-0.02661139,0.00000000,-0.00000000,0.00659855,-0.00698046,0.14184205,-0.13960149
-5.93396698,0.28742097,-0.28492679,0.05994595,-0.05784408,0.04255118,-0.04157723,0.02503399,-0.02628979,0.00000000,-0.00000000,0.00640430,-0.00687584,0.14833589,-0.14627294
-5.92796398,0.29651081,-0.29433641,0.06319788,-0.06093787,0.04340048,-0.04247847,0.02466858,-0.02594412,0.00000000,-0.00000000,0.00618696,-0.00673468,0.15443595,-0.15252699
-5.92196098,0.30500468,-0.30291808,0.06634621,-0.06391017,0.04420335,-0.04327385,0.02438903,-0.02559623,0.00000000,-0.00000000,0.00595339,-0.00656117,0.16010031,-0.15829562
-5.91595798,0.31295233,-0.31064943,0.06938453,-0.06674139,0.04498425,-0.04397386,0.02424310,-0.02527686,0.00000000,-0.00000000,0.00571121,-0.00636073,0.16530921,-0.16353289
-5.90995498,0.32045381,-0.31756224,0.07231937,-0.06942455,0.04577515,-0.04459735,0.02428499,-0.02502506,0.00000000,-0.00000000,0.00546864,-0.00613979,0.17006734,-0.16821776
-5.90395198,0.32766040,-0.32374469,0.07517117,-0.07196656,0.04661522,-0.04517150,0.02457448,-0.02488755,0.00000000,-0.00000000,0.00523432,-0.00590570,0.17440534,-0.17235622
-5.89794897,0.33477391,-0.32934233,0.07797487,-0.07438932,0.04755040,-0.04573157,0.02517592,-0.02491801,0.00000000,-0.00000000,0.00501711,-0.00566654,0.17838048,-0.17598266
