energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.78184507,-2.78184611,0.58878674,-0.58878725,1.65031265,-1.65031344,0.00093252,-0.00093252,0.28559877,-0.28559870,0.50196259,-0.50196247,0.67252769,-0.67252777,0.22968691,-0.22968711,0.00000000,-0.00000000
-5.99399700,2.64657652,-2.64657747,0.54285865,-0.54285914,1.56084841,-1.56084916,0.00083538,-0.00083538,0.28258702,-0.28258693,0.49623086,-0.49623072,0.64901150,-0.64901153,0.20950119,-0.20950138,0.00000000,-0.00000000
-5.98799400,2.52044117,-2.52044201,0.49959591,-0.49959636,1.47637351,-1.47637423,0.00074960,-0.00074960,0.28024998,-0.28024987,0.49148496,-0.49148480,0.62794128,-0.62794128,0.19058481,-0.19058499,0.00000000,-0.00000000
-5.98199100,2.40438059,-2.40438133,0.45933421,-0.45933463,1.39770484,-1.39770551,0.00067504,-0.00067505,0.27854379,-0.27854367,0.48767428,-0.48767410,0.60932318,-0.60932314,0.17303591,-0.17303607,0.00000000,-0.00000000
-5.97598799,2.29911387,-2.29911451,0.42234065,-0.42234104,1.32554428,-1.32554490,0.00061154,-0.00061154,0.27739962,-0.27739949,0.48470451,-0.48470432,0.59309993,-0.59309986,0.15692608,-0.15692623,0.00000000,-0.00000000
-5.96998499,2.20513444,-2.20513499,0.38881347,-0.38881382,1.26046838,-1.26046894,0.00055891,-0.00055891,0.27672597,-0.27672584,0.48244114,-0.48244094,0.57915686,-0.57915676,0.14230205,-0.14230218,0.00000000,-0.00000000
-5.96398199,2.12271330,-2.12271376,0.35888359,-0.35888390,1.20292110,-1.20292161,0.00051700,-0.00051700,0.27641194,-0.27641181,0.48071480,-0.48071460,0.56732997,-0.56732986,0.12918787,-0.12918799,0.00000000,-0.00000000
-5.95797899,2.05190854,-2.05190891,0.33261773,-0.33261800,1.15320990,-1.15321036,0.00048568,-0.00048568,0.27633134,-0.27633122,0.47932817,-0.47932798,0.55741577,-0.55741565,0.11758748,-0.11758758,0.00000000,-0.00000000
-5.95197599,1.99258087,-1.99258118,0.31002298,-0.31002322,1.11150549,-1.11150588,0.00046488,-0.00046488,0.27634756,-0.27634744,0.47806426,-0.47806409,0.54918256,-0.54918243,0.10748747,-0.10748755,0.00000000,-0.00000000
-5.94597299,1.94441470,-1.94441493,0.29105253,-0.29105273,1.07784515,-1.07784549,0.00045461,-0.00045461,0.27631896,-0.27631886,0.47669571,-0.47669556,0.54238257,-0.54238245,0.09886004,-0.09886012,0.00000000,-0.00000000
-5.93996998,1.90694381,-1.90694400,0.27561228,-0.27561245,1.05213989,-1.05214016,0.00045495,-0.00045495,0.27610462,-0.27610453,0.47499463,-0.47499451,0.53676464,-0.53676454,0.09166598,-0.09166605,0.00000000,-0.00000000
