energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.62042213,0.58691850,0.00000000,0.00753656,0.28880636,0.76394251,0.00000000,0.55327178,0.31711669
-5.99399700,1.51266580,0.53782854,0.00000000,0.00692359,0.27131177,0.71062415,0.00000000,0.50944105,0.29687121
-5.98799400,1.40453399,0.49028462,0.00000000,0.00631648,0.25356402,0.65751631,0.00000000,0.46709097,0.27643161
-5.98199100,1.29727422,0.44461375,0.00000000,0.00572269,0.23584271,0.60512007,0.00000000,0.42661306,0.25605923
-5.97598799,1.19208799,0.40109879,0.00000000,0.00514878,0.21842457,0.55390901,0.00000000,0.38836999,0.23600890
-5.96998499,1.09010948,0.35997743,0.00000000,0.00460030,0.20157818,0.50432167,0.00000000,0.35269356,0.21652407
-5.96398199,0.99238720,0.32144234,0.00000000,0.00408172,0.18555943,0.45675508,0.00000000,0.31988371,0.19783254
-5.95797899,0.89986934,0.28564233,0.00000000,0.00359644,0.17060780,0.41155978,0.00000000,0.29020831,0.18014298
-5.95197599,0.81339299,0.25268455,0.00000000,0.00314684,0.15694342,0.36903627,0.00000000,0.26390391,0.16364226
-5.94597299,0.73367756,0.22263761,0.00000000,0.00273429,0.14476491,0.32943321,0.00000000,0.24117707,0.14849364
-5.93996998,0.66132202,0.19553558,0.00000000,0.00235930,0.13424815,0.29294718,0.00000000,0.22220631,0.13483577
-5.93396698,0.59680584,0.17138255,0.00000000,0.00202156,0.12554546,0.25972406,0.00000000,0.20714421,0.12278248
-5.92796398,0.54049309,0.15015766,0.00000000,0.00172011,0.11878562,0.22986173,0.00000000,0.19611970,0.11242318
-5.92196098,0.49263901,0.13182043,0.00000000,0.00145341,0.11407400,0.20341392,0.00000000,0.18924007,0.10382383
-5.91595798,0.45339845,0.11631594,0.00000000,0.00121950,0.11149323,0.18039493,0.00000000,0.18659258,0.09702828
