energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,3.33689903,0.10292802,0.05676933,0.79651030,0.52932068,0.29529386,0.05951672,1.64255810
-5.99399700,3.33065909,0.10923317,0.05632381,0.80097283,0.53228885,0.29021374,0.05788164,1.63325388
-5.98799400,3.33335854,0.11548228,0.05610803,0.80746823,0.53630344,0.28600969,0.05642503,1.62862397
-5.98199100,3.34360899,0.12158659,0.05609587,0.81558035,0.54109753,0.28255749,0.05514565,1.62805947
-5.97598799,3.35976714,0.12745517,0.05625617,0.82483564,0.54636202,0.27970626,0.05403633,1.63082548
-5.96998499,3.38001813,0.13299764,0.05655454,0.83472494,0.55175899,0.27728616,0.05308513,1.63610045
-5.96398199,3.40246472,0.13812709,0.05695537,0.84472655,0.55693624,0.27511662,0.05227676,1.64301823
-5.95797899,3.42521824,0.14276291,0.05742385,0.85432940,0.56154240,0.27301459,0.05159411,1.65071070
-5.95197599,3.44648693,0.14683354,0.05792790,0.86305541,0.56524190,0.27080251,0.05101978,1.65834911
-5.94597299,3.46465750,0.15027892,0.05843997,0.87047985,0.56772907,0.26831569,0.05053752,1.66518201
-5.93996998,3.47836598,0.15305256,0.05893854,0.87624893,0.56874078,0.26540882,0.05013360,1.67056805
-5.93396698,3.48655473,0.15512309,0.05940934,0.88009361,0.56806707,0.26196125,0.04979788,1.67400213
-5.92796398,3.48851270,0.15647521,0.05984611,0.88183922,0.56555913,0.25788106,0.04952469,1.67513372
-5.92196098,3.48389739,0.15711003,0.06025104,0.88141028,0.56113454,0.25310760,0.04931333,1.67377652
-5.91595798,3.47273761,0.15704474,0.06063460,0.87883053,0.55477933,0.24761259,0.04916819,1.66990920
-5.90995498,3.45541724,0.15631164,0.06101503,0.87421807,0.54654707,0.24139970,0.04909866,1.66366746
-5.90395198,3.43264119,0.15495661,0.06141731,0.86777610,0.53655491,0.23450285,0.04911849,1.65532784
-5.89794897,3.40538568,0.15303710,0.06187173,0.85977969,0.52497700,0.22698318,0.04924499,1.64528454
-5.89194597,3.37483582,0.15061975,0.06241220,0.85055944,0.51203567,0.21892505,0.04949788,1.63402057
-5.88594297,3.34231399,0.14777774,0.06307413,0.84048281,0.49799084,0.21043127,0.04989793,1.62207500
-5.87993997,3.30920318,0.14458816,0.06389234,0.82993430,0.48312841,0.20161783,0.05046548,1.61000819
-5.87393697,3.27686940,0.14112939,0.06489872,0.81929537,0.46774806,0.19260836,0.05121887,1.59836700
-5.86793397,3.24658748,0.13747868,0.06612007,0.80892536,0.45215134,0.18352868,0.05217290,1.58765191
-5.86193097,3.21947408,0.13371012,0.06757600,0.79914412,0.43663042,0.17450166,0.05333743,1.57828789
-5.85592796,3.19643150,0.12989303,0.06927719,0.79021748,0.42145817,0.16564255,0.05471610,1.57060051
-5.84992496,3.17810490,0.12609083,0.07122389,0.78234607,0.40688002,0.15705512,0.05630538,1.56479852
-5.84392196,3.16485507,0.12236044,0.07340497,0.77565802,0.39310776,0.14882856,0.05809388,1.56096376
-5.83791896,3.15674756,0.11875218,0.07579740,0.77020580,0.38031557,0.14103535,0.06006210,1.55904864
-5.83191596,3.15355849,0.11531021,0.07836630,0.76596722,0.36863833,0.13373010,0.06218248,1.55888125
-5.82591296,3.15479596,0.11207321,0.08106551,0.76285036,0.35817199,0.12694924,0.06441988,1.56017753
-5.81990995,3.15973551,0.10907547,0.08383877,0.76070200,0.34897582,0.12071167,0.06673254,1.56255953
-5.81390695,3.16746703,0.10634807,0.08662130,0.75931900,0.34107637,0.11502007,0.06907319,1.56557860
-5.80790395,3.17695013,0.10392009,0.08934190,0.75846174,0.33447241,0.10986285,0.07139065,1.56874196
-5.80190095,3.18707443,0.10181968,0.09192536,0.75786901,0.32914075,0.10521653,0.07363154,1.57154098
-5.79589795,3.19672125,0.10007495,0.09429508,0.75727315,0.32504221,0.10104835,0.07574216,1.57347948
-5.78989495,3.20482288,0.09871446,0.09637589,0.75641488,0.32212737,0.09731906,0.07767044,1.57410035
-5.78389195,3.21041617,0.09776733,0.09809677,0.75505673,0.32034181,0.09398557,0.07936780,1.57300901
-5.77788894,3.21268741,0.09726287,0.09939354,0.75299449,0.31963019,0.09100342,0.08079092,1.56989228
-5.77188594,3.21100620,0.09722974,0.10021118,0.75006609,0.31993926,0.08832892,0.08190327,1.56453176
-5.76588294,3.20494653,0.09769463,0.10050590,0.74615745,0.32121937,0.08592094,0.08267635,1.55681109
-5.75987994,3.19429439,0.09868063,0.10024671,0.74120514,0.32342455,0.08374219,0.08309053,1.54671666
-5.75387694,3.17904178,0.10020522,0.09941647,0.73519577,0.32651124,0.08176003,0.08313555,1.53433212
-5.74787394,3.15936810,0.10227816,0.09801239,0.72816239,0.33043577,0.07994685,0.08281062,1.51982703
-5.74187094,3.13561039,0.10489930,0.09604597,0.72017819,0.33515086,0.07828003,0.08212403,1.50344062
-5.73586793,3.10822484,0.10805656,0.09354241,0.71134801,0.34060156,0.07674152,0.08109249,1.48546182
-5.72986493,3.07774233,0.11172416,0.09053946,0.70179835,0.34672092,0.07531714,0.07974010,1.46620680
-5.72386193,3.04472098,0.11586134,0.08708585,0.69166662,0.35342577,0.07399576,0.07809703,1.44599573
-5.71785893,3.00969925,0.12041156,0.08323945,0.68109022,0.36061325,0.07276835,0.07619809,1.42513011
-5.71185593,2.97315246,0.12530245,0.07906502,0.67019642,0.36815811,0.07162710,0.07408112,1.40387227
-5.70585293,2.93545585,0.13044649,0.07463198,0.65909355,0.37591146,0.07056456,0.07178548,1.38242831
-5.69984992,2.89685655,0.13574245,0.07001201,0.64786406,0.38370091,0.06957314,0.06935054,1.36093555
-5.69384692,2.85745627,0.14107761,0.06527685,0.63656004,0.39133249,0.06864464,0.06681434,1.33945536
-5.68784392,2.81720578,0.14633074,0.06049616,0.62520126,0.39859418,0.06777032,0.06421252,1.31797177
-5.68184092,2.77591163,0.15137566,0.05573569,0.61377602,0.40526106,0.06694105,0.06157746,1.29639585
-5.67583792,2.73325445,0.15608527,0.05105573,0.60224451,0.41110193,0.06614791,0.05893776,1.27457572
-5.66983492,2.68881777,0.16033594,0.04650995,0.59054465,0.41588697,0.06538304,0.05631806,1.25231142
-5.66383192,2.64212523,0.16401200,0.04214453,0.57859982,0.41939618,0.06464073,0.05373905,1.22937374
-5.65782891,2.59268406,0.16701014,0.03799779,0.56632796,0.42142810,0.06391862,0.05121790,1.20552582
-5.65182591,2.54003175,0.16924347,0.03410002,0.55365155,0.42180834,0.06321913,0.04876882,1.18054608
-5.64582291,2.48378309,0.17064512,0.03047377,0.54050765,0.42039750,0.06255079,0.04640382,1.15425128
-5.63981991,2.42367462,0.17117116,0.02713430,0.52685740,0.41709797,0.06192963,0.04413369,1.12651808
-5.63381691,2.35960370,0.17080258,0.02409033,0.51269437,0.41185923,0.06138037,0.04196888,1.09730183
-5.62781391,2.29165985,0.16954643,0.02134491,0.49805115,0.40468145,0.06093747,0.03992048,1.06665170
-5.62181091,2.22014639,0.16743583,0.01889638,0.48300388,0.39561700,0.06064587,0.03800115,1.03472086
-5.61580790,2.14559127,0.16452903,0.01673940,0.46767414,0.38476996,0.06056147,0.03622585,1.00177155
-5.60980490,2.06874625,0.16090737,0.01486593,0.45222843,0.37229349,0.06075131,0.03461244,0.96817435
-5.60380190,1.99057456,0.15667238,0.01326619,0.43687484,0.35838529,0.06129332,0.03318214,0.93440195
-5.59779890,1.91222765,0.15194203,0.01192950,0.42185734,0.34328140,0.06227581,0.03195965,0.90101759
