energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,0.62733082,0.11877827,0.00022649,0.23629020,0.14973653,0.01347192,0.31429741
-5.99399700,0.62824244,0.11039770,0.00022727,0.23604682,0.15284365,0.01378719,0.32204341
-5.98799400,0.62886236,0.10196495,0.00022868,0.23545817,0.15588673,0.01408908,0.32955848
-5.98199100,0.62942611,0.09359122,0.00023087,0.23458968,0.15890578,0.01437858,0.33689409
-5.97598799,0.63017605,0.08537924,0.00023402,0.23351046,0.16194252,0.01465671,0.34411228
-5.96998499,0.63135109,0.07742132,0.00023833,0.23229004,0.16503798,0.01492442,0.35128068
-5.96398199,0.63317659,0.06979791,0.00024405,0.23099511,0.16823011,0.01518255,0.35846732
-5.95797899,0.63585501,0.06257675,0.00025141,0.22968679,0.17155156,0.01543181,0.36573543
-5.95197599,0.63955755,0.05581256,0.00026064,0.22841810,0.17502752,0.01567274,0.37313854
-5.94597299,0.64441707,0.04954713,0.00027198,0.22723206,0.17867399,0.01590575,0.38071615
-5.93996998,0.65052247,0.04380996,0.00028562,0.22616033,0.18249635,0.01613114,0.38848988
-5.93396698,0.65791468,0.03861911,0.00030173,0.22522236,0.18648833,0.01634911,0.39646070
-5.92796398,0.66658436,0.03398235,0.00032043,0.22442519,0.19063147,0.01655987,0.40460686
-5.92196098,0.67647120,0.02989852,0.00034179,0.22376376,0.19489499,0.01676366,0.41288292
-5.91595798,0.68746489,0.02635888,0.00036580,0.22322169,0.19923619,0.01696082,0.42121981
-5.90995498,0.69940753,0.02334853,0.00039241,0.22277252,0.20360117,0.01715185,0.42952574
-5.90395198,0.71209740,0.02084775,0.00042146,0.22238120,0.20792610,0.01733743,0.43768809
-5.89794897,0.72529389,0.01883318,0.00045273,0.22200585,0.21213866,0.01751845,0.44557612
-5.89194597,0.73872341,0.01727887,0.00048591,0.22159963,0.21615993,0.01769596,0.45304427
-5.88594297,0.75208600,0.01615715,0.00052063,0.22111267,0.21990637,0.01787117,0.45993613
-5.87993997,0.76506263,0.01543927,0.00055644,0.22049387,0.22329206,0.01804539,0.46608870
-5.87393697,0.77732275,0.01509583,0.00059281,0.21969267,0.22623093,0.01821986,0.47133696
-5.86793397,0.78853212,0.01509704,0.00062917,0.21866057,0.22863909,0.01839573,0.47551858
-5.86193097,0.79836059,0.01541283,0.00066490,0.21735247,0.23043709,0.01857383,0.47847852
