energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.48518265,1.05128714,0.24809214,0.00460511,0.17649735,0.00293726,0.62157661,0.81381680,0.07432997
-5.99399700,1.49201252,1.04615027,0.25121808,0.00487849,0.17745757,0.00302675,0.61967155,0.80807647,0.07624707
-5.98799400,1.50372653,1.04309617,0.25591087,0.00514517,0.17888604,0.00313556,0.61936784,0.80339220,0.07852917
-5.98199100,1.52064012,1.04223107,0.26221438,0.00540129,0.18079926,0.00326402,0.62088787,0.80009482,0.08117787
-5.97598799,1.54296947,1.04360114,0.27014754,0.00564311,0.18320524,0.00341254,0.62441558,0.79847601,0.08418862
-5.96998499,1.57081901,1.04718906,0.27970157,0.00586716,0.18610316,0.00358162,0.63008906,0.79877838,0.08755015
-5.96398199,1.60417228,1.05291288,0.29083797,0.00607034,0.18948330,0.00377189,0.63799484,0.80118763,0.09124413
-5.95797899,1.64288687,1.06062715,0.30348726,0.00625002,0.19332719,0.00398413,0.64816397,0.80582697,0.09524490
-5.95197599,1.68669362,1.07012644,0.31754866,0.00640420,0.19760815,0.00421936,0.66057016,0.81275391,0.09951963
-5.94597299,1.73520048,1.08115118,0.33289089,0.00653153,0.20229197,0.00447886,0.67513007,0.82195949,0.10402855
-5.93996998,1.78790067,1.09339555,0.34935404,0.00663139,0.20733790,0.00476427,0.69170564,0.83336990,0.10872549
-5.93396698,1.84418519,1.10651719,0.36675257,0.00670396,0.21269989,0.00507761,0.71010835,0.84685022,0.11355871
-5.92796398,1.90335900,1.12014831,0.38487943,0.00675017,0.21832794,0.00542140,0.73010532,0.86221011,0.11847185
-5.92196098,1.96466045,1.13390764,0.40351109,0.00677171,0.22416960,0.00579865,0.75142678,0.87921094,0.12340512
-5.91595798,2.02728311,1.14741298,0.42241343,0.00677097,0.23017159,0.00621295,0.77377472,0.89757434,0.12829661
-5.90995498,2.09039926,1.16029364,0.44134823,0.00675095,0.23628145,0.00666846,0.79683235,0.91699143,0.13308375
-5.90395198,2.15318423,1.17220253,0.46008000,0.00671515,0.24244920,0.00716992,0.82027389,0.93713270,0.13770478
-5.89794897,2.21484056,1.18282728,0.47838296,0.00666746,0.24862897,0.00772259,0.84377446,0.95765803,0.14210022
-5.89194597,2.27462141,1.19190031,0.49604780,0.00661203,0.25478059,0.00833218,0.86701962,0.97822662,0.14621437
-5.88594297,2.33185215,1.19920730,0.51288806,0.00655309,0.26087106,0.00900475,0.88971424,0.99850666,0.14999664
-5.87993997,2.38594964,1.20459415,0.52874571,0.00649486,0.26687590,0.00974655,0.91159051,1.01818436,0.15340282
-5.87393697,2.43643842,1.20797200,0.54349583,0.00644140,0.27278034,0.01056381,0.93241473,1.03697241,0.15639612
-5.86793397,2.48296341,1.20932048,0.55705013,0.00639646,0.27858033,0.01146247,0.95199279,1.05461741,0.15894805
-5.86193097,2.52529868,1.20868907,0.56935909,0.00636341,0.28428323,0.01244795,0.97017417,1.07090646,0.16103907
-5.85592796,2.56335193,1.20619653,0.58041277,0.00634515,0.28990830,0.01352480,0.98685436,1.08567255,0.16265900
-5.84992496,2.59716471,1.20202858,0.59024007,0.00634402,0.29548683,0.01469640,1.00197567,1.09879871,0.16380714
-5.84392196,2.62690809,1.19643375,0.59890659,0.00636177,0.30106188,0.01596459,1.01552649,1.11022086,0.16449218
-5.83791896,2.65287408,1.18971764,0.60651108,0.00639957,0.30668759,0.01732931,1.02753895,1.11992910,0.16473180
-5.83191596,2.67546294,1.18223548,0.61318069,0.00645793,0.31242807,0.01878837,1.03808513,1.12796749,0.16455205
-5.82591296,2.69516659,1.17438329,0.61906513,0.00653678,0.31835580,0.02033708,1.04727194,1.13443208,0.16398650
-5.81990995,2.71254879,1.16658764,0.62432996,0.00663547,0.32454952,0.02196807,1.05523480,1.13946724,0.16307514
-5.81390695,2.72822241,1.15929420,0.62914943,0.00675277,0.33109170,0.02367115,1.06213039,1.14326026,0.16186315
-5.80790395,2.74282474,1.15295519,0.63369893,0.00688699,0.33806553,0.02543325,1.06812858,1.14603418,0.16039945
-5.80190095,2.75699129,1.14801610,0.63814751,0.00703593,0.34555159,0.02723845,1.07340396,1.14803907,0.15873517
-5.79589795,2.77132929,1.14490179,0.64265072,0.00719702,0.35362421,0.02906814,1.07812708,1.14954196,0.15692209
-5.78989495,2.78639155,1.14400236,0.64734405,0.00736731,0.36234771,0.03090131,1.08245587,1.15081563,0.15501096
-5.78389195,2.80265177,1.14565929,0.65233722,0.00754357,0.37177258,0.03271493,1.08652754,1.15212673,0.15304995
-5.77788894,2.82048233,1.15015206,0.65770957,0.00772235,0.38193189,0.03448444,1.09045119,1.15372359,0.15108315
-5.77188594,2.84013529,1.15768595,0.66350676,0.00790004,0.39283793,0.03618435,1.09430156,1.15582439,0.14914917
-5.76588294,2.86172770,1.16838139,0.66973880,0.00807298,0.40447944,0.03778892,1.09811421,1.15860597,0.14728000
-5.75987994,2.88523180,1.18226540,0.67637954,0.00823750,0.41681940,0.03927291,1.10188232,1.16219406,0.14550002
-5.75387694,2.91047065,1.19926565,0.68336770,0.00839008,0.42979370,0.04061229,1.10555535,1.16665537,0.14382540
-5.74787394,2.93711964,1.21920743,0.69060915,0.00852742,0.44331078,0.04178503,1.10903970,1.17199188,0.14226371
-5.74187094,2.96471392,1.24181397,0.69798061,0.00864656,0.45725216,0.04277183,1.11220135,1.17813786,0.14081386
-5.73586793,2.99266157,1.26671028,0.70533430,0.00874501,0.47147419,0.04355676,1.11487051,1.18495971,0.13946647
-5.72986493,3.02026215,1.29343055,0.71250356,0.00882086,0.48581073,0.04412784,1.11684803,1.19225877,0.13820440
-5.72386193,3.04672983,1.32142906,0.71930894,0.00887290,0.50007689,0.04447747,1.11791339,1.19977703,0.13700373
-5.71785893,3.07122029,1.35009428,0.72556471,0.00890072,0.51407363,0.04460277,1.11783388,1.20720557,0.13583490
-5.71185593,3.09286019,1.37876574,0.73108535,0.00890479,0.52759305,0.04450570,1.11637464,1.21419517,0.13466409
-5.70585293,3.11077798,1.40675315,0.73569167,0.00888651,0.54042423,0.04419303,1.11330897,1.22036893,0.13345475
-5.69984992,3.12413462,1.43335695,0.73921660,0.00884825,0.55235930,0.04367621,1.10842861,1.22533600,0.13216921
-5.69384692,3.13215297,1.45788946,0.74151000,0.00879334,0.56319952,0.04297100,1.10155320,1.22870593,0.13077028
-5.68784392,3.13414449,1.47969586,0.74244271,0.00872601,0.57276109,0.04209699,1.09253882,1.23010298,0.12922279
-5.68184092,3.12953204,1.49817401,0.74190944,0.00865129,0.58088045,0.04107699,1.08128483,1.22917964,0.12749506
-5.67583792,3.11786796,1.51279225,0.73983064,0.00857488,0.58741877,0.03993634,1.06773895,1.22562883,0.12556007
-5.66983492,3.09884655,1.52310443,0.73615315,0.00850297,0.59226555,0.03870206,1.05190013,1.21919422,0.12339653
-5.66383192,3.07231069,1.52876159,0.73084991,0.00844203,0.59534094,0.03740210,1.03381916,1.20967831,0.12098953
-5.65782891,3.03825237,1.52951965,0.72391872,0.00839854,0.59659704,0.03606443,1.01359710,1.19694796,0.11833107
-5.65182591,2.99680740,1.52524310,0.71538014,0.00837876,0.59601779,0.03471623,0.99138137,1.18093727,0.11542011
-5.64582291,2.94824476,1.51590435,0.70527495,0.00838842,0.59361774,0.03338308,0.96736001,1.16164780,0.11226250
-5.63981991,2.89295135,1.50157912,0.69366109,0.00843246,0.58943965,0.03208831,0.94175423,1.13914639,0.10887054
-5.63381691,2.83141316,1.48243810,0.68061053,0.00851479,0.58355126,0.03085230,0.91480975,1.11356062,0.10526232
-5.62781391,2.76419379,1.45873556,0.66620611,0.00863801,0.57604119,0.02969200,0.88678732,1.08507258,0.10146097
-5.62181091,2.69191185,1.43079542,0.65053856,0.00880327,0.56701446,0.02862059,0.85795303,1.05391109,0.09749365
-5.61580790,2.61521806,1.39899582,0.63370398,0.00901009,0.55658776,0.02764717,0.82856874,1.02034303,0.09339052
-5.60980490,2.53477346,1.36375285,0.61580159,0.00925630,0.54488478,0.02677671,0.79888330,0.98466418,0.08918369
-5.60380190,2.45122973,1.32550435,0.59693212,0.00953801,0.53203183,0.02601008,0.76912479,0.94719002,0.08490620
-5.59779890,2.36521232,1.28469462,0.57719672,0.00984968,0.51815401,0.02534421,0.73949432,0.90824688,0.08059101
-5.59179590,2.27730717,1.24176076,0.55669632,0.01018420,0.50337206,0.02477243,0.71016150,0.86816383,0.07627013
-5.58579290,2.18805141,1.19712106,0.53553151,0.01053315,0.48780003,0.02428486,0.68126184,0.82726555,0.07197393
-5.57978989,2.09792807,1.15116605,0.51380274,0.01088699,0.47154389,0.02386896,0.65289611,0.78586637,0.06773049
-5.57378689,2.00736483,1.10425225,0.49161089,0.01123539,0.45470092,0.02351011,0.62513158,0.74426553,0.06356523
-5.56778389,1.91673643,1.05669880,0.46905790,0.01156760,0.43736003,0.02319224,0.59800502,0.70274379,0.05950063
-5.56178089,1.82637022,1.00878672,0.44624752,0.01187276,0.41960271,0.02289857,0.57152721,0.66156129,0.05555613
-5.55577789,1.73655420,0.96076063,0.42328602,0.01214032,0.40150454,0.02261222,0.54568865,0.62095647,0.05174817
-5.54977489,1.64754685,0.91283236,0.40028274,0.01236044,0.38313715,0.02231693,0.52046607,0.58114605,0.04809037
-5.54377189,1.55958787,0.86518614,0.37735042,0.01252429,0.36457021,0.02199764,0.49582948,0.54232585,0.04459376
-5.53776888,1.47290914,0.81798466,0.35460535,0.01262438,0.34587355,0.02164106,0.47174914,0.50467216,0.04126716
-5.53176588,1.38774500,0.77137558,0.33216712,0.01265484,0.32711895,0.02123611,0.44820233,0.46834361,0.03811752
-5.52576288,1.30434138,0.72549777,0.31015820,0.01261163,0.30838167,0.02077431,0.42517934,0.43348322,0.03515039
-5.51975988,1.22296319,0.68048711,0.28870319,0.01249263,0.28974142,0.02024997,0.40268862,0.40022059,0.03237028
-5.51375688,1.14389945,0.63648120,0.26792781,0.01229771,0.27128288,0.01966039,0.38076062,0.36867396,0.02978108
-5.50775388,1.06746612,0.59362280,0.24795773,0.01202873,0.25309551,0.01900581,0.35945034,0.33895208,0.02738638
-5.50175088,0.99400635,0.55206189,0.22891722,0.01168944,0.23527296,0.01828931,0.33883845,0.31115577,0.02518980
-5.49574787,0.92388830,0.51195624,0.21092765,0.01128526,0.21791178,0.01751664,0.31903094,0.28537908,0.02319515
-5.48974487,0.85750061,0.47347052,0.19410598,0.01082315,0.20110982,0.01669586,0.30015734,0.26171003,0.02140666
-5.48374187,0.79524571,0.43677407,0.17856315,0.01031127,0.18496426,0.01583699,0.28236770,0.24023083,0.01982895
-5.47773887,0.73753141,0.40203766,0.16440244,0.00975873,0.16956939,0.01495160,0.26582831,0.22101763,0.01846709
-5.47173587,0.68476096,0.36942931,0.15171790,0.00917522,0.15501435,0.01405231,0.25071656,0.20413974,0.01732642
-5.46573287,0.63732208,0.33910949,0.14059271,0.00857073,0.14138087,0.01315229,0.23721489,0.18965835,0.01641242
