energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-6.00000000,0.20747293,0.01464360,0.17699069,0.00008793,0.00040500,0.01558273,0.00580124,0.00006734,0.03399354
-5.99399700,0.18558448,0.01311104,0.15861827,0.00010370,0.00035289,0.01394362,0.00509121,0.00007894,0.02998301
-5.98799400,0.16587595,0.01173906,0.14210736,0.00012225,0.00030603,0.01246649,0.00445634,0.00009302,0.02629576
-5.98199100,0.14838984,0.01052884,0.12750078,0.00014370,0.00026404,0.01115431,0.00389380,0.00010967,0.02293495
-5.97598799,0.13313821,0.00947967,0.11481475,0.00016814,0.00022659,0.01000834,0.00340045,0.00012901,0.01989867
-5.96998499,0.12010427,0.00858902,0.10404016,0.00019567,0.00019336,0.00902811,0.00297290,0.00015116,0.01718033
-5.96398199,0.10924459,0.00785260,0.09514448,0.00022632,0.00016406,0.00821135,0.00260755,0.00017622,0.01476931
-5.95797899,0.10049186,0.00726457,0.08807397,0.00026010,0.00013837,0.00755421,0.00230064,0.00020428,0.01265156
-5.95197599,0.09375787,0.00681765,0.08275625,0.00029696,0.00011600,0.00705128,0.00204836,0.00023538,0.01081032
-5.94597299,0.08893671,0.00650340,0.07910287,0.00033677,0.00009667,0.00669589,0.00184687,0.00026951,0.00922692
-5.93996998,0.08590789,0.00631239,0.07701193,0.00037937,0.00008008,0.00648021,0.00169239,0.00030662,0.00788141
-5.93396698,0.08453948,0.00623445,0.07637069,0.00042449,0.00006596,0.00639549,0.00158127,0.00034660,0.00675337
-5.92796398,0.08469107,0.00625890,0.07705800,0.00047182,0.00005405,0.00643224,0.00151009,0.00038925,0.00582244
-5.92196098,0.08621661,0.00637481,0.07894665,0.00052097,0.00004410,0.00658039,0.00147567,0.00043430,0.00506898
-5.91595798,0.08896714,0.00657119,0.08190571,0.00057149,0.00003589,0.00682949,0.00147517,0.00048143,0.00447457
-5.90995498,0.09279335,0.00683728,0.08580265,0.00062290,0.00002920,0.00716885,0.00150615,0.00053020,0.00402243
-5.90395198,0.09754819,0.00716281,0.09050560,0.00067467,0.00002385,0.00758768,0.00156663,0.00058014,0.00369779
-5.89794897,0.10308939,0.00753816,0.09588554,0.00072628,0.00001967,0.00807529,0.00165515,0.00063067,0.00348823
-5.89194597,0.10928200,0.00795474,0.10181853,0.00077721,0.00001654,0.00862119,0.00177084,0.00068120,0.00338390
-5.88594297,0.11600097,0.00840511,0.10818806,0.00082698,0.00001434,0.00921529,0.00191346,0.00073104,0.00337770
-5.87993997,0.12313382,0.00888334,0.11488743,0.00087515,0.00001299,0.00984809,0.00208348,0.00077951,0.00346541
-5.87393697,0.13058320,0.00938518,0.12182217,0.00092142,0.00001242,0.01051084,0.00228209,0.00082588,0.00364582
-5.86793397,0.13826946,0.00990829,0.12891240,0.00096553,0.00001261,0.01119572,0.00251131,0.00086945,0.00392068
-5.86193097,0.14613305,0.01045243,0.13609516,0.00100742,0.00001355,0.01189612,0.00277395,0.00090953,0.00429473
-5.85592796,0.15413666,0.01101960,0.14332644,0.00104715,0.00001526,0.01260673,0.00307365,0.00094545,0.00477565
-5.84992496,0.16226694,0.01161415,0.15058300,0.00108493,0.00001779,0.01332384,0.00341490,0.00097662,0.00537385
-5.84392196,0.17053574,0.01224282,0.15786362,0.00112119,0.00002121,0.01404541,0.00380294,0.00100252,0.00610234
-5.83791896,0.17898066,0.01291465,0.16518991,0.00115649,0.00002564,0.01477126,0.00424378,0.00102272,0.00697643
-5.83191596,0.18766483,0.01364093,0.17260628,0.00119157,0.00003121,0.01550317,0.00474403,0.00103691,0.00801340
-5.82591296,0.19667576,0.01443498,0.18017934,0.00122733,0.00003808,0.01624490,0.00531078,0.00104487,0.00923211
-5.81990995,0.20612336,0.01531182,0.18799622,0.00126478,0.00004649,0.01700215,0.00595145,0.00104652,0.01065248
-5.81390695,0.21613688,0.01628790,0.19616226,0.00130505,0.00005669,0.01778256,0.00667357,0.00104190,0.01229497
-5.80790395,0.22686097,0.01738060,0.20479766,0.00134931,0.00006899,0.01859546,0.00748453,0.00103119,0.01418000
-5.80190095,0.23845091,0.01860778,0.21403348,0.00139873,0.00008378,0.01945176,0.00839131,0.00101466,0.01632728
-5.79589795,0.25106711,0.01998723,0.22400688,0.00145448,0.00010151,0.02036360,0.00940021,0.00099272,0.01875520
-5.78989495,0.26486911,0.02153617,0.23485594,0.00151763,0.00012273,0.02134410,0.01051658,0.00096585,0.02148014
-5.78389195,0.28000928,0.02327072,0.24671407,0.00158912,0.00014807,0.02240699,0.01174454,0.00093464,0.02451592
-5.77788894,0.29662655,0.02520535,0.25970441,0.00166970,0.00017832,0.02356624,0.01308672,0.00089972,0.02787325
-5.77188594,0.31484036,0.02735254,0.27393439,0.00175992,0.00021439,0.02483574,0.01454412,0.00086178,0.03155926
-5.76588294,0.33474521,0.02972234,0.28949060,0.00186004,0.00025734,0.02622890,0.01611592,0.00082153,0.03557725
-5.75987994,0.35640601,0.03232220,0.30643443,0.00197006,0.00030846,0.02775843,0.01779942,0.00077970,0.03992648
-5.75387694,0.37985448,0.03515677,0.32479849,0.00208965,0.00036919,0.02943600,0.01959013,0.00073699,0.04460218
-5.74787394,0.40508682,0.03822795,0.34458401,0.00221818,0.00044123,0.03127214,0.02148178,0.00069408,0.04959572
-5.74187094,0.43206261,0.04153499,0.36575947,0.00235467,0.00052652,0.03327605,0.02346663,0.00065159,0.05489496
-5.73586793,0.46070518,0.04507469,0.38826030,0.00249789,0.00062724,0.03545560,0.02553568,0.00061011,0.06048472
-5.72986493,0.49090324,0.04884172,0.41198977,0.00264630,0.00074583,0.03781732,0.02767907,0.00057014,0.06634736
-5.72386193,0.52251364,0.05282901,0.43682097,0.00279813,0.00088498,0.04036645,0.02988649,0.00053210,0.07246347
-5.71785893,0.55536518,0.05702812,0.46259967,0.00295141,0.00104763,0.04310708,0.03214761,0.00049637,0.07881260
-5.71185593,0.58926307,0.06142966,0.48914797,0.00310405,0.00123693,0.04604226,0.03445255,0.00046323,0.08537390
-5.70585293,0.62399381,0.06602358,0.51626843,0.00325383,0.00145618,0.04917410,0.03679227,0.00043289,0.09212674
-5.69984992,0.65933016,0.07079944,0.54374842,0.00339853,0.00170884,0.05250394,0.03915895,0.00040550,0.09905117
-5.69384692,0.69503597,0.07574653,0.57136461,0.00353596,0.00199837,0.05603237,0.04154625,0.00038116,0.10612821
-5.68784392,0.73087047,0.08085384,0.59888723,0.00366399,0.00232825,0.05975933,0.04394943,0.00035993,0.11333988
-5.68184092,0.76659200,0.08610985,0.62608396,0.00378064,0.00270182,0.06368408,0.04636541,0.00034185,0.12066906
-5.67583792,0.80196099,0.09150226,0.65272341,0.00388409,0.00312220,0.06780524,0.04879260,0.00032694,0.12809904
-5.66983492,0.83674211,0.09701749,0.67857813,0.00397275,0.00359222,0.07212069,0.05123065,0.00031524,0.13561295
-5.66383192,0.87070581,0.10264012,0.70342710,0.00404528,0.00411431,0.07662767,0.05368009,0.00030681,0.14319297
-5.65782891,0.90362935,0.10835232,0.72705785,0.00410058,0.00469042,0.08132270,0.05614176,0.00030178,0.15081942
-5.65182591,0.93529753,0.11413324,0.74926832,0.00413783,0.00532195,0.08620183,0.05861633,0.00030032,0.15846994
-5.64582291,0.96550349,0.11995854,0.76986872,0.00415651,0.00600975,0.09126081,0.06110366,0.00030271,0.16611866
-5.63981991,0.99404982,0.12580007,0.78868335,0.00415635,0.00675408,0.09649553,0.06360230,0.00030931,0.17373562
-5.63381691,1.02075037,0.13162574,0.80555286,0.00413737,0.00755466,0.10190262,0.06610895,0.00032064,0.18128645
-5.62781391,1.04543293,0.13739974,0.82033687,0.00409982,0.00841075,0.10748019,0.06861820,0.00033733,0.18873243
-5.62181091,1.06794296,0.14308301,0.83291707,0.00404422,0.00932128,0.11322883,0.07112232,0.00036018,0.19603103
-5.61580790,1.08814850,0.14863421,0.84320092,0.00397127,0.01028499,0.11915270,0.07361129,0.00039013,0.20313682
-5.60980490,1.10594602,0.15401081,0.85112578,0.00388189,0.01130063,0.12526069,0.07607312,0.00042831,0.21000296
-5.60380190,1.12126721,0.15917072,0.85666329,0.00377718,0.01236723,0.13156772,0.07849431,0.00047600,0.21658310
-5.59779890,1.13408617,0.16407403,0.85982385,0.00365839,0.01348427,0.13809580,0.08086057,0.00053462,0.22283357
-5.59179590,1.14442655,0.16868492,0.86066081,0.00352688,0.01465198,0.14487506,0.08315775,0.00060577,0.22871589
-5.58579290,1.15236815,0.17297368,0.85927398,0.00338416,0.01587154,0.15194429,0.08537282,0.00069113,0.23419934
-5.57978989,1.15805229,0.17691861,0.85581213,0.00323179,0.01714525,0.15935121,0.08749503,0.00079248,0.23926343
-5.57378689,1.16168528,0.18050765,0.85047402,0.00307142,0.01847666,0.16715200,0.08951689,0.00091163,0.24390014
-5.56778389,1.16353936,0.18373974,0.84350765,0.00290474,0.01987065,0.17541032,0.09143527,0.00105040,0.24811566
-5.56178089,1.16395077,0.18662561,0.83520736,0.00273345,0.02133330,0.18419542,0.09325209,0.00121050,0.25193149
-5.55577789,1.16331430,0.18918804,0.82590880,0.00255925,0.02287183,0.19357965,0.09497496,0.00139353,0.25538483
