energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.51641624,0.01535804,0.07090845,0.58189448,0.46734918,0.00681831,0.82896625,0.42854662,0.12465811
-5.99399700,1.64775745,0.01700317,0.07618669,0.63446791,0.50523260,0.00719029,0.90382848,0.46989828,0.13672236
-5.98799400,1.78602087,0.01872530,0.08208673,0.69028887,0.54506564,0.00759667,0.98209111,0.51273186,0.14941620
-5.98199100,1.92947748,0.02051107,0.08853457,0.74878143,0.58627626,0.00802837,1.06282401,0.55659704,0.16259504
-5.97598799,2.07627502,0.02234516,0.09545151,0.80932458,0.62825892,0.00847647,1.14502626,0.60100622,0.17609818
-5.96998499,2.22447703,0.02421059,0.10275577,0.87126682,0.67038779,0.00893240,1.22764727,0.64544554,0.18975160
-5.96398199,2.37210579,0.02608895,0.11036420,0.93394230,0.71203093,0.00938811,1.30961039,0.68938729,0.20337130
-5.95797899,2.51718789,0.02796078,0.11819410,0.99668775,0.75256518,0.00983623,1.38983799,0.73230316,0.21676716
-5.95197599,2.65780086,0.02980592,0.12616502,1.05885986,0.79139116,0.01027017,1.46727740,0.77367793,0.22974719
-5.94597299,2.79211905,0.03160395,0.13420049,1.11985214,0.82794790,0.01068424,1.54092653,0.81302288,0.24212201
-5.93996998,2.91845705,0.03333456,0.14222968,1.17911064,0.86172640,0.01107370,1.60985810,0.84988850,0.25370941
-5.93396698,3.03530860,0.03497803,0.15018887,1.23614779,0.89228173,0.01143478,1.67324153,0.88387565,0.26433891
-5.92796398,3.14137949,0.03651559,0.15802272,1.29055359,0.91924299,0.01176468,1.73036143,0.91464497,0.27385590
-5.92196098,3.23561301,0.03792978,0.16568520,1.34200364,0.94232075,0.01206151,1.78063200,0.94192385,0.28212551
-5.91595798,3.31720673,0.03920478,0.17314021,1.39026358,0.96131172,0.01232422,1.82360658,0.96551078,0.28903572
-5.90995498,3.38562013,0.04032669,0.18036181,1.43518950,0.97610034,0.01255250,1.85898215,0.98527691,0.29449987
-5.90395198,3.44057291,0.04128371,0.18733415,1.47672457,0.98665743,0.01274659,1.88659860,1.00116476,0.29845829
-5.89794897,3.48203426,0.04206629,0.19405089,1.51489172,0.99303591,0.01290718,1.90643295,1.01318426,0.30087902
-5.89194597,3.51020398,0.04266719,0.20051442,1.54978303,0.99536388,0.01303523,1.91858909,1.02140644,0.30175773
-5.88594297,3.52548671,0.04308155,0.20673466,1.58154613,0.99383562,0.01313184,1.92328366,1.02595518,0.30111672
-5.87993997,3.52846086,0.04330676,0.21272770,1.61036854,0.98870085,0.01319807,1.92082902,1.02699752,0.29900315
-5.87393697,3.51984403,0.04334249,0.21851425,1.63646067,0.98025289,0.01323482,1.91161428,1.02473315,0.29548660
-5.86793397,3.50045694,0.04319048,0.22411798,1.66003849,0.96881650,0.01324276,1.89608551,1.01938368,0.29065613
-5.86193097,3.47118767,0.04285447,0.22956389,1.68130666,0.95473570,0.01322226,1.87472623,1.01118231,0.28461692
-5.85592796,3.43295809,0.04234001,0.23487672,1.70044316,0.93836240,0.01317336,1.84803909,1.00036438,0.27748671
-5.84992496,3.38669387,0.04165434,0.24007948,1.71758611,0.92004627,0.01309576,1.81652965,0.98715926,0.26939223
-5.84392196,3.33329937,0.04080622,0.24519222,1.73282345,0.90012598,0.01298891,1.78069288,0.97178402,0.26046567
-5.83791896,3.27363808,0.03980575,0.25023095,1.74618602,0.87892248,0.01285204,1.74100288,0.95443890,0.25084144
-5.83191596,3.20851909,0.03866431,0.25520692,1.75764435,0.85673400,0.01268431,1.69790583,0.93530482,0.24065326
-5.82591296,3.13868948,0.03739434,0.26012603,1.76710912,0.83383307,0.01248488,1.65181648,0.91454276,0.23003164
-5.81990995,3.06483220,0.03600928,0.26498862,1.77443535,0.81046532,0.01225308,1.60311755,0.89229487,0.21910192
-5.81390695,2.98756894,0.03452343,0.26978938,1.77943000,0.78684981,0.01198852,1.55216193,0.86868705,0.20798263
-5.80790395,2.90746670,0.03295177,0.27451758,1.78186241,0.76318069,0.01169122,1.49927699,0.84383263,0.19678453
-5.80190095,2.82504733,0.03130990,0.27915742,1.78147715,0.73962980,0.01136169,1.44477039,0.81783679,0.18560992
-5.79589795,2.74079878,0.02961384,0.28368850,1.77800856,0.71634991,0.01100104,1.38893672,0.79080127,0.17455243
