energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.62407752,0.23206695,0.30696086,0.00176120,0.02908397,0.00454978,0.21380470,0.29900846,0.04111411
-5.99399700,0.59473147,0.21710680,0.29907261,0.00166318,0.02733582,0.00433325,0.19931710,0.28174525,0.03789861
-5.98799400,0.56602991,0.20230235,0.29147238,0.00157546,0.02556987,0.00411561,0.18505545,0.26443229,0.03480087
-5.98199100,0.53808627,0.18774285,0.28416440,0.00149726,0.02379976,0.00389821,0.17109273,0.24717727,0.03183519
-5.97598799,0.51102412,0.17351809,0.27716074,0.00142788,0.02203958,0.00368246,0.15750488,0.23009403,0.02901488
-5.96998499,0.48496908,0.15971513,0.27047778,0.00136666,0.02030327,0.00346980,0.14436751,0.21329794,0.02635167
-5.96398199,0.46004229,0.14641551,0.26413371,0.00131299,0.01860427,0.00326162,0.13175324,0.19690180,0.02385534
-5.95797899,0.43635571,0.13369302,0.25814695,0.00126626,0.01695511,0.00305918,0.11972934,0.18101214,0.02153348
-5.95197599,0.41400921,0.12161207,0.25253567,0.00122593,0.01536711,0.00286360,0.10835610,0.16572618,0.01939138
-5.94597299,0.39308942,0.11022662,0.24731821,0.00119146,0.01385013,0.00267580,0.09768561,0.15112945,0.01743203
-5.93996998,0.37367027,0.09957965,0.24251442,0.00116242,0.01241240,0.00249649,0.08776109,0.13729408,0.01565628
-5.93396698,0.35581493,0.08970316,0.23814773,0.00113842,0.01106046,0.00232617,0.07861669,0.12427775,0.01406301
-5.92796398,0.33957882,0.08061862,0.23424767,0.00111922,0.00979907,0.00216513,0.07027771,0.11212336,0.01264946
-5.92196098,0.32501348,0.07233768,0.23085269,0.00110471,0.00863128,0.00201346,0.06276116,0.10085914,0.01141152
-5.91595798,0.31217069,0.06486325,0.22801306,0.00109492,0.00755850,0.00187106,0.05607651,0.09049945,0.01034409
-5.90995498,0.30110670,0.05819071,0.22579337,0.00109005,0.00658059,0.00173768,0.05022669,0.08104579,0.00944144
