energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.77589397,0.03739208,0.10864471,0.03866836,0.00000000,0.74260708,0.59037226,1.10313708,0.00000000
-5.99399700,2.77722601,0.03752357,0.11470397,0.03977820,0.00000000,0.73616928,0.58925279,1.08717519,0.00000000
-5.98799400,2.77541214,0.03765843,0.12096739,0.04101362,0.00000000,0.72937560,0.58741989,1.06898231,0.00000000
-5.98199100,2.77100926,0.03782995,0.12734967,0.04237862,0.00000000,0.72243781,0.58498894,1.04906386,0.00000000
-5.97598799,2.76455134,0.03807129,0.13375707,0.04387375,0.00000000,0.71554611,0.58207539,1.02793591,0.00000000
-5.96998499,2.75651572,0.03841393,0.14008904,0.04549562,0.00000000,0.70886257,0.57878698,1.00610512,0.00000000
-5.96398199,2.74729557,0.03888623,0.14624045,0.04723652,0.00000000,0.70251674,0.57521716,0.98405054,0.00000000
-5.95797899,2.73718000,0.03951201,0.15210429,0.04908428,0.00000000,0.69660363,0.57143995,0.96220784,0.00000000
-5.95197599,2.72634278,0.04030926,0.15757480,0.05102218,0.00000000,0.69118426,0.56750670,0.94095684,0.00000000
-5.94597299,2.71484005,0.04128916,0.16255095,0.05302918,0.00000000,0.68628864,0.56344459,0.92061263,0.00000000
-5.93996998,2.70261691,0.04245524,0.16694011,0.05508021,0.00000000,0.68192111,0.55925712,0.90142065,0.00000000
-5.93396698,2.68952226,0.04380295,0.17066166,0.05714677,0.00000000,0.67806767,0.55492636,0.88355562,0.00000000
-5.92796398,2.67533084,0.04531950,0.17365050,0.05919753,0.00000000,0.67470490,0.55041680,0.86712439,0.00000000
-5.92196098,2.65977087,0.04698407,0.17586021,0.06119923,0.00000000,0.67180986,0.54568049,0.85217207,0.00000000
-5.91595798,2.64255558,0.04876838,0.17726569,0.06311761,0.00000000,0.66937047,0.54066311,0.83869120,0.00000000
-5.90995498,2.62341657,0.05063758,0.17786510,0.06491844,0.00000000,0.66739551,0.53531057,0.82663308,0.00000000
-5.90395198,2.60213698,0.05255150,0.17768104,0.06656859,0.00000000,0.66592383,0.52957566,0.81592071,0.00000000
-5.89794897,2.57858242,0.05446602,0.17676081,0.06803714,0.00000000,0.66503187,0.52342443,0.80646233,0.00000000
-5.89194597,2.55272789,0.05633481,0.17517576,0.06929640,0.00000000,0.66483904,0.51684177,0.79816502,0.00000000
-5.88594297,2.52467886,0.05811107,0.17301961,0.07032289,0.00000000,0.66551053,0.50983594,0.79094729,0.00000000
-5.87993997,2.49468559,0.05974940,0.17040591,0.07109817,0.00000000,0.66725695,0.50244177,0.78475024,0.00000000
-5.87393697,2.46314947,0.06120755,0.16746461,0.07160952,0.00000000,0.67033096,0.49472231,0.77954652,0.00000000
