energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.30357007,0.23135443,0.88369098,0.00156363,0.06577826,0.00349252,0.13718451,0.12529775,0.15250603
-5.99399700,1.33726660,0.23354181,0.90866902,0.00158351,0.06695613,0.00385958,0.14310126,0.12581865,0.15415362
-5.98799400,1.37352736,0.23634025,0.93604047,0.00159972,0.06805154,0.00428669,0.14953815,0.12632776,0.15565016
-5.98199100,1.41309005,0.23989808,0.96629189,0.00161296,0.06909732,0.00477940,0.15658758,0.12690099,0.15708793
-5.97598799,1.45674978,0.24438760,0.99994065,0.00162410,0.07012973,0.00534327,0.16434984,0.12762503,0.15856640
-5.96998499,1.50532632,0.24999741,1.03751312,0.00163420,0.07118689,0.00598368,0.17292909,0.12859375,0.16018829
-5.96398199,1.55962962,0.25692412,1.07952209,0.00164440,0.07230710,0.00670568,0.18242900,0.12990430,0.16205540
-5.95797899,1.62042474,0.26536374,1.12644420,0.00165596,0.07352711,0.00751376,0.19294804,0.13165314,0.16426442
-5.95197599,1.68839733,0.27550309,1.17869795,0.00167016,0.07488038,0.00841172,0.20457474,0.13393203,0.16690279
-5.94597299,1.76412070,0.28751139,1.23662305,0.00168827,0.07639541,0.00940242,0.21738289,0.13682427,0.17004496
-5.93996998,1.84802548,0.30153236,1.30046151,0.00171154,0.07809428,0.01048765,0.23142701,0.14040107,0.17374893
-5.93396698,1.94037287,0.31767697,1.37034111,0.00174111,0.07999134,0.01166796,0.24673813,0.14471846,0.17805352
-5.92796398,2.04123218,0.33601721,1.44626167,0.00177799,0.08209224,0.01294249,0.26332016,0.14981457,0.18297618
-5.92196098,2.15046347,0.35658098,1.52808437,0.00182305,0.08439322,0.01430885,0.28114688,0.15570754,0.18851167
-5.91595798,2.26770581,0.37934826,1.61552451,0.00187693,0.08688080,0.01576306,0.30015977,0.16239409,0.19463147
-5.90995498,2.39237162,0.40424887,1.70814798,0.00194008,0.08953181,0.01729941,0.32026677,0.16984872,0.20128405
-5.90395198,2.52364734,0.43116183,1.80537150,0.00201269,0.09231383,0.01891047,0.34134208,0.17802365,0.20839602
-5.89794897,2.66050071,0.45991634,1.90646675,0.00209470,0.09518594,0.02058709,0.36322706,0.18684956,0.21587391
-5.89194597,2.80169457,0.49029472,2.01056857,0.00218576,0.09809983,0.02231842,0.38573227,0.19623692,0.22360685
-5.88594297,2.94580711,0.52203701,2.11668700,0.00228528,0.10100122,0.02409201,0.40864063,0.20607813,0.23146970
-5.87993997,3.09125830,0.55484743,2.22372333,0.00239237,0.10383147,0.02589391,0.43171176,0.21625022,0.23932679
-5.87393697,3.23634218,0.58840240,2.33048974,0.00250588,0.10652947,0.02770893,0.45468730,0.22661822,0.24703601
-5.86793397,3.37926427,0.62236023,2.43573250,0.00262442,0.10903355,0.02952076,0.47729721,0.23703890,0.25445316
-5.86193097,3.51818346,0.65637198,2.53815832,0.00274636,0.11128347,0.03131234,0.49926682,0.24736503,0.26143640
-5.85592796,3.65125749,0.69009337,2.63646328,0.00286988,0.11322246,0.03306613,0.52032458,0.25744983,0.26785069
-5.84992496,3.77669087,0.72319737,2.72936394,0.00299301,0.11479906,0.03476453,0.54021005,0.26715158,0.27357203
-5.84392196,3.89278400,0.75538691,2.81562983,0.00311363,0.11596889,0.03639020,0.55868213,0.27633822,0.27849146
-5.83791896,3.99798210,0.78640744,2.89411634,0.00322957,0.11669616,0.03792658,0.57552710,0.28489182,0.28251864
-5.83191596,4.09092232,0.81605854,2.96379733,0.00333865,0.11695497,0.03935827,0.59056618,0.29271263,0.28558479
-5.82591296,4.17047752,0.84420428,3.02379611,0.00343870,0.11673022,0.04067149,0.60366243,0.29972274,0.28764519
-5.81990995,4.23579490,0.87078161,3.07341376,0.00352767,0.11601829,0.04185451,0.61472645,0.30586904,0.28868082
-5.81390695,4.28632790,0.89580629,3.11215364,0.00360369,0.11482724,0.04289805,0.62372084,0.31112534,0.28869935
-5.80790395,4.32185982,0.91937587,3.13974085,0.00366506,0.11317680,0.04379559,0.63066307,0.31549367,0.28773521
-5.80190095,4.34251770,0.94166943,3.15613562,0.00371038,0.11109783,0.04454365,0.63562647,0.31900450,0.28584898
-5.79589795,4.34877545,0.96294363,3.16153974,0.00373859,0.10863162,0.04514197,0.63873933,0.32171588,0.28312578
-5.78989495,4.34144543,0.98352511,3.15639518,0.00374895,0.10582871,0.04559355,0.64018194,0.32371153,0.27967305
-5.78389195,4.32165810,1.00379924,3.14137468,0.00374114,0.10274758,0.04590464,0.64018162,0.32509784,0.27561745
-5.77788894,4.29083002,1.02419543,3.11736398,0.00371521,0.09945297,0.04608455,0.63900579,0.32599989,0.27110114
-5.77188594,4.25062071,1.04516941,3.08543617,0.00367164,0.09601418,0.04614536,0.63695329,0.32655656,0.26627757
-5.76588294,4.20287970,1.06718315,3.04681855,0.00361131,0.09250311,0.04610148,0.63434421,0.32691504,0.26130668
-5.75987994,4.14958538,1.09068308,3.00285331,0.00353543,0.08899232,0.04596920,0.63150858,0.32722473,0.25635001
-5.75387694,4.09277794,1.11607768,2.95495310,0.00344558,0.08555304,0.04576603,0.62877432,0.32763100,0.25156552
-5.74787394,4.03448871,1.14371517,2.90455343,0.00334359,0.08225330,0.04551004,0.62645490,0.32826893,0.24710250
-5.74187094,3.97666892,1.17386259,2.85306352,0.00323152,0.07915609,0.04521917,0.62483733,0.32925729,0.24309675
-5.73586793,3.92112063,1.20668714,2.80181790,0.00311159,0.07631774,0.04491049,0.62417075,0.33069318,0.23966611
-5.72986493,3.86943283,1.24224079,2.75203056,0.00298608,0.07378649,0.04459959,0.62465636,0.33264735,0.23690650
-5.72386193,3.82292531,1.28044897,2.70475379,0.00285729,0.07160129,0.04429986,0.62643896,0.33516065,0.23488872
-5.71785893,3.78260284,1.32110401,2.66084343,0.00272748,0.06979087,0.04402202,0.62960053,0.33824158,0.23365607
-5.71185593,3.74912158,1.36386381,2.62093197,0.00259875,0.06837310,0.04377372,0.63415619,0.34186520,0.23322281
-5.70585293,3.72276901,1.40825585,2.58541076,0.00247304,0.06735467,0.04355921,0.64005262,0.34597338,0.23357366
-5.69984992,3.70345838,1.45368659,2.55442194,0.00235204,0.06673106,0.04337925,0.64716910,0.35047641,0.23466428
-5.69384692,3.69073757,1.49945586,2.52786021,0.00223719,0.06648679,0.04323109,0.65532113,0.35525587,0.23642267
-5.68784392,3.68381199,1.54477567,2.50538451,0.00212961,0.06659602,0.04310872,0.66426641,0.36016866,0.23875152
-5.68184092,3.68158015,1.58879284,2.48643852,0.00203014,0.06702334,0.04300312,0.67371292,0.36505203,0.24153144
-5.67583792,3.68268038,1.63061417,2.47027917,0.00193929,0.06772485,0.04290274,0.68332888,0.36972924,0.24462477
-5.66983492,3.68554633,1.66933347,2.45601164,0.00185725,0.06864950,0.04279402,0.69275395,0.37401585,0.24788010
-5.66383192,3.68846879,1.70405908,2.44262906,0.00178394,0.06974047,0.04266204,0.70161140,0.37772610,0.25113701
-5.65782891,3.68966121,1.73394079,2.42905528,0.00171904,0.07093685,0.04249116,0.70952062,0.38067928,0.25423120
-5.65182591,3.68732606,1.75819529,2.41418860,0.00166198,0.07217532,0.04226571,0.71610956,0.38270580,0.25699953
-5.64582291,3.67971944,1.77612897,2.39694484,0.00161203,0.07339187,0.04197063,0.72102655,0.38365267,0.25928495
-5.63981991,3.66521157,1.78715743,2.37629786,0.00156830,0.07452358,0.04159209,0.72395119,0.38338829,0.26094115
-5.63381691,3.64234085,1.79082112,2.35131622,0.00152983,0.07551027,0.04111806,0.72460386,0.38180632,0.26183672
-5.62781391,3.60986007,1.78679661,2.32119468,0.00149558,0.07629617,0.04053873,0.72275357,0.37882852,0.26185875
-5.62181091,3.56677324,1.77490339,2.28527960,0.00146454,0.07683127,0.03984687,0.71822407,0.37440667,0.26091573
-5.61580790,3.51236233,1.75510620,2.24308776,0.00143572,0.07707271,0.03903807,0.71089791,0.36852326,0.25893973
-5.60980490,3.44620369,1.72751307,2.19431832,0.00140819,0.07698569,0.03811089,0.70071863,0.36119133,0.25588777
-5.60380190,3.36817404,1.69236943,2.13885789,0.00138114,0.07654439,0.03706683,0.68769096,0.35245327,0.25174240
-5.59779890,3.27844674,1.65004873,2.07677913,0.00135388,0.07573237,0.03591029,0.67187924,0.34237889,0.24651153
-5.59179590,3.17747900,1.60104022,2.00833341,0.00132587,0.07454286,0.03464835,0.65340419,0.33106270,0.24022744
-5.58579290,3.06599121,1.54593431,1.93393820,0.00129672,0.07297868,0.03329056,0.63243828,0.31862070,0.23294528
-5.57978989,2.94493956,1.48540638,1.85416010,0.00126623,0.07105188,0.03184853,0.60919986,0.30518679,0.22474081
-5.57378689,2.81548352,1.42019944,1.76969452,0.00123434,0.06878312,0.03033566,0.58394644,0.29090888,0.21570780
-5.56778389,2.67894949,1.35110631,1.68134280,0.00120117,0.06620085,0.02876664,0.55696726,0.27594490,0.20595504
-5.56178089,2.53679209,1.27895190,1.58998798,0.00116698,0.06334022,0.02715710,0.52857547,0.26045889,0.19560301
-5.55577789,2.39055460,1.20457594,1.49656992,0.00113216,0.06024192,0.02552315,0.49910020,0.24461716,0.18478056
-5.54977489,2.24182977,1.12881669,1.40206082,0.00109722,0.05695083,0.02388098,0.46887874,0.22858467,0.17362143
-5.54377189,2.09222218,1.05249591,1.30744175,0.00106276,0.05351474,0.02224649,0.43824893,0.21252184,0.16226101
-5.53776888,1.94331328,0.97640532,1.21368094,0.00102940,0.04998290,0.02063490,0.40754221,0.19658155,0.15083317
-5.53176588,1.79662985,0.90129485,1.12171438,0.00099784,0.04640481,0.01906047,0.37707720,0.18090674,0.13946742
-5.52576288,1.65361664,0.82786279,1.03242897,0.00096873,0.04282901,0.01753619,0.34715410,0.16562834,0.12828644
-5.51975988,1.51561362,0.75674785,0.94664872,0.00094272,0.03930199,0.01607362,0.31804999,0.15086372,0.11740398
-5.51375688,1.38383813,0.68852327,0.86512395,0.00092037,0.03586734,0.01468266,0.29001508,0.13671557,0.10692320
-5.50775388,1.25937205,0.62369288,0.78852364,0.00090218,0.03256509,0.01337148,0.26326990,0.12327124,0.09693551
-5.50175088,1.14315377,0.56268904,0.71743065,0.00088850,0.02943119,0.01214641,0.23800350,0.11060259,0.08751983
-5.49574787,1.03597483,0.50587233,0.65233982,0.00087960,0.02649726,0.01101198,0.21437258,0.09876608,0.07874231
-5.48974487,0.93848065,0.45353281,0.59365838,0.00087555,0.02379054,0.00997089,0.19250148,0.08780344,0.07065645
-5.48374187,0.85117482,0.40589265,0.54170841,0.00087633,0.02133398,0.00902417,0.17248303,0.07774246,0.06330359
-5.47773887,0.77442633,0.36310982,0.49673093,0.00088172,0.01914654,0.00817120,0.15437998,0.06859818,0.05671371
