energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.38401088,-1.70396623,0.58906425,-0.43057736,0.69582816,-0.43457558,0.71091405,-0.60598364,0.43601162,-0.32135277,0.00354774,-0.00499821,0.36307594,-0.38587447,0.72459782,-0.41295910,0.00000000,-0.00000000
-5.99399700,2.37916187,-1.72035555,0.58752173,-0.44192932,0.70616060,-0.44411732,0.69620667,-0.60468485,0.43018302,-0.31505848,0.00331644,-0.00493558,0.35129536,-0.37833736,0.72882873,-0.42765447,0.00000000,-0.00000000
-5.98799400,2.37364342,-1.74562597,0.58618456,-0.45301137,0.71619156,-0.45544006,0.68125706,-0.60720047,0.42490442,-0.31164757,0.00309451,-0.00485827,0.33994821,-0.37407890,0.73208005,-0.44373373,0.00000000,-0.00000000
-5.98199100,2.36782302,-1.77896618,0.58513726,-0.46374795,0.72595982,-0.46833113,0.66614878,-0.61330756,0.42026168,-0.31097204,0.00288493,-0.00476455,0.32913143,-0.37293206,0.73443584,-0.46097094,0.00000000,-0.00000000
-5.97598799,2.36200976,-1.81950281,0.58443492,-0.47408486,0.73549916,-0.48257334,0.65093665,-0.62275629,0.41631393,-0.31285418,0.00269026,-0.00465328,0.31891980,-0.37470021,0.73597129,-0.47913000,0.00000000,-0.00000000
-5.96998499,2.35644943,-1.86631030,0.58410435,-0.48398775,0.74483611,-0.49794714,0.63565047,-0.63527179,0.41309408,-0.31708968,0.00251259,-0.00452399,0.30936742,-0.37915935,0.73674935,-0.49796736,0.00000000,-0.00000000
-5.96398199,2.35132277,-1.91841966,0.58414672,-0.49343955,0.75398828,-0.51423246,0.62029993,-0.65055498,0.41061029,-0.32345058,0.00235352,-0.00437686,0.30050977,-0.38606017,0.73681837,-0.51723470,0.00000000,-0.00000000
-5.95797899,2.34674661,-1.97482671,0.58454148,-0.50243691,0.76296346,-0.53121027,0.60488023,-0.66828275,0.40884811,-0.33168821,0.00221415,-0.00421269,0.29236627,-0.39512989,0.73621071,-0.53668147,0.00000000,-0.00000000
-5.95197599,2.34277766,-2.03450008,0.58525119,-0.51098617,0.77175926,-0.54866413,0.58937829,-0.68810772,0.40777334,-0.34153618,0.00209506,-0.00403291,0.28494313,-0.40607415,0.73494253,-0.55605758,0.00000000,-0.00000000
-5.94597299,2.33941869,-2.09638984,0.58622705,-0.51909889,0.78036347,-0.56638181,0.57377893,-0.70965777,0.40733529,-0.35271346,0.00199637,-0.00383945,0.27823627,-0.41857905,0.73301456,-0.57511615,0.00000000,-0.00000000
-5.93996998,2.33662652,-2.15943696,0.58741458,-0.52678745,0.78875491,-0.58415705,0.55807083,-0.73253601,0.40747043,-0.36492781,0.00191777,-0.00363469,0.27223428,-0.43231366,0.73041396,-0.59361641,0.00000000,-0.00000000
-5.93396698,2.33432140,-2.22258432,0.58875929,-0.53406099,0.79690475,-0.60179172,0.54225185,-0.75632124,0.40810617,-0.37787948,0.00185855,-0.00342136,0.26692113,-0.44693298,0.72711706,-0.61132690,0.00000000,-0.00000000
-5.92796398,2.33239710,-2.28478930,0.59021178,-0.54092199,0.80477812,-0.61909821,0.52633346,-0.78056957,0.40916468,-0.39126537,0.00181769,-0.00320240,0.26227854,-0.46208166,0.72309278,-0.62802864,0.00000000,-0.00000000
-5.92196098,2.33073119,-2.34503829,0.59173211,-0.54736367,0.81233595,-0.63590233,0.51034407,-0.80481726,0.41056653,-0.40478362,0.00179389,-0.00298089,0.25828805,-0.47739846,0.71830661,-0.64351867,0.00000000,-0.00000000
-5.91595798,2.32919493,-2.40236292,0.59329312,-0.55336847,0.81953685,-0.65204633,0.49433094,-0.82858513,0.41223404,-0.41813860,0.00178567,-0.00275992,0.25493240,-0.49252160,0.71272489,-0.65761348,0.00000000,-0.00000000
-5.90995498,2.32766208,-2.45585766,0.59488242,-0.55890774,0.82633897,-0.66739228,0.47836084,-0.85138471,0.41409426,-0.43104630,0.00179140,-0.00254253,0.25219652,-0.50709479,0.70631907,-0.67015249,0.00000000,-0.00000000
-5.90395198,2.32601647,-2.50469852,0.59650313,-0.56394251,0.83270168,-0.68182551,0.46251919,-0.87272587,0.41608137,-0.44323987,0.00180937,-0.00233159,0.25006783,-0.52077398,0.69906980,-0.68100137,0.00000000,-0.00000000
