energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.36659926,0.58067909,0.00329148,1.17199396,1.40750510,0.39413653,0.00000000
-5.99399700,2.39645165,0.58466666,0.00326744,1.17868133,1.42951209,0.40319743,0.00000000
-5.98799400,2.41810484,0.58606639,0.00323275,1.18126146,1.44653892,0.41177477,0.00000000
-5.98199100,2.43152075,0.58496325,0.00318844,1.17996246,1.45853022,0.41969965,0.00000000
-5.97598799,2.43684937,0.58149346,0.00313571,1.17510742,1.46554381,0.42682978,0.00000000
-5.96998499,2.43442921,0.57584144,0.00307594,1.16710775,1.46775196,0.43305508,0.00000000
-5.96398199,2.42478252,0.56823564,0.00301064,1.15645397,1.46543939,0.43830208,0.00000000
-5.95797899,2.40860508,0.55894318,0.00294146,1.14370424,1.45899808,0.44253715,0.00000000
-5.95197599,2.38675091,0.54826359,0.00287013,1.12947088,1.44891877,0.44576804,0.00000000
-5.94597299,2.36021195,0.53652172,0.00279845,1.11440526,1.43577950,0.44804389,0.00000000
-5.93996998,2.33009364,0.52406003,0.00272824,1.09918148,1.42023147,0.44945347,0.00000000
-5.93396698,2.29758674,0.51123066,0.00266135,1.08447943,1.40298256,0.45012174,0.00000000
-5.92796398,2.26393650,0.49838723,0.00259959,1.07096754,1.38477920,0.45020481,0.00000000
-5.92196098,2.23041023,0.48587686,0.00254473,1.05928598,1.36638704,0.44988353,0.00000000
-5.91595798,2.19826410,0.47403260,0.00249845,1.05003067,1.34857126,0.44935591,0.00000000
-5.90995498,2.16871060,0.46316636,0.00246232,1.04373875,1.33207700,0.44882864,0.00000000
-5.90395198,2.14288747,0.45356271,0.00243780,1.04087578,1.31761068,0.44850823,0.00000000
-5.89794897,2.12182927,0.44547360,0.00242618,1.04182527,1.30582274,0.44859195,0.00000000
-5.89194597,2.10644246,0.43911412,0.00242856,1.04688059,1.29729247,0.44925913,0.00000000
-5.88594297,2.09748457,0.43465945,0.00244587,1.05623968,1.29251508,0.45066314,0.00000000
-5.87993997,2.09554818,0.43224287,0.00247880,1.07000246,1.29189158,0.45292436,0.00000000
-5.87393697,2.10104988,0.43195495,0.00252784,1.08817103,1.29572154,0.45612458,0.00000000
-5.86793397,2.11422443,0.43384374,0.00259322,1.11065241,1.30419872,0.46030292,0.00000000
-5.86193097,2.13512395,0.43791584,0.00267492,1.13726366,1.31740967,0.46545362,0.00000000
-5.85592796,2.16362183,0.44413834,0.00277267,1.16773890,1.33533493,0.47152560,0.00000000
-5.84992496,2.19942106,0.45244127,0.00288594,1.20173811,1.35785279,0.47842400,0.00000000
-5.84392196,2.24206631,0.46272053,0.00301397,1.23885687,1.38474517,0.48601350,0.00000000
-5.83791896,2.29095911,0.47484105,0.00315570,1.27863695,1.41570528,0.49412323,0.00000000
-5.83191596,2.34537555,0.48864021,0.00330988,1.32057711,1.45034680,0.50255324,0.00000000
-5.82591296,2.40448578,0.50393106,0.00347499,1.36414375,1.48821406,0.51108200,0.00000000
-5.81990995,2.46737455,0.52050568,0.00364931,1.40878110,1.52879309,0.51947478,0.00000000
-5.81390695,2.53306246,0.53813821,0.00383093,1.45392075,1.57152312,0.52749241,0.00000000
-5.80790395,2.60052707,0.55658788,0.00401777,1.49899017,1.61580827,0.53490021,0.00000000
-5.80190095,2.66872375,0.57560187,0.00420760,1.54342045,1.66102935,0.54147651,0.00000000
-5.79589795,2.73660567,0.59491805,0.00439808,1.58665301,1.70655547,0.54702054,0.00000000
-5.78989495,2.80314290,0.61426783,0.00458680,1.62814564,1.75175542,0.55135938,0.00000000
-5.78389195,2.86734023,0.63337896,0.00477131,1.66737779,1.79600871,0.55435364,0.00000000
-5.77788894,2.92825363,0.65197867,0.00494917,1.70385555,1.83871609,0.55590163,0.00000000
-5.77188594,2.98500533,0.66979693,0.00511797,1.73711642,1.87930960,0.55594206,0.00000000
-5.76588294,3.03679729,0.68657004,0.00527542,1.76673410,1.91726192,0.55445493,0.00000000
-5.75987994,3.08292307,0.70204462,0.00541935,1.79232343,1.95209499,0.55146091,0.00000000
-5.75387694,3.12277796,0.71598181,0.00554775,1.81354561,1.98338769,0.54701906,0.00000000
-5.74787394,3.15586725,0.72816177,0.00565886,1.83011373,2.01078257,0.54122312,0.00000000
-5.74187094,3.18181260,0.73838838,0.00575116,1.84179849,2.03399133,0.53419667,0.00000000
-5.73586793,3.20035631,0.74649385,0.00582342,1.84843397,2.05279898,0.52608721,0.00000000
-5.72986493,3.21136345,0.75234331,0.00587472,1.84992324,2.06706656,0.51705962,0.00000000
-5.72386193,3.21482169,0.75583896,0.00590449,1.84624349,2.07673229,0.50728922,0.00000000
-5.71785893,3.21083892,0.75692379,0.00591249,1.83745035,2.08181114,0.49695473,0.00000000
-5.71185593,3.19963862,0.75558449,0.00589886,1.82368111,2.08239272,0.48623150,0.00000000
-5.70585293,3.18155310,0.75185358,0.00586406,1.80515651,2.07863776,0.47528524,0.00000000
-5.69984992,3.15701479,0.74581037,0.00580892,1.78218073,2.07077307,0.46426644,0.00000000
-5.69384692,3.12654593,0.73758091,0.00573459,1.75513960,2.05908544,0.45330590,0.00000000
-5.68784392,3.09074689,0.72733665,0.00564251,1.72449672,2.04391453,0.44251121,0.00000000
-5.68184092,3.05028373,0.71529190,0.00553438,1.69078759,2.02564522,0.43196456,0.00000000
-5.67583792,3.00587517,0.70170019,0.00541217,1.65461173,2.00469963,0.42172179,0.00000000
-5.66983492,2.95827971,0.68684939,0.00527801,1.61662312,1.98152924,0.41181268,0.00000000
-5.66383192,2.90828306,0.67105605,0.00513419,1.57751900,1.95660731,0.40224246,0.00000000
-5.65782891,2.85668649,0.65465877,0.00498311,1.53802751,1.93042199,0.39299431,0.00000000
-5.65182591,2.80429616,0.63801106,0.00482723,1.49889430,1.90347008,0.38403289,0.00000000
-5.64582291,2.75191369,0.62147373,0.00466903,1.46086871,1.87625182,0.37530842,0.00000000
-5.63981991,2.70032806,0.60540705,0.00451096,1.42468955,1.84926640,0.36676143,0.00000000
-5.63381691,2.65030865,0.59016291,0.00435540,1.39107102,1.82300838,0.35832759,0.00000000
-5.62781391,2.60259930,0.57607709,0.00420463,1.36068895,1.79796466,0.34994267,0.00000000
-5.62181091,2.55791310,0.56346189,0.00406079,1.33416758,1.77461180,0.34154725,0.00000000
-5.61580790,2.51692760,0.55259927,0.00392583,1.31206715,1.75341351,0.33309096,0.00000000
-5.60980490,2.48028006,0.54373448,0.00380154,1.29487240,1.73481786,0.32453619,0.00000000
-5.60380190,2.44856244,0.53707063,0.00368945,1.28298222,1.71925411,0.31586095,0.00000000
-5.59779890,2.42231588,0.53276391,0.00359087,1.27670055,1.70712887,0.30706093,0.00000000
-5.59179590,2.40202447,0.53091986,0.00350686,1.27622873,1.69882139,0.29815064,0.00000000
-5.58579290,2.38810839,0.53159063,0.00343820,1.28165946,1.69467807,0.28916361,0.00000000
-5.57978989,2.38091631,0.53477340,0.00338541,1.29297258,1.69500620,0.28015161,0.00000000
-5.57378689,2.38071755,0.54040981,0.00334873,1.31003281,1.70006700,0.27118322,0.00000000
-5.56778389,2.38769403,0.54838681,0.00332814,1.33258976,1.71006836,0.26234150,0.00000000
-5.56178089,2.40193275,0.55853850,0.00332334,1.36028022,1.72515750,0.25372119,0.00000000
