energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.67380449,0.00324102,0.00000000,0.14575238,0.21548172,0.00581698,0.06743946,0.01139601,0.35530779
-5.99399700,0.73266664,0.00359268,0.00000000,0.16177870,0.23322304,0.00625406,0.07401416,0.01199951,0.38695429
-5.98799400,0.79270814,0.00396056,0.00000000,0.17866955,0.25119073,0.00668314,0.08083773,0.01255242,0.41931037
-5.98199100,0.85347510,0.00434212,0.00000000,0.19633686,0.26925198,0.00709882,0.08786796,0.01304634,0.45213085
-5.97598799,0.91448472,0.00473441,0.00000000,0.21467192,0.28727079,0.00749574,0.09505675,0.01347406,0.48515204
-5.96998499,0.97523457,0.00513406,0.00000000,0.23354627,0.30511103,0.00786878,0.10235084,0.01382985,0.51809654
-5.96398199,1.03521324,0.00553738,0.00000000,0.25281337,0.32263962,0.00821324,0.10969274,0.01410975,0.55067886
-5.95797899,1.09391206,0.00594043,0.00000000,0.27231123,0.33972980,0.00852494,0.11702204,0.01431165,0.58261181
-5.95197599,1.15083777,0.00633914,0.00000000,0.29186603,0.35626440,0.00880042,0.12427688,0.01443547,0.61361340
-5.94597299,1.20552572,0.00672937,0.00000000,0.31129648,0.37213903,0.00903705,0.13139580,0.01448316,0.64341428
-5.93996998,1.25755319,0.00710710,0.00000000,0.33041903,0.38726509,0.00923311,0.13831969,0.01445870,0.67176520
-5.93396698,1.30655250,0.00746852,0.00000000,0.34905371,0.40157245,0.00938786,0.14499401,0.01436793,0.69844449
-5.92796398,1.35222318,0.00781018,0.00000000,0.36703031,0.41501173,0.00950159,0.15137100,0.01421839,0.72326513
-5.92196098,1.39434281,0.00812909,0.00000000,0.38419472,0.42755599,0.00957556,0.15741191,0.01401910,0.74608112
-5.91595798,1.43277580,0.00842286,0.00000000,0.40041514,0.43920178,0.00961201,0.16308916,0.01378016,0.76679267
-5.90995498,1.46747963,0.00868980,0.00000000,0.41558767,0.44996945,0.00961402,0.16838813,0.01351251,0.78535019
-5.90395198,1.49850788,0.00892893,0.00000000,0.42964118,0.45990249,0.00958539,0.17330877,0.01322744,0.80175633
-5.89794897,1.52600978,0.00914012,0.00000000,0.44254095,0.46906599,0.00953051,0.17786655,0.01293627,0.81606624
-5.89194597,1.55022581,0.00932398,0.00000000,0.45429088,0.47754412,0.00945413,0.18209297,0.01264992,0.82838555
-5.88594297,1.57147924,0.00948193,0.00000000,0.46493399,0.48543661,0.00936117,0.18603532,0.01237853,0.83886614
-5.87993997,1.59016370,0.00961608,0.00000000,0.47455120,0.49285434,0.00925656,0.18975571,0.01213112,0.84769972
-5.87393697,1.60672709,0.00972915,0.00000000,0.48325811,0.49991418,0.00914495,0.19332945,0.01191530,0.85510929
-5.86793397,1.62165215,0.00982430,0.00000000,0.49120007,0.50673318,0.00903059,0.19684252,0.01173698,0.86133891
-5.86193097,1.63543480,0.00990506,0.00000000,0.49854561,0.51342239,0.00891713,0.20038855,0.01160026,0.86664205
-5.85592796,1.64856077,0.00997507,0.00000000,0.50547843,0.52008068,0.00880748,0.20406510,0.01150726,0.87126922
-5.84992496,1.66148205,0.01003795,0.00000000,0.51218849,0.52678867,0.00870373,0.20796957,0.01145811,0.87545530
-5.84392196,1.67459410,0.01009711,0.00000000,0.51886252,0.53360330,0.00860706,0.21219480,0.01145099,0.87940754
-5.83791896,1.68821527,0.01015558,0.00000000,0.52567453,0.54055332,0.00851779,0.21682466,0.01148224,0.88329468
-5.83191596,1.70256968,0.01021588,0.00000000,0.53277678,0.54763596,0.00843539,0.22192976,0.01154654,0.88723803
-5.82591296,1.71777453,0.01027990,0.00000000,0.54029189,0.55481506,0.00835856,0.22756358,0.01163714,0.89130508
-5.81990995,1.73383309,0.01034885,0.00000000,0.54830635,0.56202100,0.00828540,0.23375918,0.01174616,0.89550619
-5.81390695,1.75063374,0.01042320,0.00000000,0.55686613,0.56915236,0.00821355,0.24052668,0.01186490,0.89979473
-5.80790395,1.76795567,0.01050272,0.00000000,0.56597439,0.57607945,0.00814040,0.24785168,0.01198422,0.90407074
-5.80190095,1.78548117,0.01058655,0.00000000,0.57559180,0.58264966,0.00806332,0.25569483,0.01209488,0.90818825
-5.79589795,1.80281410,0.01067332,0.00000000,0.58563933,0.58869433,0.00797989,0.26399243,0.01218790,0.91196596
-5.78989495,1.81950392,0.01076132,0.00000000,0.59600345,0.59403701,0.00788812,0.27265820,0.01225492,0.91520072
-5.78389195,1.83507411,0.01084865,0.00000000,0.60654360,0.59850264,0.00778667,0.28158618,0.01228851,0.91768346
-5.77788894,1.84905372,0.01093347,0.00000000,0.61710151,0.60192728,0.00767504,0.29065456,0.01228246,0.91921646
-5.77188594,1.86101040,0.01101421,0.00000000,0.62751190,0.60416783,0.00755376,0.29973037,0.01223200,0.91963134
-5.76588294,1.87058318,0.01108981,0.00000000,0.63761399,0.60511139,0.00742449,0.30867476,0.01213396,0.91880655
-5.75987994,1.87751332,0.01115992,0.00000000,0.64726329,0.60468358,0.00729011,0.31734870,0.01198691,0.91668354
-5.75387694,1.88167144,0.01122505,0.00000000,0.65634288,0.60285551,0.00715478,0.32561876,0.01179119,0.91328063
-5.74787394,1.88307944,0.01128678,0.00000000,0.66477370,0.59964897,0.00702391,0.33336281,0.01154892,0.90870358
-5.74187094,1.88192579,0.01134780,0.00000000,0.67252317,0.59513945,0.00690410,0.34047526,0.01126388,0.90315231
-5.73586793,1.87857323,0.01141198,0.00000000,0.67961174,0.58945696,0.00680303,0.34687169,0.01094139,0.89692315
-5.72986493,1.87355818,0.01148432,0.00000000,0.68611680,0.58278425,0.00672931,0.35249266,0.01058816,0.89040625
-5.72386193,1.86758163,0.01157087,0.00000000,0.69217393,0.57535281,0.00669227,0.35730648,0.01021202,0.88407816
-5.71785893,1.86149154,0.01167860,0.00000000,0.69797513,0.56743645,0.00670174,0.36131087,0.00982166,0.87848952
-5.71185593,1.85625751,0.01181515,0.00000000,0.70376413,0.55934290,0.00676777,0.36453343,0.00942636,0.87424854
-5.70585293,1.85293839,0.01198857,0.00000000,0.70982911,0.55140373,0.00690036,0.36703099,0.00903570,0.87200052
-5.69984992,1.85264440,0.01220706,0.00000000,0.71649275,0.54396290,0.00710912,0.36888777,0.00865924,0.87240449
-5.69384692,1.85649509,0.01247855,0.00000000,0.72410048,0.53736458,0.00740298,0.37021258,0.00830623,0.87610770
-5.68784392,1.86557514,0.01281041,0.00000000,0.73300708,0.53194061,0.00778987,0.37113516,0.00798533,0.88371923
-5.68184092,1.88088974,0.01320905,0.00000000,0.74356248,0.52799825,0.00827640,0.37180185,0.00770437,0.89578370
-5.67583792,1.90332168,0.01367959,0.00000000,0.75609722,0.52580870,0.00886759,0.37237079,0.00747012,0.91275628
-5.66983492,1.93359206,0.01422555,0.00000000,0.77090835,0.52559681,0.00956663,0.37300695,0.00728808,0.93498028
-5.66383192,1.97222636,0.01484855,0.00000000,0.78824629,0.52753257,0.01037463,0.37387712,0.00716237,0.96266812
-5.65782891,2.01952755,0.01554813,0.00000000,0.80830334,0.53172463,0.01129047,0.37514517,0.00709562,0.99588687
-5.65182591,2.07555753,0.01632157,0.00000000,0.83120425,0.53821625,0.01231071,0.37696762,0.00708889,1.03454889
-5.64582291,2.14012783,0.01716388,0.00000000,0.85699923,0.54698366,0.01342954,0.37948991,0.00714168,1.07840825
-5.63981991,2.21280014,0.01806776,0.00000000,0.88565981,0.55793717,0.01463883,0.38284328,0.00725197,1.12706315
-5.63381691,2.29289663,0.01902377,0.00000000,0.91707754,0.57092471,0.01592822,0.38714233,0.00741632,1.17996438
-5.62781391,2.37951984,0.02002049,0.00000000,0.95106556,0.58573787,0.01728533,0.39248346,0.00762992,1.23642949
