energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.35681421,0.01905564,0.00000000,0.21564321,0.00000000,0.08450445,0.07387545
-5.99399700,0.39710586,0.02158452,0.00000000,0.24135005,0.00000000,0.09596844,0.08177756
-5.98799400,0.44235404,0.02439262,0.00000000,0.26998672,0.00000000,0.10846570,0.09073624
-5.98199100,0.49219325,0.02746870,0.00000000,0.30134456,0.00000000,0.12191896,0.10067591
-5.97598799,0.54615969,0.03079575,0.00000000,0.33515308,0.00000000,0.13622512,0.11150076
-5.96998499,0.60368817,0.03435060,0.00000000,0.37107796,0.00000000,0.15125433,0.12309417
-5.96398199,0.66411231,0.03810369,0.00000000,0.40872101,0.00000000,0.16685000,0.13531886
-5.95797899,0.72666857,0.04201907,0.00000000,0.44762260,0.00000000,0.18282998,0.14801777
-5.95197599,0.79050437,0.04605461,0.00000000,0.48726662,0.00000000,0.19898879,0.16101572
-5.94597299,0.85469063,0.05016241,0.00000000,0.52708832,0.00000000,0.21510118,0.17412193
-5.93996998,0.91823866,0.05428954,0.00000000,0.56648469,0.00000000,0.23092671,0.18713344
-5.93396698,0.98012101,0.05837896,0.00000000,0.60482743,0.00000000,0.24621547,0.19983936
-5.92796398,1.03929593,0.06237072,0.00000000,0.64147817,0.00000000,0.26071459,0.21202580
-5.92196098,1.09473460,0.06620333,0.00000000,0.67580533,0.00000000,0.27417553,0.22348140
-5.91595798,1.14545017,0.06981530,0.00000000,0.70720215,0.00000000,0.28636164,0.23400333
-5.90995498,1.19052761,0.07314681,0.00000000,0.73510525,0.00000000,0.29705594,0.24340338
-5.90395198,1.22915312,0.07614141,0.00000000,0.75901284,0.00000000,0.30606863,0.25151405
-5.89794897,1.26064187,0.07874773,0.00000000,0.77850194,0.00000000,0.31324410,0.25819433
-5.89194597,1.28446288,0.08092111,0.00000000,0.79324388,0.00000000,0.31846714,0.26333493
-5.88594297,1.30025998,0.08262506,0.00000000,0.80301721,0.00000000,0.32166800,0.26686271
-5.87993997,1.30786788,0.08383257,0.00000000,0.80771776,0.00000000,0.32282619,0.26874422
-5.87393697,1.30732254,0.08452709,0.00000000,0.80736508,0.00000000,0.32197271,0.26898797
-5.86793397,1.29886551,0.08470327,0.00000000,0.80210514,0.00000000,0.31919083,0.26764557
-5.86193097,1.28294183,0.08436733,0.00000000,0.79220906,0.00000000,0.31461503,0.26481146
-5.85592796,1.26019162,0.08353709,0.00000000,0.77806800,0.00000000,0.30842855,0.26062143
-5.84992496,1.23143563,0.08224165,0.00000000,0.76018421,0.00000000,0.30085927,0.25524975
-5.84392196,1.19765528,0.08052069,0.00000000,0.73915875,0.00000000,0.29217434,0.24890515
-5.83791896,1.15996786,0.07842347,0.00000000,0.71567621,0.00000000,0.28267362,0.24182581
-5.83191596,1.11959778,0.07600758,0.00000000,0.69048703,0.00000000,0.27268217,0.23427334
-5.82591296,1.07784489,0.07333735,0.00000000,0.66438795,0.00000000,0.26254206,0.22652613
-5.81990995,1.03605077,0.07048220,0.00000000,0.63820130,0.00000000,0.25260380,0.21887215
