energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,2.25565607,0.02837295,0.00000000,1.39837251,0.66003222,0.01371606,1.66122811
-5.99399700,2.29619745,0.02820331,0.00000000,1.43306026,0.66585281,0.01407253,1.69059020
-5.98799400,2.33518595,0.02800456,0.00000000,1.46698891,0.67135944,0.01443844,1.71867677
-5.98199100,2.37286490,0.02778556,0.00000000,1.50023562,0.67669438,0.01481412,1.74566878
-5.97598799,2.40938831,0.02755432,0.00000000,1.53283080,0.68196059,0.01519873,1.77168477
-5.96998499,2.44480028,0.02731746,0.00000000,1.56474650,0.68721538,0.01559018,1.79676591
-5.96398199,2.47902130,0.02707987,0.00000000,1.59588815,0.69246669,0.01598513,1.82086593
-5.95797899,2.51184232,0.02684441,0.00000000,1.62609035,0.69767244,0.01637902,1.84384654
-5.95197599,2.54292696,0.02661181,0.00000000,1.65511696,0.70274277,0.01676623,1.86547865
-5.94597299,2.57182176,0.02638062,0.00000000,1.68266542,0.70754518,0.01714021,1.88544937
-5.93996998,2.59797401,0.02614743,0.00000000,1.70837527,0.71191218,0.01749372,1.90337437
-5.93396698,2.62075602,0.02590708,0.00000000,1.73184025,0.71565100,0.01781914,1.91881493
-5.92796398,2.63949459,0.02565304,0.00000000,1.75262349,0.71855473,0.01810869,1.93129861
-5.92196098,2.65350373,0.02537785,0.00000000,1.77027480,0.72041439,0.01835477,1.94034254
-5.91595798,2.66211907,0.02507365,0.00000000,1.78434930,0.72103094,0.01855027,1.94547772
-5.90995498,2.66473170,0.02473266,0.00000000,1.79442629,0.72022684,0.01868880,1.94627324
-5.90395198,2.66081971,0.02434767,0.00000000,1.80012740,0.71785632,0.01876499,1.94235878
-5.89794897,2.64997570,0.02391254,0.00000000,1.80113320,0.71381385,0.01877463,1.93344452
-5.89194597,2.63192868,0.02342256,0.00000000,1.79719727,0.70804039,0.01871488,1.91933697
-5.88594297,2.60655947,0.02287477,0.00000000,1.78815729,0.70052708,0.01858430,1.89995042
-5.87993997,2.57390871,0.02226815,0.00000000,1.77394255,0.69131638,0.01838292,1.87531309
-5.87393697,2.53417737,0.02160371,0.00000000,1.75457764,0.68050046,0.01811220,1.84556810
-5.86793397,2.48772004,0.02088448,0.00000000,1.73018234,0.66821726,0.01777495,1.81096917
-5.86193097,2.43503141,0.02011539,0.00000000,1.70096783,0.65464436,0.01737518,1.77187164
-5.85592796,2.37672719,0.01930303,0.00000000,1.66722949,0.63999127,0.01691795,1.72871940
-5.84992496,2.31352053,0.01845540,0.00000000,1.62933697,0.62449046,0.01640916,1.68202850
