energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.65844915,0.09205157,0.06167370,0.25247285,0.19216806,0.03885107,0.86110348,0.43381745,5.34415412
-5.99399700,7.43107402,0.09557735,0.06307280,0.26096442,0.19641004,0.04006041,0.88143207,0.44740112,5.08273662
-5.98799400,7.23450515,0.09920138,0.06443275,0.27082224,0.20101308,0.04127252,0.90384018,0.46161262,4.84746467
-5.98199100,7.06755500,0.10290374,0.06574379,0.28213897,0.20599821,0.04248319,0.92847549,0.47640125,4.63707038
-5.97598799,6.92855361,0.10665900,0.06699392,0.29497417,0.21137431,0.04368760,0.95542021,0.49169346,4.44995062
-5.96998499,6.81539212,0.11043670,0.06816905,0.30934868,0.21713574,0.04487996,0.98467899,0.50739165,4.28422563
-5.96398199,6.72557401,0.11420208,0.06925333,0.32524003,0.22326029,0.04605332,1.01616919,0.52337392,4.13780020
-5.95797899,6.65627305,0.11791684,0.07022964,0.34257896,0.22970788,0.04719933,1.04971410,0.53949454,4.00842582
-5.95197599,6.60439697,0.12154010,0.07108004,0.36124737,0.23641977,0.04830819,1.08503962,0.55558530,3.89376221
-5.94597299,6.56665583,0.12502933,0.07178648,0.38107794,0.24331874,0.04936859,1.12177475,0.57145777,3.79143675
-5.93996998,6.53963391,0.12834140,0.07233140,0.40185544,0.25030992,0.05036789,1.15945625,0.58690622,3.69910049
-5.93396698,6.51986421,0.13143346,0.07269839,0.42332003,0.25728266,0.05129227,1.19753755,0.60171141,3.61447974
-5.92796398,6.50390422,0.13426393,0.07287294,0.44517230,0.26411306,0.05212710,1.23540189,0.61564495,3.53542226
-5.92196098,6.48841186,0.13679328,0.07284298,0.46708039,0.27066747,0.05285739,1.27237959,0.62847438,3.45993753
-5.91595798,6.47022046,0.13898483,0.07259950,0.48868862,0.27680659,0.05346835,1.30776885,0.63996867,3.38623049
-5.90995498,6.44641137,0.14080545,0.07213702,0.50962783,0.28239023,0.05394597,1.34085977,0.64990424,3.31272873
-5.90395198,6.41438296,0.14222617,0.07145405,0.52952682,0.28728247,0.05427778,1.37096061,0.65807118,3.23810304
-5.89794897,6.37191464,0.14322280,0.07055335,0.54802462,0.29135712,0.05445353,1.39742549,0.66427970,3.16128142
-5.89194597,6.31722436,0.14377646,0.06944223,0.56478315,0.29450313,0.05446600,1.41968242,0.66836649,3.08145707
-5.88594297,6.24901816,0.14387411,0.06813260,0.57949972,0.29662989,0.05431169,1.43726054,0.67020101,2.99809047
-5.87993997,6.16653027,0.14350911,0.06664107,0.59191878,0.29767208,0.05399147,1.44981541,0.66969117,2.91090632
-5.87393697,6.06955215,0.14268165,0.06498881,0.60184249,0.29759383,0.05351124,1.45715105,0.66678857,2.81988553
-5.86793397,5.95844915,0.14139927,0.06320147,0.60913948,0.29639209,0.05288234,1.45923774,0.66149273,2.72525293
-5.86193097,5.83416352,0.13967725,0.06130889,0.61375136,0.29409894,0.05212188,1.45622451,0.65385426,2.62746101
-5.85592796,5.69820263,0.13753889,0.05934475,0.61569668,0.29078266,0.05125290,1.44844547,0.64397673,2.52717010
-5.84992496,5.55261184,0.13501575,0.05734619,0.61507199,0.28654762,0.05030431,1.43641958,0.63201704,2.42522526
-5.84392196,5.39993163,0.13214767,0.05535324,0.61204988,0.28153283,0.04931062,1.42084324,0.61818415,2.32263033
-5.83791896,5.24313922,0.12898249,0.05340828,0.60687413,0.27590917,0.04831145,1.40257602,0.60273613,2.22051917
-5.83191596,5.08557553,0.12557569,0.05155532,0.59985200,0.26987546,0.04735088,1.38261953,0.58597545,2.12012462
-5.82591296,4.93085867,0.12198962,0.04983924,0.59134405,0.26365342,0.04647645,1.36209030,0.56824278,2.02274540
-5.81990995,4.78278618,0.11829249,0.04830500,0.58175203,0.25748178,0.04573815,1.34218736,0.54990917,1.92971139
-5.81390695,4.64522830,0.11455707,0.04699671,0.57150523,0.25160969,0.04518710,1.32415575,0.53136708,1.84234779
-5.80790395,4.52201565,0.11085909,0.04595670,0.56104610,0.24628975,0.04487416,1.30924736,0.51302049,1.76193880
-5.80190095,4.41682457,0.10727549,0.04522460,0.55081585,0.24177093,0.04484845,1.29868054,0.49527440,1.68969161
-5.79589795,4.33306417,0.10388242,0.04483631,0.54124055,0.23829156,0.04515578,1.29360013,0.47852423,1.62670141
-5.78989495,4.27376891,0.10075322,0.04482315,0.53271862,0.23607289,0.04583714,1.29503949,0.46314543,1.57391853
-5.78389195,4.24150082,0.09795631,0.04521092,0.52561019,0.23531321,0.04692721,1.30388608,0.44948384,1.53211852
-5.77788894,4.23826502,0.09555324,0.04601913,0.52022883,0.23618288,0.04845299,1.32085198,0.43784703,1.50187640
-5.77188594,4.26544206,0.09359686,0.04726032,0.51683594,0.23882055,0.05043261,1.34645064,0.42849720,1.48354576
-5.76588294,4.32373981,0.09212978,0.04893958,0.51563808,0.24333037,0.05287436,1.38098070,0.42164567,1.47724390
-5.75987994,4.41316710,0.09118313,0.05105415,0.51678714,0.24978064,0.05577597,1.42451757,0.41744926,1.48284343
-5.75387694,4.53303036,0.09077571,0.05359330,0.52038322,0.25820359,0.05912422,1.47691312,0.41600876,1.49997117
-5.74787394,4.68195361,0.09091364,0.05653843,0.52647978,0.26859639,0.06289490,1.53780327,0.41736920,1.52801434
-5.74187094,4.85792095,0.09159037,0.05986329,0.53509073,0.28092319,0.06705305,1.60662320,0.42152214,1.56613426
-5.73586793,5.05834010,0.09278718,0.06353456,0.54619868,0.29511811,0.07155368,1.68262927,0.42840945,1.61328710
-5.72986493,5.28012402,0.09447407,0.06751250,0.55976375,0.31108879,0.07634274,1.76492656,0.43792855,1.66825124
-5.72386193,5.51978727,0.09661106,0.07175187,0.57573220,0.32872045,0.08135840,1.85250077,0.44993859,1.72966008
-5.71785893,5.77355263,0.09914969,0.07620295,0.59404417,0.34788009,0.08653274,1.94425261,0.46426717,1.79603931
