energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.33779723,0.08612417,0.00071129,0.10058906,0.04308947,0.19512518,0.00000000
-5.99399700,0.36075533,0.09200761,0.00075928,0.10731486,0.04602750,0.20838107,0.00000000
-5.98799400,0.38267856,0.09759526,0.00080501,0.11379357,0.04884531,0.22105450,0.00000000
-5.98199100,0.40318142,0.10278788,0.00084764,0.11990858,0.05149550,0.23292385,0.00000000
-5.97598799,0.42190004,0.10749000,0.00088638,0.12555298,0.05393405,0.24378082,0.00000000
-5.96998499,0.43850405,0.11161305,0.00092048,0.13063289,0.05612191,0.25343730,0.00000000
-5.96398199,0.45270825,0.11507831,0.00094929,0.13507073,0.05802652,0.26173208,0.00000000
-5.95797899,0.46428345,0.11781973,0.00097229,0.13880834,0.05962320,0.26853717,0.00000000
-5.95197599,0.47306606,0.11978633,0.00098906,0.14180973,0.06089642,0.27376329,0.00000000
-5.94597299,0.47896570,0.12094420,0.00099935,0.14406325,0.06184083,0.27736432,0.00000000
-5.93996998,0.48197061,0.12127787,0.00100304,0.14558315,0.06246191,0.27934039,0.00000000
-5.93396698,0.48215037,0.12079110,0.00100021,0.14641023,0.06277629,0.27973939,0.00000000
-5.92796398,0.47965566,0.11950688,0.00099107,0.14661161,0.06281174,0.27865679,0.00000000
-5.92196098,0.47471518,0.11746689,0.00097600,0.14627953,0.06260659,0.27623374,0.00000000
-5.91595798,0.46762947,0.11473011,0.00095552,0.14552918,0.06220890,0.27265330,0.00000000
-5.90995498,0.45876211,0.11137096,0.00093030,0.14449560,0.06167508,0.26813516,0.00000000
-5.90395198,0.44852826,0.10747681,0.00090109,0.14332968,0.06106821,0.26292873,0.00000000
-5.89794897,0.43738137,0.10314511,0.00086874,0.14219348,0.06045608,0.25730503,0.00000000
-5.89194597,0.42579817,0.09848021,0.00083414,0.14125494,0.05990883,0.25154765,0.00000000
-5.88594297,0.41426274,0.09359003,0.00079823,0.14068222,0.05949661,0.24594299,0.00000000
-5.87993997,0.40325034,0.08858272,0.00076192,0.14063782,0.05928700,0.24077031,0.00000000
-5.87393697,0.39321137,0.08356339,0.00072611,0.14127281,0.05934249,0.23629184,0.00000000
-5.86793397,0.38455637,0.07863118,0.00069164,0.14272135,0.05971811,0.23274339,0.00000000
-5.86193097,0.37764249,0.07387663,0.00065925,0.14509568,0.06045915,0.23032578,0.00000000
-5.85592796,0.37276201,0.06937950,0.00062961,0.14848193,0.06159932,0.22919744,0.00000000
-5.84992496,0.37013340,0.06520716,0.00060325,0.15293688,0.06315914,0.22946850,0.00000000
-5.84392196,0.36989517,0.06141353,0.00058059,0.15848587,0.06514486,0.23119645,0.00000000
-5.83791896,0.37210297,0.05803856,0.00056193,0.16512200,0.06754792,0.23438383,0.00000000
-5.83191596,0.37672979,0.05510833,0.00054742,0.17280677,0.07034484,0.23897770,0.00000000
-5.82591296,0.38366963,0.05263573,0.00053712,0.18147214,0.07349781,0.24487126,0.00000000
-5.81990995,0.39274421,0.05062152,0.00053096,0.19102405,0.07695581,0.25190736,0.00000000
-5.81390695,0.40371270,0.04905595,0.00052878,0.20134730,0.08065622,0.25988387,0.00000000
-5.80790395,0.41628396,0.04792063,0.00053037,0.21231167,0.08452706,0.26856079,0.00000000
-5.80190095,0.43013103,0.04719070,0.00053545,0.22377905,0.08848950,0.27766866,0.00000000
-5.79589795,0.44490702,0.04683708,0.00054372,0.23561129,0.09246090,0.28691822,0.00000000
-5.78989495,0.46026197,0.04682887,0.00055486,0.24767850,0.09635790,0.29601075,0.00000000
-5.78389195,0.47585985,0.04713563,0.00056861,0.25986727,0.10009972,0.30464876,0.00000000
-5.77788894,0.49139495,0.04772941,0.00058470,0.27208857,0.10361141,0.31254666,0.00000000
-5.77188594,0.50660690,0.04858673,0.00060298,0.28428472,0.10682682,0.31944087,0.00000000
-5.76588294,0.52129358,0.04968999,0.00062333,0.29643510,0.10969138,0.32509911,0.00000000
-5.75987994,0.53532123,0.05102860,0.00064575,0.30856010,0.11216427,0.32932829,0.00000000
-5.75387694,0.54863114,0.05259958,0.00067032,0.32072308,0.11422015,0.33198094,0.00000000
-5.74787394,0.56124255,0.05440764,0.00069721,0.33302988,0.11585007,0.33295956,0.00000000
-5.74187094,0.57325140,0.05646475,0.00072669,0.34562585,0.11706175,0.33221914,0.00000000
-5.73586793,0.58482486,0.05878915,0.00075908,0.35869027,0.11787902,0.32976733,0.00000000
-5.72986493,0.59619174,0.06140384,0.00079477,0.37242821,0.11834056,0.32566270,0.00000000
-5.72386193,0.60762912,0.06433469,0.00083418,0.38706013,0.11849782,0.32001079,0.00000000
-5.71785893,0.61944572,0.06760810,0.00087771,0.40280947,0.11841240,0.31295854,0.00000000
-5.71185593,0.63196273,0.07124844,0.00092574,0.41988880,0.11815292,0.30468710,0.00000000
-5.70585293,0.64549302,0.07527533,0.00097857,0.43848518,0.11779144,0.29540360,0.00000000
