energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.82874996,0.00896260,1.04954903,0.48562427,0.10090860,2.04041945,1.84541497,0.04131951,1.18263244
-5.99399700,4.77110659,0.00818360,1.04949999,0.48020397,0.10251006,2.05630092,1.83595740,0.03880313,1.15639820
-5.98799400,4.72802638,0.00745472,1.05323095,0.47348335,0.10472864,2.07866504,1.83354789,0.03659308,1.13285046
-5.98199100,4.70004426,0.00677750,1.06091633,0.46564582,0.10751897,2.10742728,1.83856653,0.03468275,1.11202938
-5.97598799,4.68758731,0.00615253,1.07271699,0.45690116,0.11082477,2.14238590,1.85139580,0.03305920,1.09393874
-5.96998499,4.69095097,0.00557960,1.08876915,0.44747773,0.11458040,2.18322533,1.87239934,0.03170389,1.07854726
-5.96398199,4.71027744,0.00505780,1.10917304,0.43761488,0.11871277,2.22952444,1.90189900,0.03059362,1.06579144
-5.95797899,4.74553790,0.00458569,1.13398202,0.42755567,0.12314348,2.28076915,1.94015109,0.02970144,1.05557980
-5.95197599,4.79651940,0.00416140,1.16319252,0.41754028,0.12779113,2.33636884,1.98732324,0.02899765,1.04779845
-5.94597299,4.86281733,0.00378278,1.19673566,0.40780040,0.13257379,2.39567570,2.04347301,0.02845081,1.04231757
-5.93996998,4.94383350,0.00344743,1.23447046,0.39855464,0.13741142,2.45800586,2.10852912,0.02802871,1.03899877
-5.93396698,5.03877971,0.00315286,1.27617936,0.39000507,0.14222825,2.52266106,2.18227619,0.02769931,1.03770250
-5.92796398,5.14668624,0.00289652,1.32156579,0.38233479,0.14695485,2.58894952,2.26434349,0.02743158,1.03829551
-5.92196098,5.26641438,0.00267587,1.37025420,0.37570648,0.15153002,2.65620486,2.35419811,0.02719625,1.04065732
-5.91595798,5.39667179,0.00248842,1.42179214,0.37026172,0.15590219,2.72380182,2.45114273,0.02696654,1.04468572
-5.90995498,5.53602979,0.00233180,1.47565463,0.36612088,0.16003045,2.79116798,2.55431793,0.02671866,1.05030040
-5.90395198,5.68294119,0.00220376,1.53125030,0.36338336,0.16388495,2.85779094,2.66270903,0.02643225,1.05744467
-5.89794897,5.83575798,0.00210219,1.58792942,0.36212794,0.16744689,2.92322051,2.77515706,0.02609068,1.06608483
-5.89194597,5.99274792,0.00202513,1.64499338,0.36241307,0.17070790,2.98706627,2.89037359,0.02568124,1.07620715
