energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-2.00200100,2.65231135,1.11943616,0.53490146,0.86650857,0.19020615,0.03424131,0.63826142,0.06588019,0.64228293
-1.99599800,2.58008945,1.09617464,0.51684858,0.84784750,0.18479912,0.03506114,0.62256410,0.06404810,0.63063467
-1.98999500,2.50023581,1.06896737,0.49758650,0.82583321,0.17898925,0.03574153,0.60437399,0.06210873,0.61677330
-1.98399200,2.41382514,1.03823421,0.47740900,0.80077549,0.17283088,0.03626857,0.58392579,0.06008065,0.60090565
-1.97798899,2.32206542,1.00446262,0.45663197,0.77304828,0.16638407,0.03663179,0.56149742,0.05798467,0.58328267
-1.97198599,2.22627710,0.96819631,0.43558677,0.74308220,0.15971438,0.03682447,0.53740487,0.05584392,0.56419473
-1.96598299,2.12786891,0.93002294,0.41461338,0.71135506,0.15289239,0.03684387,0.51199561,0.05368372,0.54396586
-1.95997999,2.02831064,0.89056086,0.39405332,0.67838074,0.14599310,0.03669137,0.48564086,0.05153142,0.52294680
-1.95397699,1.92910318,0.85044533,0.37424254,0.64469663,0.13909494,0.03637253,0.45872683,0.04941602,0.50150711
-1.94797399,1.83174647,0.81031424,0.35550430,0.61085008,0.13227862,0.03589689,0.43164538,0.04736773,0.48002656
-1.94197099,1.73770598,0.77079383,0.33814211,0.57738428,0.12562569,0.03527777,0.40478425,0.04541733,0.45888578
-1.93596798,1.64837859,0.73248444,0.32243290,0.54482415,0.11921687,0.03453182,0.37851739,0.04359545,0.43845664
-1.92996498,1.56505878,0.69594678,0.30862054,0.51366251,0.11313024,0.03367850,0.35319563,0.04193175,0.41909253
-1.92396198,1.48890609,0.66168900,0.29690978,0.48434721,0.10743928,0.03273943,0.32913809,0.04045400,0.40111880
-1.91795898,1.42091484,0.63015472,0.28746084,0.45726956,0.10221087,0.03173764,0.30662451,0.03918718,0.38482371
-1.91195598,1.36188714,0.60171262,0.28038470,0.43275444,0.09750337,0.03069679,0.28588893,0.03815251,0.37045020
-1.90595298,1.31241016,0.57664762,0.27573944,0.41105237,0.09336470,0.02964033,0.26711478,0.03736660,0.35818871
-1.89994997,1.27283842,0.55515412,0.27352753,0.39233395,0.08983075,0.02859067,0.25043151,0.03684064,0.34817138
-1.89394697,1.24328204,0.53733144,0.27369444,0.37668659,0.08692395,0.02756843,0.23591295,0.03657974,0.34046781
-1.88794397,1.22360134,0.52318179,0.27612862,0.36411382,0.08465225,0.02659176,0.22357730,0.03658244,0.33508261
-1.88194097,1.21340837,0.51261082,0.28066284,0.35453703,0.08300845,0.02567570,0.21338871,0.03684038,0.33195486
-1.87593797,1.21207555,0.50543083,0.28707723,0.34779968,0.08197003,0.02483181,0.20526039,0.03733824,0.33095961
