energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.16573524,0.08021825,0.00000000,0.03049341,1.31865132,1.13037540,0.44706660
-5.99399700,2.13959308,0.07918142,0.00000000,0.03002346,1.30420821,1.12224866,0.44187885
-5.98799400,2.10368146,0.07775259,0.00000000,0.02943588,1.28378981,1.10956941,0.43450789
-5.98199100,2.05810153,0.07594492,0.00000000,0.02873242,1.25744756,1.09215658,0.42501155
-5.97598799,2.00317919,0.07377975,0.00000000,0.02791709,1.22536484,1.06995905,0.41348934
-5.96998499,1.93946017,0.07128615,0.00000000,0.02699620,1.18785490,1.04305870,0.40008090
-5.96398199,1.86769751,0.06850040,0.00000000,0.02597822,1.14535455,1.01166883,0.38496317
-5.95797899,1.78883237,0.06546513,0.00000000,0.02487372,1.09841378,0.97612798,0.36834634
-5.95197599,1.70396916,0.06222835,0.00000000,0.02369507,1.04768181,0.93688991,0.35046876
-5.94597299,1.61434605,0.05884236,0.00000000,0.02245619,0.99389043,0.89450997,0.33159117
-5.93996998,1.52130256,0.05536254,0.00000000,0.02117224,0.93783519,0.84962900,0.31199023
-5.93396698,1.42624535,0.05184620,0.00000000,0.01985926,0.88035543,0.80295521,0.29195190
-5.92796398,1.33061388,0.04835132,0.00000000,0.01853375,0.82231384,0.75524501,0.27176475
-5.92196098,1.23584706,0.04493548,0.00000000,0.01721232,0.76457649,0.70728354,0.25171353
-5.91595798,1.14335218,0.04165477,0.00000000,0.01591134,0.70799391,0.65986556,0.23207319
-5.90995498,1.05447685,0.03856288,0.00000000,0.01464653,0.65338377,0.61377735,0.21310363
-5.90395198,0.97048473,0.03571032,0.00000000,0.01343271,0.60151577,0.56978002,0.19504514
-5.89794897,0.89253528,0.03314370,0.00000000,0.01228352,0.55309880,0.52859460,0.17811479
-5.89194597,0.82166769,0.03090518,0.00000000,0.01121117,0.50877058,0.49088912,0.16250370
-5.88594297,0.75878876,0.02903205,0.00000000,0.01022633,0.46908974,0.45726763,0.14837526
-5.87993997,0.70466441,0.02755634,0.00000000,0.00933798,0.43453015,0.42826117,0.13586405
-5.87393697,0.65991431,0.02650450,0.00000000,0.00855337,0.40547727,0.40432053,0.12507567
-5.86793397,0.62500899,0.02589721,0.00000000,0.00787800,0.38222619,0.38581049,0.11608701
-5.86193097,0.60026896,0.02574906,0.00000000,0.00731563,0.36498100,0.37300545,0.10894719
-5.85592796,0.58586516,0.02606837,0.00000000,0.00686837,0.35385521,0.36608611,0.10367871
-5.84992496,0.58182041,0.02685695,0.00000000,0.00653674,0.34887296,0.36513705,0.10027897
-5.84392196,0.58801147,0.02810987,0.00000000,0.00631977,0.34997074,0.37014510,0.09872188
-5.83791896,0.60417178,0.02981526,0.00000000,0.00621512,0.35699963,0.38099858,0.09895960
-5.83191596,0.62989471,0.03195413,0.00000000,0.00621921,0.36972791,0.39748724,0.10092430
-5.82591296,0.66463771,0.03450026,0.00000000,0.00632736,0.38784433,0.41930336,0.10452994
-5.81990995,0.70772766,0.03742017,0.00000000,0.00653391,0.41096192,0.44604399,0.10967413
-5.81390695,0.75836782,0.04067328,0.00000000,0.00683235,0.43862280,0.47721473,0.11624001
