energy_ev,total_up,B_p_up,B_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,6.78311831,0.05655491,0.00000000,3.87590400,2.43695021,0.02536386,4.07711239
-5.99399700,6.76590446,0.05589227,0.00000000,3.84740502,2.44055023,0.02517453,4.07296995
-5.98799400,6.73373537,0.05509625,0.00000000,3.81054481,2.43845389,0.02494977,4.06113132
-5.98199100,6.68704293,0.05417374,0.00000000,3.76572548,2.43068453,0.02469340,4.04191323
-5.97598799,6.62644087,0.05313392,0.00000000,3.71345638,2.41732746,0.02440985,4.01571732
-5.96998499,6.55271070,0.05198805,0.00000000,3.65434411,2.39852752,0.02410400,3.98301769
-5.96398199,6.46678352,0.05074930,0.00000000,3.58908033,2.37448525,0.02378105,3.94434693
-5.95797899,6.36971857,0.04943248,0.00000000,3.51842786,2.34545187,0.02344638,3.90028127
-5.95197599,6.26267933,0.04805364,0.00000000,3.44320532,2.31172329,0.02310540,3.85142563
-5.94597299,6.14690819,0.04662981,0.00000000,3.36427097,2.27363360,0.02276335,3.79839923
-5.93996998,6.02370080,0.04517854,0.00000000,3.28250633,2.23154837,0.02242514,3.74182267
-5.93396698,5.89438135,0.04371755,0.00000000,3.19880009,2.18585810,0.02209525,3.68230704
-5.92796398,5.76027990,0.04226432,0.00000000,3.11403303,2.13697233,0.02177752,3.62044577
-5.92196098,5.62271281,0.04083573,0.00000000,3.02906455,2.08531467,0.02147508,3.55680964
-5.91595798,5.48296718,0.03944772,0.00000000,2.94472130,2.03131905,0.02119027,3.49194528
-5.90995498,5.34229004,0.03811501,0.00000000,2.86178834,1.97542751,0.02092458,3.42637727
-5.90395198,5.20188252,0.03685084,0.00000000,2.78100324,1.91808940,0.02067864,3.36061356
-5.89794897,5.06289907,0.03566684,0.00000000,2.70305302,1.85976218,0.02045226,3.29515396
-5.89194597,4.92645140,0.03457288,0.00000000,2.62857406,1.80091355,0.02024451,3.23050106
-5.88594297,4.79361632,0.03357709,0.00000000,2.55815456,1.74202456,0.02005380,3.16717255
-5.87993997,4.66544647,0.03268583,0.00000000,2.49233915,1.68359350,0.01987803,3.10571421
-5.87393697,4.54298267,0.03190385,0.00000000,2.43163502,1.62613984,0.01971477,3.04671210
-5.86793397,4.42726619,0.03123435,0.00000000,2.37651872,1.57020781,0.01956140,2.99080310
-5.86193097,4.31934953,0.03067921,0.00000000,2.32744295,1.51636914,0.01941533,2.93868229
-5.85592796,4.22030399,0.03023914,0.00000000,2.28484232,1.46522406,0.01927414,2.89110638
-5.84992496,4.13122264,0.02991387,0.00000000,2.24913735,1.41740048,0.01913578,2.84889218
-5.84392196,4.05321751,0.02970235,0.00000000,2.22073603,1.37355058,0.01899866,2.81290937
-5.83791896,3.98741009,0.02960291,0.00000000,2.20003227,1.33434471,0.01886183,2.78406745
-5.83191596,3.93491472,0.02961335,0.00000000,2.18740101,1.30046226,0.01872494,2.76329660
-5.82591296,3.89681488,0.02973107,0.00000000,2.18318978,1.27257974,0.01858836,2.75152291
-5.81990995,3.87413295,0.02995304,0.00000000,2.18770692,1.25135593,0.01845312,2.74963867
-5.81390695,3.86779418,0.03027587,0.00000000,2.20120674,1.23741466,0.01832081,2.75846868
-5.80790395,3.87858647,0.03069570,0.00000000,2.22387241,1.23132562,0.01819354,2.77873381
-5.80190095,3.90711767,0.03120816,0.00000000,2.25579717,1.23358385,0.01807376,2.81101350
-5.79589795,3.95377221,0.03180821,0.00000000,2.29696503,1.24458864,0.01796410,2.85570873
-5.78989495,4.01866952,0.03249005,0.00000000,2.34723200,1.26462278,0.01786724,2.91300732
-5.78389195,4.10162635,0.03324699,0.00000000,2.40630898,1.29383298,0.01778564,2.98285334
-5.77788894,4.20212531,0.03407132,0.00000000,2.47374744,1.33221253,0.01772146,3.06492231
-5.77188594,4.31929157,0.03495423,0.00000000,2.54892901,1.37958712,0.01767634,3.15860380
