energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.17022722,0.04723418,0.36718946,0.81123826,0.00000000,0.21205548,0.10785415,0.73062745,0.53962570
-5.99399700,2.11564868,0.04659829,0.35997790,0.78718656,0.00000000,0.20626531,0.10322075,0.71240660,0.52573927
-5.98799400,2.06803397,0.04602259,0.35396061,0.76613285,0.00000000,0.20162056,0.09875400,0.69659835,0.51377981
-5.98199100,2.02827978,0.04552510,0.34917659,0.74854145,0.00000000,0.19823021,0.09453577,0.68350778,0.50387808
-5.97598799,1.99715634,0.04512243,0.34564706,0.73481837,0.00000000,0.19618682,0.09064320,0.67339334,0.49614319
-5.96998499,1.97530061,0.04482961,0.34337514,0.72530820,0.00000000,0.19556665,0.08714767,0.66646477,0.49065997
-5.96398199,1.96321565,0.04465989,0.34234671,0.72029377,0.00000000,0.19643025,0.08411418,0.66288327,0.48748772
-5.95797899,1.96127585,0.04462465,0.34253209,0.71999809,0.00000000,0.19882351,0.08160091,0.66276383,0.48666052
-5.95197599,1.96973663,0.04473341,0.34388863,0.72458827,0.00000000,0.20277898,0.07965910,0.66617936,0.48818861
-5.94597299,1.98874751,0.04499384,0.34636370,0.73418090,0.00000000,0.20831726,0.07833294,0.67316614,0.49206070
-5.93996998,2.01836706,0.04541182,0.34989811,0.74884814,0.00000000,0.21544846,0.07765972,0.68373016,0.49824684
-5.93396698,2.05857812,0.04599159,0.35442944,0.76862413,0.00000000,0.22417339,0.07766988,0.69785368,0.50670141
-5.92796398,2.10930185,0.04673588,0.35989524,0.79351079,0.00000000,0.23448446,0.07838714,0.71550161,0.51736603
-5.92196098,2.17040939,0.04764599,0.36623576,0.82348272,0.00000000,0.24636616,0.07982853,0.73662699,0.53017188
-5.91595798,2.24172982,0.04872190,0.37339600,0.85849051,0.00000000,0.25979500,0.08200429,0.76117539,0.54504145
-5.90995498,2.32305381,0.04996237,0.38132701,0.89846229,0.00000000,0.27473894,0.08491766,0.78908759,0.56188921
-5.90395198,2.41413257,0.05136494,0.38998628,0.94330317,0.00000000,0.29115632,0.08856456,0.82030051,0.58062150
-5.89794897,2.51467202,0.05292588,0.39933729,0.99289274,0.00000000,0.30899428,0.09293311,0.85474625,0.60113531
-5.89194597,2.62432276,0.05464015,0.40934821,1.04708061,0.00000000,0.32818690,0.09800308,0.89234928,0.62331638
-5.88594297,2.74266653,0.05650128,0.41998984,1.10568051,0.00000000,0.34865314,0.10374534,0.93302192,0.64703657
-5.87993997,2.86920055,0.05850118,0.43123299,1.16846332,0.00000000,0.37029476,0.11012130,0.97665860,0.67215104
-5.87393697,3.00332093,0.06063002,0.44304562,1.23514967,0.00000000,0.39299443,0.11708241,1.02312922,0.69849530
-5.86793397,3.14430698,0.06287603,0.45538972,1.30540283,0.00000000,0.41661430,0.12456991,1.07227213,0.72588282
-5.86193097,3.29130796,0.06522533,0.46821843,1.37882259,0.00000000,0.44099507,0.13251477,1.12388745,0.75410328
-5.85592796,3.44333384,0.06766192,0.48147357,1.45494078,0.00000000,0.46595593,0.14083791,1.17773105,0.78292192
-5.84992496,3.59925160,0.07016753,0.49508374,1.53321913,0.00000000,0.49129532,0.14945082,1.23351006,0.81208035
-5.84392196,3.75778795,0.07272178,0.50896332,1.61304996,0.00000000,0.51679272,0.15825651,1.29088012,0.84129886
-5.83791896,3.91753948,0.07530223,0.52301230,1.69375999,0.00000000,0.54221137,0.16715088,1.34944487,0.87028040
-5.83191596,4.07699022,0.07788472,0.53711732,1.77461753,0.00000000,0.56730208,0.17602444,1.40875793,0.89871624
-5.82591296,4.23453661,0.08044366,0.55115358,1.85484298,0.00000000,0.59180775,0.18476438,1.46832742,0.92629309
-5.81990995,4.38851918,0.08295250,0.56498787,1.93362238,0.00000000,0.61546874,0.19325689,1.52762303,0.95270157
-5.81390695,4.53725973,0.08538431,0.57848233,2.01012363,0.00000000,0.63802867,0.20138967,1.58608531,0.97764545
-5.80790395,4.67910260,0.08771233,0.59149898,2.08351479,0.00000000,0.65924056,0.20905461,1.64313708,1.00085154
-5.80190095,4.81245824,0.08991065,0.60390465,2.15298369,0.00000000,0.67887295,0.21615032,1.69819618,1.02207937
-5.79589795,4.93584701,0.09195488,0.61557599,2.21775814,0.00000000,0.69671577,0.22258468,1.75068933,1.04113051
-5.78989495,5.04794132,0.09382278,0.62640448,2.27712568,0.00000000,0.71258579,0.22827708,1.80006627,1.05785676
