energy_ev,total_up,Bi_p_up,Bi_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.14420004,0.34813805,0.00332837,0.92464448,0.47684221,0.03552036,1.14631396
-5.99399700,2.17759259,0.35350635,0.00339869,0.94249501,0.48398053,0.03589041,1.16489219
-5.98799400,2.20385650,0.35706992,0.00346316,0.95670686,0.48976114,0.03611870,1.18031856
-5.98199100,2.22301518,0.35878609,0.00352243,0.96711893,0.49421404,0.03620058,1.19265329
-5.97598799,2.23522305,0.35864597,0.00357727,0.97364447,0.49739211,0.03613369,1.20201440
-5.96998499,2.24075931,0.35667501,0.00362853,0.97627544,0.49936877,0.03591822,1.20857237
-5.96398199,2.24001684,0.35293246,0.00367712,0.97508400,0.50023490,0.03555704,1.21254280
-5.95797899,2.23348686,0.34750977,0.00372392,0.97022089,0.50009500,0.03505579,1.21417688
-5.95197599,2.22173968,0.34052807,0.00376973,0.96191071,0.49906289,0.03442292,1.21375044
-5.94597299,2.20540267,0.33213464,0.00381523,0.95044438,0.49725710,0.03366958,1.21155172
-5.93996998,2.18513620,0.32249874,0.00386091,0.93616888,0.49479613,0.03280948,1.20786877
-5.93396698,2.16160891,0.31180687,0.00390703,0.91947498,0.49179386,0.03185871,1.20297689
-5.92796398,2.13547348,0.30025762,0.00395358,0.90078335,0.48835531,0.03083537,1.19712686
-5.92196098,2.10734416,0.28805651,0.00400028,0.88052993,0.48457311,0.02975929,1.19053465
-5.91595798,2.07777709,0.27541077,0.00404655,0.85915102,0.48052467,0.02865158,1.18337315
-5.90995498,2.04725467,0.26252452,0.00409153,0.83706908,0.47627036,0.02753421,1.17576638
-5.90395198,2.01617449,0.24959436,0.00413410,0.81467976,0.47185276,0.02642960,1.16778656
-5.89794897,1.98484337,0.23680555,0.00417293,0.79234075,0.46729703,0.02536013,1.15945431
-5.89194597,1.95347682,0.22432894,0.00420651,0.77036304,0.46261228,0.02434771,1.15074172
-5.88594297,1.92220360,0.21231859,0.00423326,0.74900474,0.45779396,0.02341338,1.14157842
-5.87993997,1.89107499,0.20091022,0.00425155,0.72846787,0.45282706,0.02257693,1.13186002
-5.87393697,1.86007794,0.19022032,0.00425980,0.70889785,0.44768980,0.02185653,1.12145856
-5.86793397,1.82915123,0.18034600,0.00425660,0.69038572,0.44235773,0.02126844,1.11023420
