energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.52075361,1.43764374,0.50850177,0.08043974,0.00241308,0.00064927,1.17851130
-5.99399700,1.38605350,1.30890040,0.46335983,0.07483417,0.00219400,0.00061751,1.07179139
-5.98799400,1.26034646,1.18957490,0.42093317,0.06983084,0.00199081,0.00059122,0.97181144
-5.98199100,1.14492364,1.08085252,0.38164866,0.06551624,0.00180546,0.00057121,0.87954322
-5.97598799,1.04080169,0.98364845,0.34584746,0.06196133,0.00163946,0.00055819,0.79574832
-5.96998499,0.94872139,0.89860901,0.31378362,0.05922087,0.00149386,0.00055275,0.72097798
-5.96398199,0.86915321,0.82611913,0.28562522,0.05733293,0.00136926,0.00055531,0.65557855
-5.95797899,0.80230866,0.76631491,0.26145754,0.05631873,0.00126588,0.00056614,0.59970139
-5.95197599,0.74815610,0.71909988,0.24128790,0.05618265,0.00118353,0.00058535,0.55331638
-5.94597299,0.70643988,0.68416404,0.22505184,0.05691247,0.00112166,0.00061288,0.51622793
-5.93996998,0.67670182,0.66100463,0.21262017,0.05847978,0.00107942,0.00064848,0.48809282
-5.93396698,0.65830412,0.64894791,0.20380664,0.06084054,0.00105569,0.00069175,0.46843890
-5.92796398,0.65045310,0.64717149,0.19837598,0.06393586,0.00104910,0.00074207,0.45668424
-5.92196098,0.65222319,0.65472676,0.19605199,0.06769296,0.00105807,0.00079869,0.45215633
-5.91595798,0.66258106,0.67056136,0.19652566,0.07202640,0.00108087,0.00086067,0.45411074
-5.90995498,0.68040956,0.69354162,0.19946313,0.07683951,0.00111565,0.00092693,0.46174953
-5.90395198,0.70453154,0.72247505,0.20451350,0.08202613,0.00116045,0.00099626,0.47423882
-5.89794897,0.73373343,0.75613290,0.21131629,0.08747260,0.00121329,0.00106733,0.49072594
-5.89194597,0.76678862,0.79327280,0.21950880,0.09306006,0.00127215,0.00113872,0.51035574
-5.88594297,0.80248048,0.83266143,0.22873296,0.09866693,0.00133504,0.00120899,0.53228629
-5.87993997,0.83962485,0.87309703,0.23864195,0.10417163,0.00140003,0.00127664,0.55570375
-5.87393697,0.87709165,0.91343143,0.24890631,0.10945539,0.00146528,0.00134022,0.57983622
-5.86793397,0.91382527,0.95259103,0.25921947,0.11440515,0.00152908,0.00139833,0.60396642
-5.86193097,0.94886315,0.98959631,0.26930271,0.11891631,0.00158986,0.00144966,0.62744293
-5.85592796,0.98135201,1.02357917,0.27890916,0.12289539,0.00164624,0.00149305,0.64968960
-5.84992496,1.01056117,1.05379735,0.28782700,0.12626233,0.00169703,0.00152748,0.67021289
-5.84392196,1.03589235,1.07964542,0.29588155,0.12895246,0.00174127,0.00155216,0.68860683
-5.83791896,1.05688554,1.10066173,0.30293617,0.13091794,0.00177822,0.00156650,0.70455533
-5.83191596,1.07322057,1.11653088,0.30889206,0.13212866,0.00180738,0.00157015,0.71783175
-5.82591296,1.08471436,1.12708168,0.31368676,0.13257250,0.00182844,0.00156302,0.72829570
-5.81990995,1.09131377,1.13228045,0.31729159,0.13225503,0.00184134,0.00154523,0.73588715
-5.81390695,1.09308448,1.13222004,0.31970803,0.13119853,0.00184619,0.00151717,0.74061817
-5.80790395,1.09019640,1.12710505,0.32096328,0.12944049,0.00184328,0.00147944,0.74256268
-5.80190095,1.08290629,1.11723398,0.32110520,0.12703164,0.00183303,0.00143282,0.74184464
-5.79589795,1.07153853,1.10297927,0.32019690,0.12403354,0.00181597,0.00137828,0.73862544
-5.78989495,1.05646499,1.08476607,0.31831130,0.12051597,0.00179271,0.00131689,0.73309101
-5.78389195,1.03808502,1.06305105,0.31552589,0.11655418,0.00176390,0.00124985,0.72543946
-5.77788894,1.01680657,1.03830209,0.31191800,0.11222609,0.00173020,0.00117839,0.71586971
-5.77188594,0.99302931,1.01097989,0.30756082,0.10760969,0.00169225,0.00110377,0.70457182
-5.76588294,0.96713045,0.98152232,0.30252028,0.10278063,0.00165065,0.00102721,0.69171938
-5.75987994,0.93945397,0.95033204,0.29685311,0.09781019,0.00160595,0.00094990,0.67746427
-5.75387694,0.91030330,0.91776787,0.29060576,0.09276362,0.00155863,0.00087293,0.66193393
-5.74787394,0.87993779,0.88413991,0.28381463,0.08769895,0.00150909,0.00079730,0.64523104
-5.74187094,0.84857261,0.84970834,0.27650703,0.08266623,0.00145768,0.00072387,0.62743551
-5.73586793,0.81638178,0.81468561,0.26870313,0.07770728,0.00140465,0.00065339,0.60860838
-5.72986493,0.78350376,0.77924133,0.26041838,0.07285576,0.00135022,0.00058643,0.58879710
-5.72386193,0.75004891,0.74350936,0.25166635,0.06813764,0.00129457,0.00052346,0.56804183
-5.71785893,0.71610803,0.70759624,0.24246168,0.06357191,0.00123783,0.00046478,0.54638205
-5.71185593,0.68176128,0.67159017,0.23282291,0.05917155,0.00118014,0.00041060,0.52386299
-5.70585293,0.64708668,0.63556986,0.22277492,0.05494453,0.00112163,0.00036098,0.50054136
-5.69984992,0.61216765,0.59961261,0.21235093,0.05089489,0.00106245,0.00031591,0.47649001
-5.69384692,0.57709894,0.56380095,0.20159373,0.04702377,0.00100278,0.00027526,0.45180108
-5.68784392,0.54199080,0.52822758,0.19055625,0.04333037,0.00094281,0.00023886,0.42658761
-5.68184092,0.50697099,0.49299842,0.17930136,0.03981274,0.00088278,0.00020648,0.40098338
-5.67583792,0.47218489,0.45823358,0.16790093,0.03646841,0.00082297,0.00017786,0.37514124
-5.66983492,0.43779353,0.42406649,0.15643422,0.03329489,0.00076367,0.00015269,0.34922992
-5.66383192,0.40397011,0.39064131,0.14498585,0.03028995,0.00070521,0.00013068,0.32342963
