energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,1.74105341,0.00542342,0.08600391,0.46304222,0.20208402,0.57637844,0.96994011,0.62778534,0.00000000
-5.99399700,1.57274407,0.00475147,0.07536753,0.41632996,0.18497266,0.51815155,0.87388149,0.57267912,0.00000000
-5.98799400,1.41766305,0.00413412,0.06571289,0.37305065,0.16907736,0.46422609,0.78547940,0.52189219,0.00000000
-5.98199100,1.27564821,0.00357224,0.05700449,0.33322678,0.15439486,0.41461417,0.70463267,0.47535241,0.00000000
-5.97598799,1.14635052,0.00306551,0.04919835,0.29682197,0.14090113,0.36925951,0.63113700,0.43292210,0.00000000
-5.96998499,1.02926484,0.00261261,0.04224396,0.26374942,0.12855465,0.32804731,0.56470126,0.39441050,0.00000000
-5.96398199,0.92376203,0.00221134,0.03608609,0.23388069,0.11729986,0.29081462,0.50496470,0.35958639,0.00000000
-5.95797899,0.82912113,0.00185888,0.03066641,0.20705463,0.10707073,0.25736064,0.45151449,0.32819075,0.00000000
-5.95197599,0.74456054,0.00155190,0.02592506,0.18308597,0.09779418,0.22745677,0.40390278,0.29994863,0.00000000
-5.94597299,0.66926723,0.00128677,0.02180192,0.16177344,0.08939339,0.20085599,0.36166300,0.27458016,0.00000000
-5.93996998,0.60242316,0.00105965,0.01823774,0.14290718,0.08179074,0.17730150,0.32432458,0.25181026,0.00000000
-5.93396698,0.54322823,0.00086668,0.01517507,0.12627522,0.07491041,0.15653432,0.29142605,0.23137677,0.00000000
-5.92796398,0.49091927,0.00070402,0.01255898,0.11166909,0.06868050,0.13829974,0.26252586,0.21303698,0.00000000
-5.92196098,0.44478487,0.00056802,0.01033765,0.09888829,0.06303470,0.12235267,0.23721103,0.19657238,0.00000000
-5.91595798,0.40417595,0.00045518,0.00846276,0.08774382,0.05791344,0.10846167,0.21510334,0.18179158,0.00000000
-5.90995498,0.36851207,0.00036229,0.00688975,0.07806059,0.05326459,0.09641190,0.19586322,0.16853169,0.00000000
-5.90395198,0.33728394,0.00028641,0.00557792,0.06967898,0.04904367,0.08600693,0.17919141,0.15665801,0.00000000
-5.89794897,0.31005229,0.00022490,0.00449052,0.06245546,0.04521366,0.07706951,0.16482853,0.14606243,0.00000000
-5.89194597,0.28644381,0.00017542,0.00359462,0.05626251,0.04174448,0.06944151,0.15255301,0.13666067,0.00000000
-5.88594297,0.26614460,0.00013591,0.00286099,0.05098791,0.03861219,0.06298306,0.14217752,0.12838863,0.00000000
-5.87993997,0.24889177,0.00010460,0.00226393,0.04653350,0.03579797,0.05757115,0.13354426,0.12119810,0.00000000
-5.87393697,0.23446387,0.00007997,0.00178103,0.04281364,0.03328700,0.05309773,0.12651966,0.11505211,0.00000000
-5.86793397,0.22267080,0.00006074,0.00139290,0.03975342,0.03106730,0.04946765,0.12098857,0.10992027,0.00000000
-5.86193097,0.21334357,0.00004584,0.00108290,0.03728672,0.02912850,0.04659629,0.11684855,0.10577415,0.00000000
-5.85592796,0.20632479,0.00003438,0.00083687,0.03535439,0.02746085,0.04440736,0.11400430,0.10258309,0.00000000
-5.84992496,0.20145999,0.00002563,0.00064288,0.03390239,0.02605419,0.04283069,0.11236273,0.10031056,0.00000000
-5.84392196,0.19859036,0.00001902,0.00049091,0.03288024,0.02489723,0.04180033,0.11182880,0.09891122,0.00000000
-5.83791896,0.19754711,0.00001407,0.00037267,0.03223963,0.02397694,0.04125286,0.11230216,0.09832882,0.00000000
-5.83191596,0.19814769,0.00001041,0.00028130,0.03193335,0.02327821,0.04112609,0.11367502,0.09849489,0.00000000
-5.82591296,0.20019381,0.00000774,0.00021123,0.03191452,0.02278372,0.04135813,0.11583100,0.09932847,0.00000000
-5.81990995,0.20347152,0.00000586,0.00015793,0.03213613,0.02247399,0.04188687,0.11864511,0.10073662,0.00000000
-5.81390695,0.20775296,0.00000459,0.00011777,0.03255093,0.02232771,0.04264984,0.12198485,0.10261578,0.00000000
-5.80790395,0.21279987,0.00000381,0.00008788,0.03311157,0.02232219,0.04358439,0.12571222,0.10485394,0.00000000
-5.80190095,0.21836850,0.00000346,0.00006600,0.03377099,0.02243397,0.04462829,0.12968664,0.10733338,0.00000000
-5.79589795,0.22421564,0.00000349,0.00005041,0.03448305,0.02263957,0.04572047,0.13376854,0.10993392,0.00000000
-5.78989495,0.23010552,0.00000388,0.00003979,0.03520334,0.02291630,0.04680210,0.13782341,0.11253651,0.00000000
-5.78389195,0.23581708,0.00000466,0.00003320,0.03589004,0.02324309,0.04781768,0.14172614,0.11502694,0.00000000
-5.77788894,0.24115143,0.00000587,0.00002998,0.03650485,0.02360135,0.04871627,0.14536549,0.11729957,0.00000000
-5.77188594,0.24593891,0.00000759,0.00002972,0.03701397,0.02397576,0.04945270,0.14864828,0.11926086,0.00000000
-5.76588294,0.25004567,0.00000992,0.00003225,0.03738891,0.02435500,0.04998867,0.15150333,0.12083254,0.00000000
-5.75987994,0.25337912,0.00001298,0.00003756,0.03760729,0.02473232,0.05029370,0.15388478,0.12195427,0.00000000
