energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.06406094,-1.82453401,0.57945477,-0.60274128,0.28015568,-0.61957196,0.00766410,-0.00673926,0.09991490,-0.46644224,0.56979524,-0.67604779,0.00000000,-0.00000000,0.28093920,-0.29724285,0.09889813,-0.12143927
-5.99399700,1.01087870,-1.86112715,0.56262073,-0.63084581,0.26040374,-0.62652307,0.00744521,-0.00689630,0.09588470,-0.47370232,0.54282831,-0.69484669,0.00000000,-0.00000000,0.26957798,-0.30542427,0.09388641,-0.12613975
-5.98799400,0.95713223,-1.89811640,0.54445671,-0.65883993,0.24125317,-0.63357978,0.00718564,-0.00700865,0.09215927,-0.48036948,0.51487573,-0.71475673,0.00000000,-0.00000000,0.25742950,-0.31486665,0.08865809,-0.13091688
-5.98199100,0.90308755,-1.93519236,0.52498958,-0.68638590,0.22276159,-0.64066307,0.00689165,-0.00707380,0.08864735,-0.48626817,0.48619562,-0.73574688,0.00000000,-0.00000000,0.24463000,-0.32556938,0.08327203,-0.13574449
-5.97598799,0.84904232,-1.97200060,0.50428635,-0.71316110,0.20498509,-0.64766936,0.00657036,-0.00709028,0.08526983,-0.49122185,0.45705799,-0.75775529,0.00000000,-0.00000000,0.23132769,-0.33749464,0.07778940,-0.14059403
-5.96998499,0.79531877,-2.00814966,0.48245322,-0.73886228,0.18797687,-0.65447463,0.00622950,-0.00705768,0.08196175,-0.49505802,0.42773795,-0.78068877,0.00000000,-0.00000000,0.21767860,-0.35056700,0.07227176,-0.14543485
-5.96398199,0.74225661,-2.04322102,0.45963337,-0.76320957,0.17178592,-0.66093951,0.00587727,-0.00697666,0.07867367,-0.49761369,0.39850951,-0.80442335,0.00000000,-0.00000000,0.20384241,-0.36467456,0.06677946,-0.15023449
-5.95797899,0.69020589,-2.07678013,0.43600345,-0.78595001,0.15645608,-0.66691502,0.00552219,-0.00684895,0.07537218,-0.49874076,0.36964009,-0.82880565,0.00000000,-0.00000000,0.18997871,-0.37967116,0.06137005,-0.15495909
-5.95197599,0.63952026,-2.10838810,0.41176899,-0.80686031,0.14202530,-0.67224860,0.00517295,-0.00667727,0.07203988,-0.49831105,0.34138571,-0.85365508,0.00000000,-0.00000000,0.17624362,-0.39537985,0.05609713,-0.15957380
-5.94597299,0.59055056,-2.13761305,0.38715904,-0.82574877,0.12852510,-0.67679017,0.00483824,-0.00646526,0.06867462,-0.49622087,0.31398707,-0.87876674,0.00000000,-0.00000000,0.16278684,-0.41159725,0.05100930,-0.16404327
-5.93996998,0.54363913,-2.16404075,0.36242007,-0.84245609,0.11598046,-0.68039770,0.00452665,-0.00621732,0.06528833,-0.49239460,0.28766655,-0.90391472,0.00000000,-0.00000000,0.14974924,-0.42809885,0.04614953,-0.16833214
-5.93396698,0.49911469,-2.18728400,0.33780959,-0.85685530,0.10440976,-0.68294227,0.00424657,-0.00593851,0.06190533,-0.48678738,0.26262596,-0.92885590,0.00000000,-0.00000000,0.13726097,-0.44464474,0.04155474,-0.17240551
