energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,4.85335398,0.03329698,0.76248617,0.66998150,0.37856571,2.03333130,0.00000000,2.72444380,1.42826258
-5.99399700,4.89796670,0.03318233,0.76026318,0.68165730,0.38308918,2.05826885,0.00000000,2.73597500,1.44191144
-5.98799400,4.94540722,0.03317245,0.75801203,0.69343838,0.38847064,2.08404550,0.00000000,2.74793663,1.45665648
-5.98199100,4.99527818,0.03325311,0.75581920,0.70533869,0.39463365,2.11039895,0.00000000,2.76031077,1.47238431
-5.97598799,5.04725349,0.03340972,0.75377949,0.71740576,0.40150226,2.13711567,0.00000000,2.77316663,1.48897383
-5.96998499,5.10108719,0.03362762,0.75199330,0.72971859,0.40900316,2.16403706,0.00000000,2.78665842,1.50629910
-5.96398199,5.15661725,0.03389242,0.75056367,0.74238403,0.41706716,2.19106249,0.00000000,2.80101859,1.52423232
-5.95797899,5.21376399,0.03419019,0.74959303,0.75553155,0.42563017,2.21814903,0.00000000,2.81654610,1.54264679
-5.95197599,5.27252255,0.03450777,0.74917977,0.76930658,0.43463346,2.24530779,0.00000000,2.83359011,1.56141940
-5.94597299,5.33294935,0.03483293,0.74941451,0.78386271,0.44402334,2.27259676,0.00000000,2.85252954,1.58043237
-5.93996998,5.39514277,0.03515450,0.75037638,0.79935285,0.45375015,2.30011051,0.00000000,2.87374892,1.59957408
-5.93396698,5.45921863,0.03546253,0.75212913,0.81591983,0.46376682,2.32796684,0.00000000,2.89761173,1.61873869
-5.92796398,5.52528128,0.03574825,0.75471736,0.83368661,0.47402698,2.35629122,0.00000000,2.92443219,1.63782451
-5.92196098,5.59339166,0.03600412,0.75816293,0.85274660,0.48448269,2.38519945,0.00000000,2.95444676,1.65673120
-5.91595798,5.66353390,0.03622372,0.76246172,0.87315455,0.49508211,2.41477951,0.00000000,2.98778690,1.67535587
-5.90995498,5.73558221,0.03640163,0.76758097,0.89491823,0.50576720,2.44507348,0.00000000,3.02445439,1.69358840
