energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.57507377,0.23375385,0.32157697,0.00053713,0.36197439,0.01026218,0.03732306
-5.99399700,0.61566731,0.25231295,0.34608823,0.00055105,0.38629623,0.01005922,0.04228687
-5.98799400,0.66471093,0.27435584,0.37372620,0.00057813,0.41499771,0.01006745,0.04815210
-5.98199100,0.72213891,0.29989379,0.40427019,0.00061764,0.44792414,0.01028655,0.05496940
-5.97598799,0.78780831,0.32890881,0.43745896,0.00066888,0.48487273,0.01071432,0.06278322
-5.96998499,0.86149760,0.36135296,0.47299436,0.00073110,0.52559516,0.01134673,0.07162994
-5.96398199,0.94290573,0.39714762,0.51054592,0.00080353,0.56980073,0.01217791,0.08153581
-5.95797899,1.03165155,0.43618287,0.54975642,0.00088532,0.61716009,0.01320017,0.09251493
-5.95197599,1.12727399,0.47831704,0.59024826,0.00097553,0.66730962,0.01440393,0.10456715
-5.94597299,1.22923285,0.52337641,0.63163050,0.00107316,0.71985626,0.01577772,0.11767623
-5.93996998,1.33691074,0.57115528,0.67350638,0.00117710,0.77438285,0.01730818,0.13180804
-5.93396698,1.44961597,0.62141631,0.71548114,0.00128619,0.83045387,0.01898004,0.14690918
-5.92796398,1.56658688,0.67389132,0.75716990,0.00139919,0.88762148,0.02077623,0.16290583
-5.92196098,1.68699760,0.72828264,0.79820534,0.00151487,0.94543179,0.02267792,0.17970324
-5.91595798,1.80996525,0.78426508,0.83824498,0.00163199,1.00343128,0.02466474,0.19718554
-5.90995498,1.93455890,0.84148847,0.87697782,0.00174937,1.06117316,0.02671495,0.21521634
-5.90395198,2.05981001,0.89958106,0.91413006,0.00186593,1.11822368,0.02880575,0.23363977
-5.89794897,2.18472450,0.95815352,0.94946989,0.00198074,1.17416818,0.03091362,0.25228234
-5.89194597,2.30829620,1.01680380,0.98281095,0.00209306,1.22861687,0.03301469,0.27095531
-5.88594297,2.42952151,1.07512257,1.01401464,0.00220239,1.28121001,0.03508517,0.28945783
-5.87993997,2.54741495,1.13269934,1.04299092,0.00230849,1.33162270,0.03710182,0.30758048
-5.87393697,2.66102526,1.18912899,1.06969781,0.00241145,1.37956877,0.03904236,0.32510947
-5.86793397,2.76945160,1.24401857,1.09413941,0.00251162,1.42480402,0.04088595,0.34183112
-5.86193097,2.87185922,1.29699419,1.11636262,0.00260971,1.46712841,0.04261359,0.35753661
-5.85592796,2.96749413,1.34770758,1.13645257,0.00270667,1.50638722,0.04420846,0.37202688
-5.84992496,3.05569612,1.39584214,1.15452682,0.00280375,1.54247103,0.04565625,0.38511743
-5.84392196,3.13590941,1.44111812,1.17072853,0.00290235,1.57531440,0.04694535,0.39664290
-5.83791896,3.20769050,1.48329653,1.18521881,0.00300404,1.60489325,0.04806697,0.40646129
-5.83191596,3.27071258,1.52218165,1.19816827,0.00311042,1.63122082,0.04901521,0.41445750
-5.82591296,3.32476615,1.55762175,1.20974813,0.00322306,1.65434232,0.04978695,0.42054626
-5.81990995,3.36975560,1.58950797,1.22012117,0.00334337,1.67432824,0.05038175,0.42467412
-5.81390695,3.40569183,1.61777130,1.22943267,0.00347253,1.69126670,0.05080157,0.42682052
-5.80790395,3.43268091,1.64237773,1.23780179,0.00361136,1.70525483,0.05105047,0.42699784
-5.80190095,3.45090946,1.66332177,1.24531368,0.00376028,1.71638980,0.05113427,0.42525038
