energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-6.00000000,3.13801061,0.61993092,2.62168633,0.03696424,0.06022480,0.41713015,0.00000000
-5.99399700,3.24258776,0.62874452,2.71552988,0.03718479,0.06232021,0.42725521,0.00000000
-5.98799400,3.33534349,0.63449216,2.80007999,0.03721273,0.06415535,0.43547124,0.00000000
-5.98199100,3.41455088,0.63702388,2.87381147,0.03704941,0.06569197,0.44158047,0.00000000
-5.97598799,3.47879396,0.63625049,2.93545785,0.03669903,0.06689799,0.44542853,0.00000000
-5.96998499,3.52700482,0.63214527,2.98404459,0.03616851,0.06774843,0.44690860,0.00000000
-5.96398199,3.55849098,0.62474430,3.01891383,0.03546717,0.06822606,0.44596442,0.00000000
-5.95797899,3.57295174,0.61414526,3.03973970,0.03460651,0.06832185,0.44259186,0.00000000
-5.95197599,3.57048277,0.60050482,3.04653342,0.03359987,0.06803519,0.43683912,0.00000000
-5.94597299,3.55156851,0.58403447,3.03963775,0.03246210,0.06737377,0.42880541,0.00000000
-5.93996998,3.51706255,0.56499520,3.01971106,0.03120925,0.06635333,0.41863822,0.00000000
-5.93396698,3.46815661,0.54369075,2.98770141,0.02985822,0.06499700,0.40652919,0.00000000
-5.92796398,3.40633927,0.52046006,2.94481174,0.02842642,0.06333453,0.39270870,0.00000000
-5.92196098,3.33334590,0.49566874,2.89245740,0.02693150,0.06140125,0.37743946,0.00000000
-5.91595798,3.25110175,0.46970008,2.83221768,0.02539103,0.05923692,0.36100914,0.00000000
-5.90995498,3.16166034,0.44294575,2.76578325,0.02382218,0.05688446,0.34372245,0.00000000
-5.90395198,3.06713930,0.41579651,2.69490144,0.02224152,0.05438861,0.32589288,0.00000000
-5.89794897,2.96965618,0.38863315,2.62132129,0.02066478,0.05179462,0.30783430,0.00000000
-5.89194597,2.87126630,0.36181805,2.54674050,0.01910657,0.04914697,0.28985280,0.00000000
-5.88594297,2.77390481,0.33568748,2.47275587,0.01758030,0.04648822,0.27223901,0.00000000
-5.87993997,2.67933472,0.31054491,2.40081897,0.01609795,0.04385791,0.25526101,0.00000000
-5.87393697,2.58910258,0.28665551,2.33219820,0.01466999,0.04129174,0.23915821,0.00000000
-5.86793397,2.50450275,0.26424190,2.26794843,0.01330530,0.03882089,0.22413625,0.00000000
-5.86193097,2.42655127,0.24348130,2.20888877,0.01201111,0.03647144,0.21036299,0.00000000
-5.85592796,2.35596969,0.22450397,2.15558888,0.01079300,0.03426416,0.19796581,0.00000000
-5.84992496,2.29317888,0.20739311,2.10836400,0.00965493,0.03221437,0.18703010,0.00000000
-5.84392196,2.23830272,0.19218590,2.06727839,0.00859932,0.03033199,0.17759907,0.00000000
-5.83791896,2.19118098,0.17887577,2.03215674,0.00762710,0.02862177,0.16967467,0.00000000
-5.83191596,2.15139066,0.16741565,2.00260293,0.00673789,0.02708364,0.16321968,0.00000000
-5.82591296,2.11827482,0.15772209,1.97802528,0.00593010,0.02571320,0.15816078,0.00000000
-5.81990995,2.09097759,0.14968005,1.95766718,0.00520113,0.02450221,0.15439254,0.00000000
-5.81390695,2.06848422,0.14314817,1.94064211,0.00454754,0.02343924,0.15178205,0.00000000
-5.80790395,2.04966457,0.13796438,1.92597165,0.00396520,0.02251028,0.15017420,0.00000000
-5.80190095,2.03331873,0.13395167,1.91262540,0.00344952,0.02169937,0.14939729,0.00000000
-5.79589795,2.01822311,0.13092379,1.89956126,0.00299558,0.02098929,0.14926886,0.00000000
-5.78989495,2.00317574,0.12869086,1.88576494,0.00259834,0.02036213,0.14960160,0.00000000
-5.78389195,1.98703913,0.12706460,1.87028733,0.00225272,0.01979991,0.15020908,0.00000000
-5.77788894,1.96877949,0.12586325,1.85227854,0.00195380,0.01928511,0.15091124,0.00000000
-5.77188594,1.94750114,0.12491588,1.83101758,0.00169687,0.01880114,0.15153933,0.00000000
-5.76588294,1.92247496,0.12406618,1.80593678,0.00147755,0.01833278,0.15194043,0.00000000
-5.75987994,1.89316028,0.12317557,1.77664006,0.00129182,0.01786654,0.15198113,0.00000000
-5.75387694,1.85921946,0.12212563,1.74291483,0.00113609,0.01739089,0.15155052,0.00000000
-5.74787394,1.82052502,0.12081981,1.70473705,0.00100722,0.01689653,0.15056225,0.00000000
-5.74187094,1.77715920,0.11918441,1.66226951,0.00090249,0.01637647,0.14895583,0.00000000
-5.73586793,1.72940637,0.11716888,1.61585367,0.00081963,0.01582611,0.14669694,0.00000000
-5.72986493,1.67773865,0.11474542,1.56599554,0.00075679,0.01524321,0.14377690,0.00000000
-5.72386193,1.62279564,0.11190797,1.51334621,0.00071248,0.01462779,0.14021140,0.00000000
-5.71785893,1.56535922,0.10867066,1.45867816,0.00068556,0.01398204,0.13603847,0.00000000
-5.71185593,1.50632450,0.10506575,1.40285819,0.00067519,0.01331005,0.13131580,0.00000000
-5.70585293,1.44666814,0.10114123,1.34681817,0.00068075,0.01261765,0.12611767,0.00000000
-5.69984992,1.38741536,0.09695810,1.29152480,0.00070183,0.01191212,0.12053147,0.00000000
-5.69384692,1.32960678,0.09258751,1.23794933,0.00073819,0.01120195,0.11465401,0.00000000
-5.68784392,1.27426629,0.08810781,1.18703853,0.00078964,0.01049653,0.10858780,0.00000000
-5.68184092,1.22237102,0.08360167,1.13968760,0.00085606,0.00980597,0.10243742,0.00000000
-5.67583792,1.17482431,0.07915328,1.09671596,0.00093734,0.00914082,0.09630604,0.00000000
-5.66983492,1.13243234,0.07484583,1.05884652,0.00103330,0.00851195,0.09029231,0.00000000
-5.66383192,1.09588506,0.07075926,1.02668883,0.00114371,0.00793036,0.08448761,0.00000000
-5.65782891,1.06574182,0.06696842,1.00072663,0.00126820,0.00740715,0.07897383,0.00000000
-5.65182591,1.04242181,0.06354152,0.98130968,0.00140625,0.00695347,0.07382158,0.00000000
-5.64582291,1.02619947,0.06053918,0.96865018,0.00155719,0.00658058,0.06908905,0.00000000
-5.63981991,1.01720479,0.05801377,0.96282352,0.00172014,0.00629991,0.06482128,0.00000000
-5.63381691,1.01542826,0.05600926,0.96377331,0.00189401,0.00612319,0.06105006,0.00000000
-5.62781391,1.02073018,0.05456147,0.97132035,0.00207750,0.00606268,0.05779425,0.00000000
-5.62181091,1.03285405,0.05369867,0.98517519,0.00226912,0.00613127,0.05506053,0.00000000
-5.61580790,1.05144337,0.05344252,1.00495400,0.00246717,0.00634276,0.05284457,0.00000000
-5.60980490,1.07606147,0.05380924,1.03019706,0.00266978,0.00671202,0.05113241,0.00000000
-5.60380190,1.10621364,0.05481094,1.06038953,0.00287495,0.00725514,0.04990218,0.00000000
-5.59779890,1.14137080,0.05645708,1.09498366,0.00308054,0.00798962,0.04912589,0.00000000
-5.59179590,1.18099395,0.05875590,1.13342187,0.00328440,0.00893438,0.04877134,0.00000000
-5.58579290,1.22455858,0.06171577,1.17515982,0.00348436,0.01010977,0.04880404,0.00000000
-5.57978989,1.27157791,0.06534635,1.21968866,0.00367828,0.01153745,0.04918903,0.00000000
-5.57378689,1.32162417,0.06965951,1.26655547,0.00386418,0.01324020,0.04989266,0.00000000
-5.56778389,1.37434683,0.07466987,1.31538115,0.00404024,0.01524157,0.05088407,0.00000000
-5.56178089,1.42948693,0.08039494,1.36587465,0.00420487,0.01756542,0.05213654,0.00000000
-5.55577789,1.48688651,0.08685480,1.41784290,0.00435678,0.02023531,0.05362850,0.00000000
-5.54977489,1.54649257,0.09407129,1.47119565,0.00449502,0.02327383,0.05534422,0.00000000
-5.54377189,1.60835506,0.10206663,1.52594477,0.00461902,0.02670176,0.05727417,0.00000000
-5.53776888,1.67261842,0.11086164,1.58219771,0.00472858,0.03053709,0.05941496,0.00000000
-5.53176588,1.73950700,0.12047350,1.64014501,0.00482390,0.03479408,0.06176900,0.00000000
-5.52576288,1.80930449,0.13091307,1.70004237,0.00490557,0.03948215,0.06434373,0.00000000
-5.51975988,1.88232814,0.14218208,1.76218764,0.00497453,0.04460480,0.06715046,0.00000000
-5.51375688,1.95889878,0.15427013,1.82689384,0.00503201,0.05015860,0.07020307,0.00000000
-5.50775388,2.03930799,0.16715174,1.89445930,0.00507949,0.05613213,0.07351629,0.00000000
-5.50175088,2.12378394,0.18078362,1.96513644,0.00511863,0.06250516,0.07710393,0.00000000
-5.49574787,2.21245779,0.19510236,2.03910075,0.00515114,0.06924789,0.08097695,0.00000000
-5.48974487,2.30533240,0.21002266,2.11642183,0.00517875,0.07632046,0.08514157,0.00000000
-5.48374187,2.40225531,0.22543630,2.19703802,0.00520306,0.08367273,0.08959746,0.00000000
-5.47773887,2.50289778,0.24121201,2.28073641,0.00522553,0.09124425,0.09433613,0.00000000
-5.47173587,2.60674128,0.25719630,2.36713965,0.00524731,0.09896468,0.09933965,0.00000000
-5.46573287,2.71307298,0.27321533,2.45570057,0.00526925,0.10675450,0.10457969,0.00000000
-5.45972986,2.82099070,0.28907785,2.54570563,0.00529184,0.11452609,0.11001708,0.00000000
-5.45372686,2.92941803,0.30457913,2.63628722,0.00531517,0.12218514,0.11560188,0.00000000
-5.44772386,3.03712923,0.31950580,2.72644503,0.00533892,0.12963244,0.12127392,0.00000000
-5.44172086,3.14278336,0.33364144,2.81507554,0.00536245,0.13676599,0.12696401,0.00000000
-5.43571786,3.24496643,0.34677274,2.90100877,0.00538478,0.14348328,0.13259556,0.00000000
-5.42971486,3.34223981,0.35869594,2.98305074,0.00540469,0.14968387,0.13808675,0.00000000
-5.42371186,3.43319304,0.36922330,3.06002971,0.00542081,0.15527204,0.14335305,0.00000000
-5.41770885,3.51649859,0.37818944,3.13084412,0.00543174,0.16015943,0.14831009,0.00000000
