energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.54334090,1.16504311,2.36985615,0.00503295,0.37332547,2.03682057,1.11271947,0.01624301,0.33134219
-5.99399700,4.47991453,1.16759352,2.32255991,0.00527805,0.36931609,2.02727265,1.10141730,0.01539457,0.33004552
-5.98799400,4.42019395,1.17180445,2.27688687,0.00553666,0.36558219,2.01894361,1.09128272,0.01464620,0.32923755
-5.98199100,4.36496911,1.17740098,2.23325284,0.00580656,0.36225538,2.01195025,1.08261093,0.01399948,0.32893733
-5.97598799,4.31497584,1.18406074,2.19203255,0.00608520,0.35947071,2.00640726,1.07569539,0.01345464,0.32916003
-5.96998499,4.27089408,1.19142860,2.15356348,0.00636972,0.35736256,2.00242914,1.07082220,0.01301073,0.32991795
-5.96398199,4.23334454,1.19913229,2.11814955,0.00665702,0.35606017,2.00013075,1.06826330,0.01266569,0.33122125
-5.95797899,4.20288329,1.20679810,2.08606394,0.00694390,0.35568294,1.99962685,1.06826884,0.01241651,0.33307850
-5.95197599,4.17999399,1.21406617,2.05755067,0.00722706,0.35633574,2.00103043,1.07105868,0.01225933,0.33549681
-5.94597299,4.16507760,1.22060447,2.03282455,0.00750327,0.35810438,2.00445019,1.07681338,0.01218951,0.33848155
-5.93996998,4.15843981,1.22612105,2.01206939,0.00776938,0.36105138,2.00998710,1.08566491,0.01220175,0.34203574
-5.93396698,4.16027662,1.23037391,1.99543426,0.00802242,0.36521234,2.01773045,1.09768759,0.01229008,0.34615902
-5.92796398,4.17065856,1.23317832,1.98302822,0.00825971,0.37059299,2.02775348,1.11288947,0.01244793,0.35084630
-5.92196098,4.18951474,1.23441108,1.97491359,0.00847883,0.37716707,2.04010890,1.13120478,0.01266815,0.35608610
-5.91595798,4.21661754,1.23401181,1.97109840,0.00867772,0.38487515,2.05482436,1.15248788,0.01294304,0.36185888
-5.90995498,4.25156934,1.23198138,1.97152853,0.00885467,0.39362453,2.07189828,1.17650909,0.01326430,0.36813523
-5.90395198,4.29379243,1.22837741,1.97608030,0.00900834,0.40329019,2.09129595,1.20295290,0.01362314,0.37487421
-5.89794897,4.34252345,1.22330747,1.98455415,0.00913775,0.41371683,2.11294633,1.23141893,0.01401025,0.38202199
-5.89194597,4.39681332,1.21692029,1.99667012,0.00924223,0.42472195,2.13673937,1.26142589,0.01441584,0.38951083
-5.88594297,4.45553372,1.20939538,2.01206583,0.00932142,0.43609994,2.16252419,1.29241866,0.01482979,0.39725865
-5.87993997,4.51739062,1.20093189,2.03029738,0.00937517,0.44762700,2.19010801,1.32377858,0.01524165,0.40516918
-5.87393697,4.58094510,1.19173707,2.05084352,0.00940356,0.45906675,2.21925599,1.35483681,0.01564086,0.41313276
-5.86793397,4.64464141,1.18201509,2.07311335,0.00940678,0.47017639,2.24969188,1.38489038,0.01601688,0.42102794
-5.86193097,4.70684158,1.17195658,2.09645740,0.00938516,0.48071320,2.28109966,1.41322063,0.01635938,0.42872372
-5.85592796,4.76586569,1.16172961,2.12018181,0.00933905,0.49044106,2.31312607,1.43911329,0.01665846,0.43608245
-5.84992496,4.82003638,1.15147232,2.14356531,0.00926886,0.49913690,2.34538404,1.46187954,0.01690493,0.44296332
-5.84392196,4.86772602,1.14128755,2.16587822,0.00917502,0.50659676,2.37745706,1.48087731,0.01709047,0.44922619
-5.83791896,4.90740458,1.13123968,2.18640283,0.00905798,0.51264126,2.40890456,1.49553175,0.01720795,0.45473575
-5.83191596,4.93768636,1.12135376,2.20445426,0.00891825,0.51712027,2.43926806,1.50535422,0.01725161,0.45936577
-5.82591296,4.95737346,1.11161681,2.21940099,0.00875639,0.51991672,2.46807833,1.50995880,0.01721728,0.46300315
-5.81990995,4.96549432,1.10198125,2.23068425,0.00857312,0.52094921,2.49486336,1.50907573,0.01710254,0.46555186
