energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.54330282,1.68928896,0.46019231,0.01614810,0.00029382,0.07758605,0.72650578
-5.99399700,1.45826348,1.61564343,0.43386529,0.01417486,0.00026978,0.07153603,0.68956329
-5.98799400,1.37500789,1.53727905,0.40979280,0.01244206,0.00024754,0.06576180,0.65311992
-5.98199100,1.29455107,1.45570184,0.38830511,0.01093970,0.00022705,0.06026042,0.61772791
-5.97598799,1.21803158,1.37251591,0.36978724,0.00965863,0.00020832,0.05503282,0.58400142
-5.96998499,1.14669198,1.28938539,0.35467586,0.00859135,0.00019136,0.05008346,0.55260502
-5.96398199,1.08185713,1.20799677,0.34345436,0.00773269,0.00017623,0.04541992,0.52424099
-5.95797899,1.02491100,1.13002279,0.33664641,0.00708046,0.00016302,0.04105240,0.49963597
-5.95197599,0.97727301,1.05708922,0.33480773,0.00663597,0.00015186,0.03699329,0.47952715
-5.94597299,0.94037428,0.99074523,0.33851649,0.00640444,0.00014290,0.03325678,0.46464850
-5.93996998,0.91563444,0.93243794,0.34836224,0.00639535,0.00013634,0.02985860,0.45571704
-5.93396698,0.90443918,0.88349148,0.36493354,0.00662271,0.00013241,0.02681586,0.45341945
-5.92796398,0.90811854,0.84509041,0.38880433,0.00710514,0.00013137,0.02414717,0.45839897
-5.92196098,0.92792606,0.81826734,0.42051931,0.00786593,0.00013353,0.02187275,0.47124278
-5.91595798,0.96501863,0.80389440,0.46057844,0.00893284,0.00013920,0.02001485,0.49246977
-5.90995498,1.02043691,0.80267785,0.50942100,0.01033788,0.00014877,0.01859814,0.52251890
-5.90395198,1.09508629,0.81515549,0.56740936,0.01211680,0.00016261,0.01765025,0.56173815
-5.89794897,1.18971824,0.84169624,0.63481323,0.01430848,0.00018114,0.01720228,0.61037429
-5.89194597,1.30491237,0.88250134,0.71179456,0.01695400,0.00020479,0.01728928,0.66856367
-5.88594297,1.44105917,0.93760695,0.79839402,0.02009567,0.00023401,0.01795056,0.73632429
-5.87993997,1.59834384,1.00688772,0.89451939,0.02377568,0.00026924,0.01922984,0.81354953
-5.87393697,1.77673161,1.09006117,0.99993655,0.02803468,0.00031092,0.02117511,0.90000369
-5.86793397,1.97595493,1.18669290,1.11426367,0.03291016,0.00035944,0.02383821,0.99531991
-5.86193097,2.19550305,1.29620238,1.23696878,0.03843466,0.00041519,0.02727392,1.09900043
-5.85592796,2.43461430,1.41786959,1.36737126,0.04463402,0.00047848,0.03153881,1.21041961
-5.84992496,2.69227157,1.55084223,1.50464717,0.05152549,0.00054955,0.03668946,1.32882952
-5.84392196,2.96720101,1.69414371,1.64783829,0.05911608,0.00062854,0.04278042,1.45336823
-5.83791896,3.25787430,1.84668170,1.79586479,0.06740089,0.00071549,0.04986161,1.58307042
-5.83191596,3.56251427,2.00725723,1.94754069,0.07636192,0.00081033,0.05797552,1.71688005
-5.82591296,3.87910389,2.17457411,2.10159180,0.08596698,0.00091281,0.06715399,1.85366447
-5.81990995,4.20539838,2.34724859,2.25667512,0.09616922,0.00102256,0.07741496,1.99222970
-5.81390695,4.53894021,2.52381907,2.41139908,0.10690703,0.00113902,0.08875907,2.13133594
-5.80790395,4.87707682,2.70275575,2.56434362,0.11810449,0.00126150,0.10116648,2.26971308
-5.80190095,5.21698094,2.88247013,2.71407961,0.12967241,0.00138911,0.11459392,2.40607555
-5.79589795,5.55567334,3.06132463,2.85918681,0.14150986,0.00152082,0.12897226,2.53913610
-5.78989495,5.89004826,3.23764221,2.99827021,0.15350619,0.00165545,0.14420465,2.66761854
-5.78389195,6.21690165,3.40971664,3.12997433,0.16554352,0.00179168,0.16016560,2.79026904
-5.77788894,6.53296243,3.57582361,3.25299575,0.17749948,0.00192810,0.17670088,2.90586650
-5.77188594,6.83492731,3.73423321,3.36609402,0.18925024,0.00206320,0.19362863,3.01323202
-5.76588294,7.11949932,3.88322447,3.46810140,0.20067352,0.00219544,0.21074145,3.11123801
-5.75987994,7.38343036,4.02110215,3.55793209,0.21165154,0.00232325,0.22780984,3.19881737
-5.75387694,7.62356779,4.14621642,3.63459131,0.22207377,0.00244508,0.24458660,3.27497337
-5.74787394,7.83690478,4.25698538,3.69718511,0.23183925,0.00255944,0.26081233,3.33879040
-5.74187094,8.02063387,4.35192060,3.74493099,0.24085849,0.00266491,0.27622181,3.38944613
-5.73586793,8.17220263,4.42965506,3.77716981,0.24905480,0.00276020,0.29055101,3.42622500
-5.72986493,8.28937017,4.48897311,3.79337893,0.25636501,0.00284416,0.30354450,3.44853306
-5.72386193,8.37026264,4.52884126,3.79318617,0.26273961,0.00291581,0.31496297,3.45591358
-5.71785893,8.41342558,4.54843879,3.77638420,0.26814230,0.00297435,0.32459057,3.44806299
-5.71185593,8.41787101,4.54718654,3.74294446,0.27254910,0.00301917,0.33224167,3.42484618
-5.70585293,8.38311665,4.52477254,3.69302961,0.27594706,0.00304987,0.33776689,3.38631026
-5.69984992,8.30921534,4.48117278,3.62700348,0.27833268,0.00306624,0.34105793,3.33269560
-5.69384692,8.19677235,4.41666566,3.54543733,0.27971035,0.00306829,0.34205113,3.26444318
-5.68784392,8.04694912,4.33183898,3.44911144,0.28009072,0.00305621,0.34072954,3.18219721
-5.68184092,7.86145252,4.22758849,3.33901112,0.27948930,0.00303035,0.33712344,3.08680235
-5.67583792,7.64250891,4.10510731,3.21631665,0.27792539,0.00299123,0.33130915,2.97929490
-5.66983492,7.39282363,3.96586645,3.08238689,0.27542137,0.00293953,0.32340646,2.86088781
-5.66383192,7.11552679,3.81158652,2.93873655,0.27200237,0.00287604,0.31357449,2.73294973
-5.65782891,6.81410706,3.64420169,2.78700793,0.26769645,0.00280166,0.30200645,2.59697856
-5.65182591,6.49233576,3.46581703,2.62893769,0.26253516,0.00271738,0.28892335,2.45457041
-5.64582291,6.15418417,3.27866103,2.46632009,0.25655438,0.00262425,0.27456710,2.30738502
-5.63981991,5.80373679,3.08503497,2.30096794,0.24979546,0.00252341,0.25919318,2.15710913
-5.63381691,5.44510411,2.88726130,2.13467305,0.24230643,0.00241600,0.24306323,2.00541909
-5.62781391,5.08233776,2.68763301,1.96916747,0.23414319,0.00230323,0.22643795,1.85394446
-5.62181091,4.71935109,2.48836581,1.80608746,0.22537052,0.00218628,0.20957041,1.70423379
-5.61580790,4.35984779,2.29155494,1.64694125,0.21606288,0.00206638,0.19270014,1.55772409
-5.60980490,4.00726043,2.09913801,1.49308191,0.20630477,0.00194473,0.17604814,1.41571493
-5.60380190,3.66470062,1.91286473,1.34568628,0.19619069,0.00182251,0.15981283,1.27934809
-5.59779890,3.33492155,1.73427444,1.20574026,0.18582452,0.00170089,0.14416720,1.14959310
-5.59179590,3.02029323,1.56468143,1.07403087,0.17531854,0.00158098,0.12925700,1.02723898
-5.58579290,2.72279011,1.40516800,0.95114482,0.16479187,0.00146386,0.11519999,0.91289206
-5.57978989,2.44399016,1.25658474,0.83747319,0.15436848,0.00135056,0.10208619,0.80697929
-5.57378689,2.18508433,1.11955715,0.73322151,0.14417497,0.00124202,0.08997892,0.70975657
-5.56778389,1.94689456,0.99449759,0.63842432,0.13433793,0.00113912,0.07891658,0.62132130
-5.56178089,1.72989877,0.88162146,0.55296329,0.12498130,0.00104264,0.06891497,0.54162799
-5.55577789,1.53426075,0.78096614,0.47658766,0.11622354,0.00095330,0.05996997,0.47050619
-5.54977489,1.35986323,0.69241173,0.40893620,0.10817497,0.00087166,0.05206037,0.40767968
-5.54377189,1.20634223,0.61570220,0.34955933,0.10093516,0.00079823,0.04515091,0.35278591
-5.53776888,1.07312129,0.55046612,0.29794092,0.09459053,0.00073337,0.03919505,0.30539500
-5.53176588,0.95944408,0.49623590,0.25351865,0.08921228,0.00067733,0.03413774,0.26502761
-5.52576288,0.86440458,0.45246526,0.21570258,0.08485456,0.00063024,0.02991788,0.23117105
-5.51975988,0.78697403,0.41854418,0.18389153,0.08155306,0.00059210,0.02647039,0.20329339
-5.51375688,0.72602430,0.39381142,0.15748678,0.07932394,0.00056279,0.02372808,0.18085538
-5.50775388,0.68034771,0.37756456,0.13590335,0.07816311,0.00054207,0.02162311,0.16331998
-5.50175088,0.64867350,0.36906777,0.11857866,0.07804604,0.00052958,0.02008809,0.15015982
-5.49574787,0.62968128,0.36755779,0.10497885,0.07892783,0.00052483,0.01905694,0.14086254
-5.48974487,0.62201235,0.37224849,0.09460296,0.08074383,0.00052725,0.01846549,0.13493454
-5.48374187,0.62427938,0.38233474,0.08698533,0.08341059,0.00053615,0.01825182,0.13190320
-5.47773887,0.63507541,0.39699599,0.08169652,0.08682729,0.00055073,0.01835654,0.13131812
-5.47173587,0.65298275,0.41540026,0.07834312,0.09087758,0.00057015,0.01872287,0.13275167
-5.46573287,0.67658268,0.43670895,0.07656672,0.09543187,0.00059348,0.01929671,0.13579912
-5.45972986,0.70446627,0.46008276,0.07604245,0.10034993,0.00061975,0.02002671,0.14007868
-5.45372686,0.73524678,0.48468919,0.07647723,0.10548393,0.00064795,0.02086436,0.14523166
-5.44772386,0.76757377,0.50971138,0.07760795,0.11068175,0.00067705,0.02176403,0.15092288
-5.44172086,0.80014883,0.53435847,0.07919983,0.11579050,0.00070606,0.02268321,0.15684151
-5.43571786,0.83174252,0.55787706,0.08104494,0.12066021,0.00073399,0.02358268,0.16270213
-5.42971486,0.86121223,0.57956348,0.08296090,0.12514756,0.00075991,0.02442680,0.16824631
-5.42371186,0.88752005,0.59877630,0.08478990,0.12911950,0.00078297,0.02518375,0.17324423
-5.41770885,0.90974998,0.61494856,0.08639789,0.13245662,0.00080238,0.02582588,0.17749648
-5.41170585,0.92712361,0.62759901,0.08767387,0.13505630,0.00081751,0.02633000,0.18083579
-5.40570285,0.93901330,0.63634178,0.08852926,0.13683524,0.00082781,0.02667757,0.18312842
-5.39969985,0.94495226,0.64089394,0.08889725,0.13773151,0.00083287,0.02685494,0.18427520
-5.39369685,0.94464068,0.64108040,0.08873202,0.13770591,0.00083245,0.02685338,0.18421194
-5.38769385,0.93794741,0.63683579,0.08800777,0.13674261,0.00082643,0.02666913,0.18290915
-5.38169085,0.92490709,0.62820314,0.08671752,0.13484901,0.00081484,0.02630321,0.18037099
-5.37568784,0.90571241,0.61532929,0.08487168,0.13205488,0.00079786,0.02576119,0.17663340
-5.36968484,0.88070196,0.59845717,0.08249625,0.12841071,0.00077576,0.02505282,0.17176142
-5.36368184,0.85034385,0.57791518,0.07963088,0.12398556,0.00074897,0.02419156,0.16584579
-5.35767884,0.81521596,0.55410426,0.07632659,0.11886419,0.00071799,0.02319396,0.15899898
-5.35167584,0.77598347,0.52748296,0.07264345,0.11314392,0.00068341,0.02207906,0.15135066
-5.34567284,0.73337470,0.49855134,0.06864801,0.10693117,0.00064587,0.02086769,0.14304292
-5.33966983,0.68815624,0.46783436,0.06441091,0.10033782,0.00060603,0.01958174,0.13422537
-5.33366683,0.64110828,0.43586537,0.06000435,0.09347772,0.00056458,0.01824350,0.12505031
-5.32766383,0.59300122,0.40317033,0.05549989,0.08646321,0.00052221,0.01687493,0.11566812
-5.32166083,0.54457433,0.37025351,0.05096630,0.07940211,0.00047956,0.01549712,0.10622312
-5.31565783,0.49651715,0.33758497,0.04646787,0.07239497,0.00043724,0.01412973,0.09684989
-5.30965483,0.44945422,0.30559023,0.04206285,0.06553283,0.00039579,0.01279056,0.08767035
-5.30365183,0.40393339,0.27464244,0.03780239,0.05889557,0.00035570,0.01149522,0.07879142
-5.29764882,0.36041789,0.24505703,0.03372975,0.05255073,0.00031738,0.01025691,0.07030351
-5.29164582,0.31928215,0.21708893,0.02987993,0.04655289,0.00028116,0.00908629,0.06227969
