energy_ev,total_up,Ag_p_up,Ag_d_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up
-6.00000000,3.72674274,0.31009436,3.10123272,0.19134085,0.00000000,0.01307745,0.13550475
-5.99399700,3.79524805,0.31611791,3.16207950,0.20010681,0.00000000,0.01334353,0.13619276
-5.98799400,3.86652377,0.32216705,3.22524892,0.20944419,0.00000000,0.01361998,0.13695341
-5.98199100,3.94040595,0.32825239,3.29059467,0.21931297,0.00000000,0.01390569,0.13778056
-5.97598799,4.01664915,0.33438211,3.35790358,0.22966032,0.00000000,0.01419946,0.13866935
-5.96998499,4.09493104,0.34056155,3.42690015,0.24042102,0.00000000,0.01450007,0.13961591
-5.96398199,4.17485966,0.34679313,3.49725319,0.25151825,0.00000000,0.01480631,0.14061713
-5.95797899,4.25598340,0.35307619,3.56858465,0.26286482,0.00000000,0.01511701,0.14167058
-5.95197599,4.33780344,0.35940713,3.64048038,0.27436488,0.00000000,0.01543107,0.14277445
-5.94597299,4.41978848,0.36577959,3.71250273,0.28591596,0.00000000,0.01574750,0.14392750
-5.93996998,4.50139132,0.37218485,3.78420457,0.29741149,0.00000000,0.01606545,0.14512910
-5.93396698,4.58206688,0.37861227,3.85514444,0.30874353,0.00000000,0.01638420,0.14637916
-5.92796398,4.66129086,0.38504990,3.92490216,0.31980574,0.00000000,0.01670322,0.14767814
-5.92196098,4.73857863,0.39148507,3.99309449,0.33049651,0.00000000,0.01702216,0.14902696
-5.91595798,4.81350317,0.39790511,4.05938998,0.34072199,0.00000000,0.01734082,0.15042686
-5.90995498,4.88571148,0.40429797,4.12352238,0.35039902,0.00000000,0.01765920,0.15187929
-5.90395198,4.95493854,0.41065281,4.18530192,0.35945781,0.00000000,0.01797745,0.15338560
-5.89794897,5.02101780,0.41696045,4.24462361,0.36784411,0.00000000,0.01829586,0.15494687
-5.89194597,5.08388772,0.42321374,4.30147201,0.37552090,0.00000000,0.01861488,0.15656358
-5.88594297,5.14359352,0.42940764,4.35592196,0.38246949,0.00000000,0.01893503,0.15823533
-5.87993997,5.20028381,0.43553922,4.40813480,0.38868977,0.00000000,0.01925693,0.15996049
-5.87393697,5.25420188,0.44160730,4.45835004,0.39419989,0.00000000,0.01958124,0.16173595
-5.86793397,5.30567175,0.44761198,4.50687238,0.39903499,0.00000000,0.01990863,0.16355685
-5.86193097,5.35507919,0.45355394,4.55405455,0.40324532,0.00000000,0.02023974,0.16541634
-5.85592796,5.40284853,0.45943359,4.60027636,0.40689372,0.00000000,0.02057518,0.16730546
-5.84992496,5.44941601,0.46525006,4.64592091,0.41005243,0.00000000,0.02091544,0.16921302
-5.84392196,5.49520097,0.47100024,4.69134885,0.41279960,0.00000000,0.02126088,0.17112556
-5.83791896,5.54057605,0.47667773,4.73687202,0.41521548,0.00000000,0.02161167,0.17302747
-5.83191596,5.58583817,0.48227199,4.78272768,0.41737860,0.00000000,0.02196781,0.17490107
-5.82591296,5.63118161,0.48776760,4.82905486,0.41936195,0.00000000,0.02232901,0.17672685
-5.81990995,5.67667486,0.49314375,4.87587408,0.42122963,0.00000000,0.02269474,0.17848374
-5.81390695,5.72224278,0.49837411,4.92307191,0.42303377,0.00000000,0.02306418,0.18014950
-5.80790395,5.76765515,0.50342695,4.97039132,0.42481226,0.00000000,0.02343619,0.18170107
-5.80190095,5.81252279,0.50826575,5.01742889,0.42658705,0.00000000,0.02380936,0.18311511
-5.79589795,5.85630180,0.51285008,5.06363933,0.42836341,0.00000000,0.02418199,0.18436847
-5.78989495,5.89830624,0.51713699,5.10834773,0.43012998,0.00000000,0.02455214,0.18543875
-5.78389195,5.93772904,0.52108261,5.15076916,0.43185971,0.00000000,0.02491767,0.18630489
-5.77788894,5.97367064,0.52464413,5.19003526,0.43351163,0.00000000,0.02527632,0.18694776
-5.77188594,6.00517414,0.52778196,5.22522678,0.43503333,0.00000000,0.02562578,0.18735079
-5.76588294,6.03126572,0.53046203,5.25541078,0.43636410,0.00000000,0.02596381,0.18750051
-5.75987994,6.05099839,0.53265801,5.27968089,0.43743846,0.00000000,0.02628835,0.18738718
-5.75387694,6.06349712,0.53435353,5.29719873,0.43819002,0.00000000,0.02659762,0.18700530
-5.74787394,6.06800326,0.53554413,5.30723465,0.43855540,0.00000000,0.02689025,0.18635406
-5.74187094,6.06391580,0.53623882,5.30920551,0.43847805,0.00000000,0.02716540,0.18543776
-5.73586793,6.05082759,0.53646128,5.30270792,0.43791174,0.00000000,0.02742287,0.18426601
-5.72986493,6.02855444,0.53625042,5.28754482,0.43682357,0.00000000,0.02766315,0.18285395
-5.72386193,5.99715557,0.53566040,5.26374427,0.43519636,0.00000000,0.02788752,0.18122218
-5.71785893,5.95694416,0.53475999,5.23156909,0.43303030,0.00000000,0.02809803,0.17939658
-5.71185593,5.90848731,0.53363116,5.19151696,0.43034371,0.00000000,0.02829751,0.17740796
-5.70585293,5.85259526,0.53236716,5.14431065,0.42717295,0.00000000,0.02848948,0.17529149
-5.69984992,5.79030027,0.53106985,5.09087892,0.42357149,0.00000000,0.02867806,0.17308596
-5.69384692,5.72282604,0.52984657,5.03232874,0.41960811,0.00000000,0.02886783,0.17083287
-5.68784392,5.65154908,0.52880654,4.96991037,0.41536438,0.00000000,0.02906364,0.16857539
-5.68184092,5.57795394,0.52805699,4.90497679,0.41093151,0.00000000,0.02927036,0.16635721
-5.67583792,5.50358432,0.52769910,4.83893947,0.40640681,0.00000000,0.02949268,0.16422129
-5.66983492,5.42999243,0.52782397,4.77322261,0.40188976,0.00000000,0.02973486,0.16220864
-5.66383192,5.35868894,0.52850881,4.70921795,0.39747803,0.00000000,0.03000045,0.16035708
-5.65782891,5.29109575,0.52981335,4.64824214,0.39326358,0.00000000,0.03029211,0.15870015
-5.65182591,5.22850364,0.53177688,4.59149859,0.38932901,0.00000000,0.03061135,0.15726610
-5.64582291,5.17203652,0.53441585,4.54004523,0.38574431,0.00000000,0.03095842,0.15607713
-5.63981991,5.12262346,0.53772219,4.49476928,0.38256415,0.00000000,0.03133219,0.15514878
-5.63381691,5.08097939,0.54166256,4.45636978,0.37982588,0.00000000,0.03173009,0.15448959
-5.62781391,5.04759474,0.54617833,4.42534805,0.37754818,0.00000000,0.03214811,0.15410110
